model,ic,ic_shuf,pf,p90
ridge,-0.049441973130346865,-0.007839463026238605,1.1538547278928226,0.8347139025991481
rf,0.10209927288996155,0.039741148658592886,1.1824707290608187,0.8353716134877676
lgbm,0.07032262284578818,-0.04382388347454695,1.2812383500005382,0.8352060284022447
xgb_d3,0.035171647195022394,-0.06926434879813628,1.1659962644070132,0.8351198756948213
xgb_d6,0.04417995396912518,-0.025355640710950172,1.2305079075438328,0.8349366225466243
mlp_2x32,-0.0014951857944141545,-0.07466654031726837,1.2106594001374336,0.8347139025991481
mlp_2x64,-0.023493734174004088,0.01725889452942047,1.1955246510949804,0.8349228953580263
mlp_4x128,0.019617127779075278,-0.028863429857844347,1.2997780896790105,0.8349366225466243
