set,mean_ic,sd,mean_d,pos,t
drop ffd,0.11285635876408484,0.0031340384288673895,0.014544197690405684,8,7.510238428355305
drop mom,0.11499885635624826,0.0027865895137295375,0.016686695282569112,8,10.133550713596872
drop pin,0.09225874253277153,0.0057529482797123175,-0.006053418540907643,2,-2.6026905688059343
drop regime,0.11712129039075088,0.0061189647910111595,0.018809129317071717,8,6.818361095179535
drop struct,0.11472720165573617,0.0064063431458761975,0.016415040582057012,8,6.493812858995404
drop trend,0.10513764397227413,0.006914141728137212,0.00682548289859497,6,2.624169392281983
drop vol,0.040863235092483144,0.007762269409680353,-0.05744892598119602,0,-17.76833069207986
drop volu,0.1009640990204707,0.007978973579290897,0.002651937946791527,5,0.9517794092638308
PIN family alone,-0.008665352054651965,0.0034328298295887103,-0.10697751312833113,0,-84.03850206582887
