tf,entry_n,exit_n,stop,tp_r,chop_max,adx_min,session,vol_policy,side,n,pf,sharpe,sortino,dd,retdd,calmar,win,net,R,top1,score_norobust,market,block,trades_per_year
15,20,10,1.5,0.0,,,,,-1,2792,0.7549319215176211,-1.7288441223864033,-4.337007843521321,557.2726149711066,-0.8938135488291336,-0.1388662233692612,0.239971346704871,-498.0978136526161,-0.178401795720851,,0.0,US30,train,433.77558569667076
15,20,10,1.5,0.0,,,,"(2.5, 1.5)",-1,2649,0.7679121637368564,-1.6668968557883408,-3.912967208269064,402.6128064509775,-0.888156881158236,-0.1379873822761254,0.2570781426953567,-357.58333449186466,-0.1349880462407945,,0.0,US30,train,411.5585696670777
15,20,10,1.5,0.0,,,"(480, 720)",,-1,1105,0.8184663128001152,-0.8015321057900606,-2.6310348412671325,164.3536131937333,-0.9133248971991372,-0.1418975795895083,0.232579185520362,-150.10824687447325,-0.1358445673072156,,0.0,US30,train,171.67694204685571
15,20,10,1.5,0.0,,,"(480, 720)","(2.5, 1.5)",-1,1057,0.8395956153448384,-0.7173448176186634,-2.1496822829279654,134.2528506154129,-0.8165911458981976,-0.1268686613849234,0.2554399243140965,-109.62968912413956,-0.103717775897956,,0.0,US30,train,164.21948212083848
15,20,10,1.5,0.0,,,"(570, 960)",,-1,1239,0.8779113316697823,-0.6005680690348243,-1.7614268294600457,112.98445928395869,-0.8520723886166057,-0.132381160253628,0.2824858757062147,-96.2709380986383,-0.0777005150110075,,0.0,US30,train,192.4956843403206
15,20,10,1.5,0.0,,,"(570, 960)","(2.5, 1.5)",-1,1215,0.865938670207783,-0.6707797240286101,-1.765401144679266,116.67943102957896,-0.8044647258991663,-0.1249846553184894,0.2930041152263374,-93.86448650128092,-0.0772547214002312,,0.0,US30,train,188.76695437731195
15,20,10,1.5,0.0,,20.0,,,-1,2697,0.7515872392116976,-1.7520073595305383,-4.331766214835144,537.3175085056232,-0.9092512366348556,-0.1412646804142932,0.242862439747868,-488.5566090742975,-0.1811481679919531,,0.0,US30,train,419.0160295930949
15,20,10,1.5,0.0,,20.0,,"(2.5, 1.5)",-1,2549,0.7795282968238796,-1.5551579088684004,-3.688028335171994,370.80289421879297,-0.8861538229191835,-0.1376761796397251,0.2628481757551981,-328.588402261481,-0.128908749416038,,0.0,US30,train,396.02219482120836
15,20,10,1.5,0.0,,20.0,"(480, 720)",,-1,1068,0.8054370347969402,-0.8698135641115382,-2.7920838119903526,170.1285777210497,-0.917437599782078,-0.1425365444790897,0.2368913857677902,-156.08235399873854,-0.1461445262160473,,0.0,US30,train,165.92848335388408
15,20,10,1.5,0.0,,20.0,"(480, 720)","(2.5, 1.5)",-1,1019,0.8556112863861184,-0.6307367975365845,-1.9137585644025048,121.44328379694552,-0.7885221572256025,-0.1225077580893044,0.2630029440628066,-95.76072012012852,-0.093975191481971,,0.0,US30,train,158.31565967940813
15,20,10,1.5,0.0,,20.0,"(570, 960)",,-1,1202,0.8639142370148949,-0.6777965168130864,-1.926195673918468,118.924727544848,-0.8797127474134455,-0.1366754700050482,0.2845257903494176,-104.6195988038737,-0.0870379357769332,,0.0,US30,train,186.74722564734896
15,20,10,1.5,0.0,,20.0,"(570, 960)","(2.5, 1.5)",-1,1177,0.8673040633311224,-0.6530839729174719,-1.72891436279219,113.8482124329588,-0.7991145103514569,-0.1241534257759353,0.2965165675446049,-90.9777585327525,-0.0772963114127039,,0.0,US30,train,182.86313193588163
15,20,10,1.5,0.0,,25.0,,,-1,2324,0.807353285940589,-1.2037055207814535,-3.040797044745072,366.6422024291481,-0.8733572383659034,-0.1356880542960589,0.25,-320.2096213819133,-0.1377838301987578,,0.0,US30,train,361.0653514180025
15,20,10,1.5,0.0,,25.0,,"(2.5, 1.5)",-1,2208,0.8194391078629144,-1.1581769882002275,-2.759394402483059,269.6809005523257,-0.8691614532620642,-0.1350361813945993,0.2676630434782608,-234.3962434410816,-0.1061577189497652,,0.0,US30,train,343.04315659679406
15,20,10,1.5,0.0,,25.0,"(480, 720)",,-1,937,0.8912995161572526,-0.4302274680137796,-1.388410317710642,87.91930674621017,-0.8501468123920886,-0.132081995513444,0.2540021344717182,-74.74431837801282,-0.079769816838861,,0.0,US30,train,145.5758323057953
15,20,10,1.5,0.0,,25.0,"(480, 720)","(2.5, 1.5)",-1,901,0.9382048465966152,-0.2419747949549801,-0.7212108341527333,70.12196186891579,-0.5087069052638821,-0.0790346116686179,0.2796892341842397,-35.6715262133681,-0.0395910390825395,,0.0,US30,train,139.98273736128237
15,20,10,1.5,0.0,,25.0,"(570, 960)",,-1,1057,0.912753296334896,-0.3971246273203822,-1.133128973306185,71.30627840342551,-0.8178247613297559,-0.1270603205025268,0.2951750236518448,-58.31604011659459,-0.0551712773099286,,0.0,US30,train,164.21948212083848
15,20,10,1.5,0.0,,25.0,"(570, 960)","(2.5, 1.5)",-1,1034,0.9226753695963534,-0.3469875279095845,-0.934966939533428,64.37101483700715,-0.7228305946967238,-0.1123016706927092,0.3094777562862669,-46.52933893586551,-0.044999360672984,,0.0,US30,train,160.64611590628851
15,20,10,1.5,0.0,50.0,,,,-1,2206,0.7464776380475586,-1.6581759924729396,-4.280596744127171,458.5607445965948,-0.9016022938917434,-0.1400763119979774,0.2411604714415231,-413.43941921699576,-0.1874158745317297,,0.0,US30,train,342.7324290998767
15,20,10,1.5,0.0,50.0,,,"(2.5, 1.5)",-1,2109,0.7637200026977315,-1.5501037821035766,-3.734936046087552,340.08324591706435,-0.8892745708503768,-0.1381610307363101,0.2574679943100996,-302.42738256630054,-0.143398474426885,,0.0,US30,train,327.6621454993835
15,20,10,1.5,0.0,50.0,,"(480, 720)",,-1,848,0.8588483134018605,-0.5348053721226329,-1.752402629076448,103.56906874744436,-0.8600898187320272,-0.1336267782493655,0.2452830188679245,-89.07870156523428,-0.1050456386382479,,0.0,US30,train,131.74845869297164
15,20,10,1.5,0.0,50.0,,"(480, 720)","(2.5, 1.5)",-1,818,0.8816900940748968,-0.4484509548856431,-1.2845710011081692,99.20767974012315,-0.6442393064534061,-0.1000914335550298,0.2665036674816626,-63.913486790628575,-0.0781338469323087,,0.0,US30,train,127.08754623921085
15,20,10,1.5,0.0,50.0,,"(570, 960)",,-1,947,0.8784539400127852,-0.5339683100120213,-1.456375869720963,87.03078970595284,-0.8581628399911553,-0.1333273956089834,0.2893347412882788,-74.68658966073349,-0.078866514953256,,0.0,US30,train,147.12946979038225
15,20,10,1.5,0.0,50.0,,"(570, 960)","(2.5, 1.5)",-1,930,0.8767461689559831,-0.5360357810041156,-1.3525990930850045,86.31154019877468,-0.801592971334327,-0.1245384887646426,0.3,-69.186723968378,-0.0743943268477182,,0.0,US30,train,144.48828606658446
15,20,10,1.5,0.0,50.0,20.0,,,-1,2180,0.7527012267189525,-1.601488157377143,-4.140420370385919,442.8820057504605,-0.9000576317338517,-0.139836327495025,0.2422018348623853,-398.6193292332976,-0.1828529033180264,,0.0,US30,train,338.69297163995066
15,20,10,1.5,0.0,50.0,20.0,,"(2.5, 1.5)",-1,2085,0.7684643907924911,-1.5063405852927012,-3.630696007244868,330.927980009358,-0.8877681058209344,-0.1379269806824139,0.2580335731414868,-293.7873059760558,-0.1409051827223289,,0.0,US30,train,323.9334155363748
15,20,10,1.5,0.0,50.0,20.0,"(480, 720)",,-1,836,0.8715483664079552,-0.4790860210666976,-1.5716874982465328,94.29730387297457,-0.8442418533206458,-0.1311645789376095,0.2488038277511961,-79.60973058486016,-0.095226950460359,,0.0,US30,train,129.88409371146733
15,20,10,1.5,0.0,50.0,20.0,"(480, 720)","(2.5, 1.5)",-1,807,0.8939312769644638,-0.3963459863876863,-1.1375609100655404,92.73685879059664,-0.6081378488521193,-0.0944825757772713,0.2688971499380421,-56.39679381421618,-0.069884502867678,,0.0,US30,train,125.37854500616523
15,20,10,1.5,0.0,50.0,20.0,"(570, 960)",,-1,934,0.8836401442474375,-0.5063259526530947,-1.3823787567932473,81.25108825300562,-0.8677897811426448,-0.1348230732724701,0.291220556745182,-70.50886409267747,-0.0754912891784555,,0.0,US30,train,145.10974106041922
15,20,10,1.5,0.0,50.0,20.0,"(570, 960)","(2.5, 1.5)",-1,917,0.8833695405244586,-0.502276094093067,-1.274706619039278,81.19763452671944,-0.7960112312272938,-0.1236712886986917,0.302071973827699,-64.63422903235777,-0.0704844373308154,,0.0,US30,train,142.46855733662144
15,20,10,1.5,0.0,50.0,25.0,,,-1,2035,0.7814401407695577,-1.3193144637318213,-3.4646844704327378,368.3105328290679,-0.8828296958507489,-0.1371597307980201,0.2461916461916461,-325.15547567611327,-0.1597815605288026,,0.0,US30,train,316.1652281134402
15,20,10,1.5,0.0,50.0,25.0,,"(2.5, 1.5)",-1,1955,0.7875184552856767,-1.3181188499328411,-3.1722106642341155,284.17137376235985,-0.8922940436912263,-0.1386301473552336,0.2618925831202046,-253.5644241957069,-0.1297004727343769,,0.0,US30,train,303.7361282367448
15,20,10,1.5,0.0,50.0,25.0,"(480, 720)",,-1,792,0.8985523102113272,-0.3602635947912216,-1.1801922033697592,76.00287555157749,-0.7815384652304633,-0.1214227455228586,0.2512626262626262,-59.399170711681776,-0.0749989529187901,,0.0,US30,train,123.04808877928483
