tf,entry_n,exit_n,stop,tp_r,chop_max,adx_min,session,vol_policy,side,n,pf,sharpe,sortino,dd,retdd,calmar,win,net,R,top1,score_norobust,market,block,trades_per_year
15,20,10,1.5,0.0,,,,,1,2965,0.945708474422282,-0.3942830322098735,-0.9178820904400312,145.88814049447546,-0.7324694924769181,-0.1137992059828504,0.293760539629005,-106.85861222638977,-0.0360400041235715,,0.0,US30,train,460.6535141800247
15,20,10,1.5,0.0,,,,"(2.5, 1.5)",1,2818,0.9616055445302628,-0.2798411121263939,-0.6019279356934464,99.68298028390888,-0.5657980115789557,-0.0879044999493815,0.3165365507452093,-56.40043203289989,-0.0200143477760468,,0.0,US30,train,437.8150431565968
15,20,10,1.5,0.0,,,"(480, 720)",,1,1194,1.0675024293636697,0.3201771252009667,0.9423020327050944,35.549100353086345,1.5754318677777033,0.2447650004192239,0.3006700167504187,56.00518556707984,0.0469055155503181,1.8578089013173629,0.09109740681916388,US30,train,185.5043156596794
15,20,10,1.5,0.0,,,"(480, 720)","(2.5, 1.5)",1,1133,1.0783746721961027,0.3723915580488133,1.0141005417377469,29.281024807850716,1.767923249551668,0.2746711830376204,0.3265666372462489,51.76660452849843,0.0456898539527788,1.5172254492006096,0.10387003695491906,US30,train,176.02712700369912
15,20,10,1.5,0.0,,,"(570, 960)",,1,1343,1.0838776361142994,0.4308922035372884,1.125479447189366,31.94594041609315,2.0143631722812314,0.312959013202756,0.3484735666418466,64.3507258780686,0.0479156559032528,1.552525593702685,0.11809664895476757,US30,train,208.65351418002464
15,20,10,1.5,0.0,,,"(570, 960)","(2.5, 1.5)",1,1313,1.066045902985588,0.3451210079743774,0.8215011405311966,28.654514535521848,1.5501251041476387,0.2408332467602989,0.3587204874333587,44.41808232867583,0.0338294610271712,1.923537667066268,0.09238264188802708,US30,train,203.99260172626387
15,20,10,1.5,0.0,,20.0,,,1,720,0.8835330413633857,-0.4296840439712527,-0.8279111532758218,64.7239451575409,-0.8040384077115591,-0.1249184209268266,0.2902777777777778,-52.040537805279456,-0.0722785247295548,,0.0,US30,train,111.86189889025894
15,20,10,1.5,0.0,,20.0,,"(2.5, 1.5)",1,708,0.92491285467168,-0.2753552046604318,-0.4657983064943335,52.38802808024733,-0.5249848294032069,-0.0815636109800296,0.3093220338983051,-27.502919984479053,-0.0388459321814675,,0.0,US30,train,109.99753390875462
15,20,10,1.5,0.0,,20.0,"(480, 720)",,1,255,0.8593563482655782,-0.3512683893822628,-0.5128645842818763,41.67112676378226,-0.5387298987366105,-0.0836990964744918,0.2784313725490196,-22.44948190169288,-0.0880371839282073,,0.0,US30,train,39.61775585696671
15,20,10,1.5,0.0,,20.0,"(480, 720)","(2.5, 1.5)",1,252,0.9577139031486138,-0.0955601313804213,-0.1391990380047486,31.49176276612212,-0.1849974973946739,-0.0287419046507138,0.3015873015873015,-5.825897300279368,-0.0231186400804736,,0.0,US30,train,39.151664611590625
15,20,10,1.5,0.0,,20.0,"(570, 960)",,1,274,0.9889065402728756,-0.0267482562975044,-0.0400803022303429,28.521583409874,-0.0589764643236672,-0.0091628045681653,0.3175182481751825,-1.682102146426935,-0.0061390589285654,,0.0,US30,train,42.56966707768187
