tf,entry_n,exit_n,stop,tp_r,chop_max,adx_min,session,vol_policy,side,n,pf,sharpe,sortino,dd,retdd,calmar,win,net,R,top1,score_norobust,market,block,trades_per_year,robust,score
60,55,10,3.0,3.0,50.0,,"(570, 960)",,1,283,1.802346426179626,1.3339552418785168,1.5528024336695876,5.669683156311582,9.0269119740678,1.4024548812978332,0.4664310954063604,51.17973077287954,0.1808471052045213,0.1166526823523433,0.5160973967884188,US30,train,43.96794081381011,1.0,0.6660973967884188
60,55,10,2.5,0.0,50.0,,"(570, 960)",,1,281,1.852305604104048,1.245005975245765,1.7786603518839152,5.886463219968621,10.949978502178974,1.7012297056406298,0.4590747330960854,64.45664571252362,0.2293830808274862,0.2361885937440333,0.5157118179328155,US30,train,43.65721331689272,1.0,0.6657118179328155
60,55,10,3.0,3.0,,,"(570, 960)",,1,340,1.7499625809987736,1.3917174109748442,1.8554389416670816,4.724626063109305,12.627605515511368,1.961872126947512,0.4441176470588235,59.66071413324782,0.1754726886271994,0.1501467888306133,0.5123595474801532,US30,train,52.823674475955606,1.0,0.6623595474801532
60,55,10,2.5,0.0,,,"(570, 960)",,1,337,1.7911099755226811,1.3175010575006387,2.0821924498886557,6.570920017684216,11.372958333515662,1.7669454377595233,0.4362017804154303,74.73079957398659,0.2217531144628682,0.289243091010622,0.5119304518129442,US30,train,52.35758323057953,1.0,0.6619304518129442
60,40,10,2.5,0.0,,,"(570, 960)",,1,388,1.7550506675131314,1.3709727011676354,2.2594667655399703,7.080977151290448,11.839015668054005,1.839353852250067,0.4484536082474227,83.83179943926001,0.2160613387609794,0.2578421029616152,0.5109569486388503,US30,train,60.28113440197287,1.0,0.6609569486388504
60,40,10,1.5,0.0,,,"(570, 960)",,1,406,1.758997737607362,1.3625050380981032,3.190820694271328,10.825452223226575,12.308105452583794,1.912233399538296,0.4113300492610837,133.24080753538038,0.3281793289048778,0.331189105460895,0.5107584686329177,US30,train,63.07768187422934,1.0,0.6607584686329178
60,55,10,1.5,0.0,,,"(480, 720)",,1,321,1.7877897268908418,1.3075532375148882,3.7242200581576417,8.14250269677602,16.043439252866893,2.492568860494733,0.4267912772585669,130.63374738203095,0.4069587145857662,0.2915350733975404,0.5101058230882387,US30,train,49.871763255240445,1.0,0.6601058230882387
60,55,10,3.0,0.0,50.0,,"(570, 960)",,1,279,1.8230117918490267,1.2453739514659237,1.586363085804186,5.669683156311582,9.233968854736808,1.434624014422735,0.4623655913978494,52.35367768160704,0.187647590256656,0.2150017363369403,0.5098959860408298,US30,train,43.346485819975335,1.0,0.6598959860408298
60,55,10,2.0,0.0,50.0,,"(570, 960)",,1,284,1.832749171702852,1.2238768466741157,2.0502393072279643,5.970161512423058,13.108885339383834,2.0366455644418777,0.4471830985915493,78.26216272395624,0.2755709955068882,0.2431558875071543,0.5093354664525505,US30,train,44.1233045622688,1.0,0.6593354664525505
60,55,10,3.0,2.0,50.0,,"(570, 960)",,1,295,1.7524492900844724,1.3478362207883088,1.492596131710323,5.34098357585809,9.158791638608824,1.4229442003264017,0.4644067796610169,48.91695571651613,0.1658201888695462,0.0812701019734204,0.5077374171088638,US30,train,45.832305795314426,1.0,0.6577374171088638
60,55,10,3.0,0.0,,,"(570, 960)",,1,335,1.7678883737008868,1.3165072076473685,1.891047970698136,4.724626063109298,12.891461342112944,2.002865757221,0.4388059701492537,60.90733424851278,0.181812938055262,0.2722551277539938,0.507170182299037,US30,train,52.04685573366214,1.0,0.657170182299037
60,55,10,2.0,3.0,50.0,,"(570, 960)",,1,298,1.744074773513173,1.3455871914915023,1.8508552000307668,5.970161512423058,11.873424887089817,1.8446997975010075,0.4530201342281879,70.88626428154971,0.2378733700723145,0.0841238994522377,0.5058001270433099,US30,train,46.2983970406905,1.0,0.6558001270433099
60,55,10,2.5,3.0,50.0,,"(570, 960)",,1,290,1.7525236700012772,1.319303028745802,1.5988619674165767,5.926161988641403,9.730158660532677,1.5117139225981713,0.4655172413793103,57.662496397498685,0.1988361944741334,0.1034586084765266,0.5044234206872658,US30,train,45.05548705302096,1.0,0.6544234206872658
60,40,30,1.5,0.0,,,"(570, 960)",,1,278,1.8314503000853333,1.175738369146189,4.352786821943736,15.016752507752171,9.85257602811716,1.5307331437025429,0.3345323741007194,147.95369577804732,0.5322075387699544,0.2332004810894413,0.5034595364174553,US30,train,43.191122071516645,1.0,0.6534595364174555
60,55,10,2.5,3.0,,,"(570, 960)",,1,348,1.7109398091112382,1.3788256403603625,1.9119331255715584,6.570920017684216,10.376209552470163,1.612086810864662,0.4425287356321839,68.18124305601239,0.1959231122299206,0.1312948920324572,0.5030509531976233,US30,train,54.066584463625155,1.0,0.6530509531976233
60,40,10,3.0,0.0,,,"(570, 960)",,1,386,1.7197067018541252,1.3488516128721162,2.012306721289109,6.654428818588912,10.164076770280724,1.5791290666527389,0.4507772020725388,67.63612537450616,0.1752231227318812,0.2451697813138535,0.5013073618725719,US30,train,59.97040690505548,1.0,0.6513073618725719
60,55,10,2.0,0.0,,,"(480, 720)",,1,308,1.7445857169535306,1.3025233884844238,2.6230807299013583,7.051902330810052,13.79815563805759,2.1437331817450755,0.4675324675324675,97.30324590489818,0.3159196295613577,0.2648355642554512,0.5008782053805556,US30,train,47.85203452527743,1.0,0.6508782053805556
60,40,10,3.0,3.0,,,"(570, 960)",,1,393,1.685701029139313,1.4024716067939236,1.9256837980510015,6.654428818588919,9.713249060439605,1.5090867837427746,0.455470737913486,64.63612446992104,0.1644685101015802,0.1386267622694014,0.5007618932871538,US30,train,61.057953144266335,1.0,0.6507618932871538
60,55,10,2.5,0.0,,,"(480, 720)",,1,302,1.742521608965302,1.3001075118130423,2.259221164955726,6.783958806256479,11.73914890272134,1.82383817724154,0.4801324503311258,79.63790257657251,0.2637016641608361,0.2588652809717903,0.500183531504582,US30,train,46.91985203452528,1.0,0.650183531504582
60,55,10,2.0,0.0,,,"(570, 960)",,1,342,1.7527986861630191,1.2775764019320082,2.270365640062053,7.0011875277245394,12.653579205527317,1.965907496789694,0.4269005847953216,88.59008091481243,0.2590353243123171,0.3049913607605282,0.49961031745800477,US30,train,53.13440197287299,1.0,0.6496103174580048
60,40,10,2.0,0.0,,,"(570, 960)",,1,395,1.7195926062176905,1.3295421991540337,2.5054201073387725,7.363937225622166,13.506087625305176,2.09835640047898,0.4354430379746835,99.45798143649968,0.2517923580670878,0.2716645656572543,0.4990317778115087,US30,train,61.36868064118372,1.0,0.6490317778115087
60,55,10,2.0,0.0,,,"(480, 720)","(2.5, 1.5)",1,306,1.7550259346040205,1.267118633204972,2.6942334844340703,8.949173135471653,10.840459639657364,1.6842144446323395,0.457516339869281,97.0131501833864,0.3170364385077986,0.2874748831427561,0.4988356941280508,US30,train,47.541307028360045,1.0,0.6488356941280508
60,55,10,1.5,0.0,,,"(480, 720)","(2.5, 1.5)",1,306,1.7550259346040205,1.267118633204972,2.6942334844340703,8.949173135471653,10.840459639657364,1.6842144446323395,0.457516339869281,97.0131501833864,0.3170364385077986,0.2874748831427561,0.4988356941280508,US30,train,47.541307028360045,1.0,0.6488356941280508
60,55,10,2.5,0.0,,,"(480, 720)","(2.5, 1.5)",1,306,1.7550259346040205,1.267118633204972,2.6942334844340703,8.949173135471653,10.840459639657364,1.6842144446323395,0.457516339869281,97.0131501833864,0.3170364385077986,0.2874748831427561,0.4988356941280508,US30,train,47.541307028360045,1.0,0.6488356941280508
60,55,10,3.0,0.0,,,"(480, 720)","(2.5, 1.5)",1,306,1.7550259346040205,1.267118633204972,2.6942334844340703,8.949173135471653,10.840459639657364,1.6842144446323395,0.457516339869281,97.0131501833864,0.3170364385077986,0.2874748831427561,0.4988356941280508,US30,train,47.541307028360045,1.0,0.6488356941280508
60,40,10,1.5,0.0,,,"(480, 720)",,1,367,1.726354472968678,1.3137147779291485,3.997025834812787,10.797532979794768,13.047178594722482,2.027058573286107,0.4141689373297003,140.87734116978834,0.3838619650402952,0.2703367256577914,0.4985376186854696,US30,train,57.018495684340316,1.0,0.6485376186854696
60,40,10,2.5,3.0,,,"(570, 960)",,1,400,1.661697507085462,1.4070628167791808,2.0088614867070613,7.080977151290448,10.474976461116675,1.6274316080156614,0.455,74.17306898147247,0.1854326724536811,0.1608825951508046,0.4964968300413301,US30,train,62.14549938347719,1.0,0.6464968300413301
60,20,10,3.0,0.0,,,"(570, 960)",,1,531,1.6289555284398831,1.4517878603093493,2.617148671351736,6.924466715177289,11.7396660085841,1.823918516746728,0.4312617702448211,81.29092652373882,0.1530902571068527,0.3067184269417068,0.4951663560574007,US30,train,82.49815043156596,1.0,0.6451663560574007
60,55,10,1.5,0.0,50.0,,"(570, 960)",,1,293,1.7916306392116506,1.1644580097189412,2.365942561689163,9.426412867412168,10.229441046920112,1.5892843056867252,0.4197952218430034,96.42693471112194,0.3291021662495629,0.2631340256728495,0.4941795623095399,US30,train,45.52157829839704,1.0,0.6441795623095399
