strategy,feeds,n,per_yr,mean,pf,sharpe,trades_yr
IBS_SESSION,3,420,9.910323701159642,0.2716103393308311,1.481156247844418,0.9283075631066687,36.21051432686222
V56_CVD,1,157,7.944130976404314,0.12027435180634374,1.725489298603918,1.375056232558196,66.05008347245409
FTM_ORB,1,195,6.379372423084119,0.06465053859779998,1.3698974809896405,1.3120844496242288,98.67469879518072
APM_VWAP,3,394,2.4415009669635146,0.06819675083473455,1.314115999000476,0.5539107595325699,32.4202333379083
TFI,3,842,2.428727840156131,0.040681269256982656,1.2279553250400832,0.6050493514732369,57.1121697169876
TRENDDAY,3,153,1.0223295012049465,0.0757411724832041,2.462708746847798,0.7015950433883771,12.84938927123371
VWAP_DRIFT,4,2899,0.8492865478782827,0.0033225363325029914,1.0513537229801506,0.18260383794375412,177.4073011290753
CMMA,2,2106,0.627605022704429,0.0024904961218429724,1.1051580516530346,0.38103581431595474,252.0
