version,block,n,per_yr,net,R,usd,pf,win,dd,ret_dd,sharpe,top5
"RC1 (prior=2, cap=0)",ALL,342,159.3309948979592,11661.0,0.1620222758495049,34.09649122807018,1.3510816059251232,0.47368421052631576,-3031.5,3.846610588817417,1.8713212765756413,1.1672240802675586
"RC1 (prior=2, cap=0)",in-sample,195,169.58035714285714,7078.0,0.19415907236100893,36.297435897435896,1.3927204128058592,0.46153846153846156,-3031.5,2.334817746989939,2.0599594629325004,1.0008476970895732
"RC1 (prior=2, cap=0)",OUT-OF-SAMPLE,147,228.4755319148936,4583.0,0.1193918314975098,31.17687074829932,1.3016818615673238,0.4897959183673469,-2089.5,2.193347690835128,1.6368553678742337,1.3102771110626228
"alpha.2 (prior=1, cap=1)",ALL,342,159.3309948979592,11020.5,0.15506899105480124,32.223684210526315,1.3353059299601424,0.47076023391812866,-2870.0,3.8398954703832753,1.7918921995399644,1.2121047139421985
"alpha.2 (prior=1, cap=1)",in-sample,195,169.58035714285714,7214.5,0.1998898415917781,36.9974358974359,1.406450704225352,0.4666666666666667,-2870.0,2.5137630662020904,2.1092667564544585,0.9819114283734146
"alpha.2 (prior=1, cap=1)",OUT-OF-SAMPLE,147,228.4755319148936,3806.0,0.0956127607506482,25.891156462585034,1.2517695309915988,0.47619047619047616,-2298.0,1.6562228024369017,1.391481086780029,1.511823436678928
