version,block,n,rule_R,ctl_med,ctl_p95,excess,p
"RC1 (prior=2, cap=0)",ALL,342,0.1620222758495049,0.06114447412135435,0.1260603301152934,0.10087780172815056,0.004
"RC1 (prior=2, cap=0)",in-sample,195,0.19415907236100893,0.06024550090708433,0.15269828579312103,0.1339135714539246,0.005333333333333333
"RC1 (prior=2, cap=0)",OUT-OF-SAMPLE,147,0.1193918314975098,0.05553944419921693,0.15917444992523813,0.06385238729829287,0.15133333333333332
"alpha.2 (prior=1, cap=1)",ALL,342,0.15506899105480124,0.06114447412135435,0.1260603301152934,0.09392451693344689,0.009333333333333334
"alpha.2 (prior=1, cap=1)",in-sample,195,0.1998898415917781,0.06024550090708433,0.15269828579312103,0.13964434068469378,0.004666666666666667
"alpha.2 (prior=1, cap=1)",OUT-OF-SAMPLE,147,0.0956127607506482,0.05553944419921693,0.15917444992523813,0.04007331655143127,0.25666666666666665
