config,n_all,R_all,net_all,pf_all,n_is,R_is,net_is,pf_is,n_oos,R_oos,net_oos,pf_oos
"source values (warm ON, lb 120, strict ON)",342,0.15506899105480124,11020.5,1.3353059299601424,195,0.1998898415917781,7214.5,1.406450704225352,147,0.0956127607506482,3806.0,1.2517695309915988
"shipped defaults (warm OFF, lb 40, strict OFF)",454,0.14087054144963151,13167.5,1.307052829176723,307,0.1498213354651056,8650.5,1.3088912694161756,147,0.12217738660098834,4517.0,1.303592432032799
warm ON only,417,0.13681707752005806,11886.5,1.3058564701644237,270,0.14478757590932934,7369.5,1.3072609393566679,147,0.12217738660098834,4517.0,1.303592432032799
lookback 120 only,454,0.15535887237856896,15037.5,1.348267636296262,307,0.17849463266946264,10860.5,1.3844833079619074,147,0.10704133217921963,4177.0,1.2797535329180898
strict contiguity only,454,0.15550138321008142,14945.5,1.3537438312879442,307,0.16672812574323137,10155.0,1.3696087352138309,147,0.1320550569673805,4790.5,1.3242410910690716
lookback 20,454,0.14012408994543013,11429.5,1.263316131410404,307,0.14991453096052118,7313.0,1.2582775609669956,147,0.11967738660098837,4116.5,1.272769439750853
lookback 60,454,0.14845273886450594,13717.5,1.3160568637389982,307,0.1647800248017603,9653.5,1.3408601391193813,147,0.11435425734928767,4064.0,1.2694781513162257
lookback 90,454,0.1484417256486469,14211.5,1.327544482345349,307,0.16852595314052252,9871.5,1.346891801665671,147,0.1064971144921448,4340.0,1.2906704172526957
