config,n,real,per_trade,R,per_yr_usd,dd,ret_dd,n_winter,winter_usd,n_oos,oos_usd,oos_R
source: no fallback (all published figures),342,10319.128943023137,30.172891646266482,0.15506899105480124,4813.6166621190305,2566.313334491193,4.020993385466333,4,-584.5888208022205,147,3650.076216316068,0.0956127607506482
shipped Pine: fallback ON,578,15017.366354752558,25.981602689883317,0.11185896427972615,6074.300178375827,2096.9178490674058,7.161637906526219,179,1901.4756309354166,214,5890.995958261457,0.09179024488238294
