family,offset,price,exitpath,immed
bar.closehi.L,0.492511725197083,0.556969914164238,0.06445818896715505,-0.043017244275356
bar.closehi.S,0.5043171600494424,0.4760977599187074,-0.028219400130734984,-0.0656317438613444
bar.closelo.L,0.5040410199651759,0.5497225511740823,0.04568153120890639,-0.0494648836346527
bar.closelo.S,0.49280150112871823,0.408133583599525,-0.08466791752919323,-0.0626026466109402
bar.narrow.L,0.4985100147045674,0.5331884109185786,0.0346783962140112,-0.0396163508045893
bar.narrow.S,0.49848751976571054,0.4051988736316541,-0.09328864613405646,-0.0782650160670543
bar.wide.L,0.4986643752575725,0.5595993609495097,0.06093498569193717,-0.0488254581309673
bar.wide.S,0.49875726182352587,0.4428537886831485,-0.05590347314037736,-0.0462348788207039
bb.lower.L,0.5000657066019407,0.4821496832347747,-0.017916023367166023,-0.0411447500063052
bb.lower.S,0.4969081157957496,0.4746473726580404,-0.022260743137709205,-0.0369813538992832
bb.upper.L,0.49690847067927046,0.5048073564845617,0.00789888580529119,-0.0293408121763164
bb.upper.S,0.5003639953799213,0.5256509650862723,0.025286969706351026,-0.0834967230587291
don.break10.L,0.4987179370674552,0.5298194542523121,0.03110151718485693,-0.0394544940145153
don.break10.S,0.4986326262391385,0.4630500620720978,-0.0355825641670407,-0.0765809611729197
don.break100.L,0.49918130917775777,0.5569372456179124,0.05775593644015459,-0.032406071160507
don.break100.S,0.49937415455896145,0.4394044295915402,-0.059969724967421256,-0.0650219676907267
don.break20.L,0.49863909493578706,0.5363083514000182,0.03766925646423114,-0.0437398314477993
don.break20.S,0.49892039255020354,0.4909470337980868,-0.007973358752116744,-0.0715461469468223
don.break200.L,0.49971910831012767,0.524416863526546,0.02469775521641837,-0.0109834590305174
don.break200.S,0.49884201922846877,0.4392807671791456,-0.059561252049323166,-0.0773101041551491
don.break30.L,0.4985412060306741,0.533586517133314,0.035045311102639864,-0.0427595022432508
don.break30.S,0.4991126449762203,0.4844469174804574,-0.014665727495762948,-0.0706178966655138
don.break55.L,0.49849070695283165,0.5473170853150889,0.04882637836225728,-0.041360853700292
don.break55.S,0.49966207940358337,0.4745632742608963,-0.025098805142687086,-0.0627622072681875
don.low10.L,0.49913960696460585,0.5500651014766714,0.05092549451206557,-0.0366913236603458
don.low10.S,0.4974598218178731,0.4539596440735166,-0.04350017774435655,-0.0541335819023455
don.low100.L,0.4991865689501762,0.5311402579225903,0.03195368897241413,-0.0326374967511782
don.low100.S,0.49921120915463146,0.5753960344471426,0.07618482529251114,-0.0183088798358763
don.low20.L,0.4990254283430586,0.5329345263872508,0.03390909804419223,-0.0404534100503885
