feature,family,keep,thr,n,pf,usd,sharpe,p_ctrl,ctrl_usd
dist_ma200_atr,LOCATION,0.5,6.15001661475833,82,1.1711006777435122,7.921425373964869,0.3495790243026272,0.017456359102244388,-5.854337067092535
dist_ma200_atr,LOCATION,0.65,4.286817339115274,109,1.0810482486080009,3.6049794334428937,0.19005712756110033,0.022443890274314215,-6.387681717898966
ma200_slope_atr,LOCATION,0.65,0.19281421602729393,114,1.0702386736378586,3.0249894170153517,0.1680121572146141,0.034912718204488775,-6.387681717898966
adx14,TREND,0.5,25.884661460081283,84,1.0568126642314088,2.521260877930633,0.11441747154695443,0.08977556109725686,-5.854337067092535
range_eff14,CHOP,0.65,0.31289615984059893,115,1.0016731689983855,0.07715211412964544,0.004594862845537091,0.09226932668329177,-6.387681717898966
chop14_inv,CHOP,0.65,-44.026485321131275,115,1.0016731689983855,0.07715211412964544,0.004594862845537091,0.09226932668329177,-6.387681717898966
body_share,SHAPE,0.65,0.5893274853801169,143,0.9949626752089423,-0.2379075936584472,-0.014339849066488964,0.10972568578553615,-6.387681717898966
chop14_inv,CHOP,0.5,-39.83219024205641,90,1.0128850339904543,0.5804902346478527,0.030963154702078048,0.1396508728179551,-5.854337067092535
range_eff14,CHOP,0.5,0.3495200693804755,90,1.0128850339904543,0.5804902346478527,0.030963154702078048,0.1396508728179551,-5.854337067092535
body_share,SHAPE,0.5,0.6583468305715907,122,1.0111757596044157,0.534247279198408,0.02895456809881529,0.1396508728179551,-5.854337067092535
di_spread,TREND,0.65,18.837066090640015,113,0.9459192051947555,-2.6205455230289316,-0.14744228326616035,0.2119700748129676,-6.387681717898966
upwick_share,SHAPE,0.65,-0.1939697983176244,143,0.8687947081165884,-6.2838430845725295,-0.3896237402192319,0.4937655860349127,-6.387681717898966
di_spread,TREND,0.5,22.872290277817093,92,0.8860153288237732,-5.414346011911623,-0.2868507495738833,0.4937655860349127,-5.854337067092535
close_pos,SHAPE,0.65,0.8060302016823756,143,0.8687947081165884,-6.2838430845725295,-0.3896237402192319,0.4937655860349127,-6.387681717898966
bbwidth_rank250,VOLLEVEL,0.5,0.570281124497992,94,0.8392430459601773,-7.281179969179976,-0.4006082248875309,0.543640897755611,-6.460128621102561
atr_vs_mean,VOLCHG,0.5,1.5417579739363347,102,0.8489079536375659,-6.239875290988712,-0.38003474339701515,0.5461346633416458,-5.854337067092535
vol_trend5,PARTIC,0.65,2.107244769317061,132,0.8402205469265164,-7.26846022145093,-0.48415714277074245,0.5660847880299252,-6.387681717898966
vol_trend5,PARTIC,0.5,2.7352403175271283,107,0.7951249768336094,-7.554947116797589,-0.5245553209914945,0.6209476309226932,-5.854337067092535
adx14,TREND,0.65,23.008141729002006,115,0.8444859368408347,-7.895940006325218,-0.4218922846792002,0.6234413965087282,-6.387681717898966
eff_ratio20,TREND,0.65,0.3694784838985466,113,0.8464530885616028,-7.891815480723135,-0.43825679403004825,0.6234413965087282,-6.387681717898966
tr_vs_atr,VOLCHG,0.5,1.7153467231464732,126,0.8029520578915811,-9.899222664693147,-0.5900590563691616,0.7331670822942643,-5.854337067092535
ma200_slope_atr,LOCATION,0.5,0.4739644076762817,94,0.7821960430298251,-10.004183517667824,-0.5512911200327636,0.7356608478802993,-5.854337067092535
upwick_share,SHAPE,0.5,-0.13774388876429694,118,0.7902514664583278,-10.492411956986615,-0.5869663965867158,0.7630922693266833,-5.854337067092535
close_pos,SHAPE,0.5,0.8622561112357031,118,0.7902514664583278,-10.492411956986615,-0.5869663965867158,0.7630922693266833,-5.854337067092535
mins_into_window,CLOCK,0.5,150.0,120,0.7132560195850002,-11.595160008049898,-0.8357393709143297,0.8204488778054863,-6.085707869304969
atr_rank250,VOLLEVEL,0.65,0.5512048192771084,123,0.7690952081839979,-11.001762533362399,-0.6711277540726432,0.830423940149626,-6.387681717898966
eff_ratio20,TREND,0.5,0.4370829033367733,90,0.75411391486434,-13.037529531057872,-0.6878351431797939,0.8528678304239401,-5.854337067092535
atr_rank250,VOLLEVEL,0.5,0.6385542168674698,100,0.7043289426646333,-13.72918562647511,-0.7940553158977247,0.8628428927680798,-6.460128621102561
atr_vs_mean,VOLCHG,0.65,1.3663838925093739,131,0.7457611507521797,-11.88319985440706,-0.8063044337870631,0.8728179551122195,-6.387681717898966
vol_vs_tod,PARTIC,0.65,0.9488092943317374,129,0.7795806869402795,-12.485266466693623,-0.6758310852589616,0.8952618453865336,-6.387681717898966
vol_vs_tod,PARTIC,0.5,1.060910948115871,105,0.7480987199730585,-14.944875817365153,-0.7138612371432089,0.9077306733167082,-5.854337067092535
tr_vs_atr,VOLCHG,0.65,1.446298361025493,148,0.7509394209105752,-13.09222041722558,-0.8340158658527284,0.912718204488778,-6.387681717898966
bbwidth_rank250,VOLLEVEL,0.65,0.4789156626506024,119,0.7464123914135516,-13.700793992737848,-0.7891258700324932,0.9351620947630923,-6.387681717898966
mins_into_window,CLOCK,0.65,120.0,139,0.699729488660665,-14.211342252832749,-0.976300469842398,0.9501246882793017,-6.147598847552683
