cell,res_n,res_noC5,lock_n,lock_noC5,fwd_n,fwd_R,fwd_pf,fwd_ctl,fwd_p
"as published        (trail on,  0.5N, 3R)",604,-0.1206,308,0.1387,28,-0.1324,0.672,-0.132,0.502
"trail OFF           (0.5N, 3R)",524,-0.0704,273,0.2229,25,-0.3776,0.558,-0.2151,0.714
"trail OFF + wide    (2.5N, 3R)",354,0.2411,190,0.1535,21,-0.0134,0.983,,
"trail OFF + wide    (4.0N, 5R)",199,0.3554,126,0.4807,15,-0.1915,0.78,,
"trail OFF + no tgt  (2.5N, none)",10,65.9529,0,,13,-0.6656,0.285,,
