trail,stop,target,block,n,R,pf,win,totR,ret_dd
on,0.25,1.0,research,386,-0.1515,0.707,42.2,-58.5,-0.94
on,0.25,1.0,locked,218,-0.0468,0.898,45.0,-10.2,-0.34
on,0.25,2.0,research,383,-0.0827,0.859,30.0,-31.7,-0.85
on,0.25,2.0,locked,216,0.0487,1.097,35.6,10.5,0.5
on,0.25,3.0,research,382,-0.0826,0.865,26.2,-31.6,-0.82
on,0.25,3.0,locked,215,0.1791,1.349,33.5,38.5,2.23
on,0.25,5.0,research,382,-0.0445,0.928,25.1,-17.0,-0.67
on,0.25,5.0,locked,213,0.1372,1.261,31.9,29.2,1.3
on,0.25,0.0,research,380,-0.0737,0.881,24.7,-28.0,-0.9
on,0.25,0.0,locked,213,0.2183,1.41,31.5,46.5,2.53
on,0.5,1.0,research,383,-0.0869,0.806,41.5,-33.3,-0.94
on,0.5,1.0,locked,218,-0.0083,0.98,43.6,-1.8,-0.08
on,0.5,2.0,research,378,-0.0389,0.925,29.4,-14.7,-0.48
on,0.5,2.0,locked,215,0.0944,1.213,35.8,20.3,1.16
on,0.5,3.0,research,378,-0.0447,0.916,26.7,-16.9,-0.72
on,0.5,3.0,locked,214,0.1423,1.318,34.6,30.5,1.7
on,0.5,5.0,research,376,-0.0087,0.984,26.3,-3.3,-0.14
on,0.5,5.0,locked,212,0.1493,1.329,34.0,31.6,1.57
on,0.5,0.0,research,375,-0.0505,0.905,26.1,-18.9,-0.78
on,0.5,0.0,locked,212,0.1864,1.407,33.5,39.5,2.26
on,1.0,1.0,research,377,-0.0839,0.786,35.5,-31.6,-0.97
on,1.0,1.0,locked,215,0.0003,1.001,39.5,0.1,0.0
on,1.0,2.0,research,375,-0.0242,0.943,28.5,-9.1,-0.7
on,1.0,2.0,locked,214,0.0935,1.259,35.0,20.0,1.34
on,1.0,3.0,research,373,-0.0166,0.961,28.2,-6.2,-0.4
on,1.0,3.0,locked,211,0.1301,1.355,34.1,27.5,1.73
on,1.0,5.0,research,372,-0.0186,0.956,27.7,-6.9,-0.37
on,1.0,5.0,locked,211,0.1449,1.395,34.1,30.6,2.19
on,1.0,0.0,research,372,-0.0198,0.954,27.7,-7.4,-0.36
on,1.0,0.0,locked,211,0.1273,1.346,33.6,26.9,1.89
on,1.5,1.0,research,375,-0.0319,0.901,34.1,-12.0,-0.63
on,1.5,1.0,locked,215,0.0223,1.077,37.7,4.8,0.38
