build,thresh,n,pts,PF,ctl,p
session,0.5,1125,-1.0196270704640076,0.9675488950174396,0.8133579928120185,0.78
session,0.7,1078,-0.48267069860308104,0.9846455323188406,0.7745996962546042,0.7
session,0.85,1023,-0.5295614660199665,0.9833309147493983,0.89876778331571,0.705
session,0.95,950,-1.06606464434875,0.966402520305804,0.8601821143754427,0.765
interval,0.5,1031,-4.083023463367779,0.871022528931966,-0.8662697924650377,0.865
interval,0.7,965,-3.1224018448075266,0.9014246983551254,-1.1358532656558746,0.76
interval,0.85,853,-4.616712820513318,0.8591706748790597,-1.242030744867641,0.84
interval,0.95,738,-2.083048522602496,0.9355966708156679,-1.4461815738226294,0.595
