family,mkt_res_n,mkt_res_R,mkt_res_Rk,mkt_res_hold,mkt_res_fill,mkt_lk_n,mkt_lk_R,mkt_lk_Rk,mkt_lk_hold,mkt_lk_fill,lim_res_n,lim_res_R,lim_res_Rk,lim_res_hold,lim_res_fill,lim_lk_n,lim_lk_R,lim_lk_Rk,lim_lk_hold,lim_lk_fill,delta_res,immed_res,delta_lk,immed_lk
bar.closehi,15469,0.011877926218398187,-0.04311503619904225,207.1660094382313,1.0,8725,0.05693940223739784,-0.026658562652061596,208.14945558739254,1.0,2190,0.1007461314340087,-0.05219827504248243,190.2470319634703,0.14157346951968452,1196,-0.03833617795407709,-0.0349659072221565,189.48829431438128,0.13707736389684813,0.08886820521561052,-0.04311503619904225,-0.09527558019147492,-0.026658562652061596
bar.closelo,13180,-0.02936337539998099,-0.04980363195525488,199.38156297420335,1.0,7162,0.017963057853392483,-0.03550247300748532,199.60234571348786,1.0,2291,-0.0036525442010205376,-0.08218245487552049,178.54517677869927,0.1738239757207891,1237,0.05390626771897534,-0.05840510156496564,172.7914308811641,0.17271711812342921,0.025710831198960452,-0.04980363195525488,0.03594320986558286,-0.03550247300748532
bar.narrow,10565,0.057762535745487904,-0.04002436044606774,254.64183625177472,1.0,5489,0.13722978806968839,-0.014556540257629437,236.1519402441246,1.0,988,-0.08597716825230582,-0.0771544063568818,204.08603238866397,0.09351632749645054,563,-0.14078582877458182,-0.08681652712203348,184.97158081705152,0.10256877391145929,-0.14373970399779373,-0.04002436044606774,-0.27801561684427023,-0.014556540257629437
bar.wide,5911,-0.03336030590515057,-0.04886217476210855,185.88512941972593,1.0,3100,0.025504355352688413,0.0021103383832807125,199.17322580645163,1.0,1648,0.07917816743608633,-0.022147888591269618,180.11711165048544,0.2788022331246828,881,0.11210703079425749,-0.019578377687854583,187.98637911464246,0.28419354838709676,0.1125384733412369,-0.04886217476210855,0.08660267544156908,0.0021103383832807125
bb.lower,7377,-0.025974106952259615,-0.04295202109656941,190.87488138809815,1.0,4155,0.004054732021493271,-0.018385016241262403,194.17737665463298,1.0,1673,-0.11990024667312368,-0.08112761847390369,167.32098027495516,0.2267859563508201,1011,-0.09660334857277936,-0.05255965052000285,165.97230464886252,0.24332129963898916,-0.09392613972086407,-0.04295202109656941,-0.10065808059427263,-0.018385016241262403
bb.upper,7515,0.08771980830184227,-0.02988296836348999,202.1946773120426,1.0,3904,0.08790704287104849,-0.002625815671818144,213.55968237704917,1.0,1153,0.02665947700441753,-0.052349659181579015,183.7302688638335,0.15342648037258816,600,0.12803111108639542,-0.0028309276342422447,200.54833333333335,0.15368852459016394,-0.06106033129742474,-0.02988296836348999,0.040124068215346934,-0.002625815671818144
don.break10,24332,0.04885888876177643,-0.03964101987328393,205.04204339963835,1.0,13420,0.08862287801552493,-0.02887426588215846,206.45774962742175,1.0,3634,0.04623544633018237,-0.03338177666880127,183.82883874518436,0.14935064935064934,1950,0.10998736638265785,-0.062303382384591946,187.69076923076923,0.1453055141579732,-0.0026234424315940627,-0.03964101987328393,0.021364488367132922,-0.02887426588215846
don.break100,8119,0.17064435986596116,-0.03192308419635047,208.81992856263088,1.0,4534,0.11427961171385871,-0.03179264819943153,211.01830613145125,1.0,1321,0.13707676130200713,-0.026531019029899128,188.99394398183193,0.16270476659687153,698,0.25333880614825,-0.01935503004086899,205.34527220630372,0.15394794883105425,-0.033567598563954026,-0.03192308419635047,0.1390591944343913,-0.03179264819943153
don.break20,17230,0.05785441519575492,-0.044175688315339315,202.57295414973882,1.0,9509,0.08893312103420632,-0.024585024555678566,207.51498580292355,1.0,2662,0.0452634227490982,-0.03432059623465113,187.40270473328326,0.15449796865931514,1440,0.21889469869603767,-0.019930572822689206,197.5861111111111,0.15143548217478178,-0.01259099244665672,-0.044175688315339315,0.12996157766183136,-0.024585024555678566
don.break200,5679,0.16607677840057292,-0.010182074843297188,223.36819862651876,1.0,3161,0.15741287468853063,-0.001586914957694257,224.56627649478014,1.0,906,0.07892479253567199,-0.038348450612565914,191.7869757174393,0.1595351294241944,481,0.20359540974130602,0.023232695584583768,215.97920997920997,0.15216703574818097,-0.08715198586490093,-0.010182074843297188,0.04618253505277539,-0.001586914957694257
