name,n,mfe_full,mfe_excl,mae_full,mae_excl,mfe_share,mae_share
base 30/20 unfiltered,607,1.8074672787510815,1.7686861331806216,0.9831125328163339,0.5471730524104546,2.14560706168118,44.34278537341381
V24 shipped  CHOP<=40,333,1.8092133014189686,1.7764434107003517,0.9055482193171818,0.5221322193473538,1.8112784541720668,42.34076019264202
V21  CHOP<=45,427,1.8417268645282154,1.7993245985663624,0.9570105966449134,0.5248877803374421,2.302310227348233,45.1533993272809
V11  55/20 2.5N ADX>=25,506,1.6254118462415936,1.6011220513153441,0.8336080947140171,0.5234885874863109,1.494377869978879,37.20207483518953
V12  30/20 2.0N ADX>=25,601,1.9294129644339664,1.8993593214555617,0.9378776548169995,0.5559466010040534,1.557657356532871,40.72290792421846
V38  70/30 2.5N (geom),338,1.6117204968169634,1.586097193512598,0.8895066846716808,0.5407763618061674,1.5898106002231531,39.20491311363564
V40  40/25 1.5N MA200d,768,2.40609428691541,2.3535692322903006,1.2324356252471447,0.5912720875170017,2.1830006791814505,52.024099644277015
V42 SPEC 20/55 (1 unit),57,1.8612426410182064,1.856315937599146,0.7215196608218386,0.43508224337733226,0.26469968560171875,39.69918395823658
