name,n,mae,c_mae,d_mae,p_mae,mfe,c_mfe,d_mfe,ratio,c_ratio
base 30/20 unfiltered,679,3.4049136405432177,3.0151197408304222,0.38979389971279543,0.99,3.1974107394451483,2.8239966395926457,0.3734140998525026,0.93905780791992,0.9366117707865435
V24 shipped  CHOP<=40,366,2.989986269472484,2.7466753575368816,0.24331091193560228,0.975,3.139953858815557,2.619981350144652,0.519972508670905,1.0501566147223584,0.9538736869486301
V21  CHOP<=45,478,3.089622691145397,2.8456589568965036,0.24396373424889317,0.955,3.201122659011423,2.687584469207023,0.5135381898043998,1.0360885386379302,0.9444506562157127
V11  55/20 2.5N ADX>=25,529,3.3634552449995874,2.8708259813034056,0.49262926369618176,1.0,3.4401617957442836,2.718196928594925,0.7219648671493588,1.0228058782285672,0.9468344463570778
V12  30/20 2.0N ADX>=25,641,3.21930532766821,2.8792443381763997,0.3400609894918105,0.99,3.265963119495462,2.7116719248544188,0.5542911946410434,1.014493124161369,0.9417998635613833
V38  70/30 2.5N (geom),366,3.181182545017473,3.005374832357224,0.1758077126602493,0.825,2.8026238842536424,2.8512098270445785,-0.04858594279093609,0.8810006482159447,0.9487035681363818
V40  40/25 1.5N MA200d,873,3.7047445963045895,2.8354940895358545,0.869250506768735,1.0,3.3734594909575595,2.874912025073952,0.49854746588360754,0.9105781527618718,1.0139016108986316
V42 SPEC 20/55 (1 unit),60,2.309240789659918,2.5850499395329876,-0.2758091498730697,0.165,2.8122261206838464,2.8163932915331444,-0.004167170849298074,1.2178141548842134,1.0894927979774158
