name,tf,stop,mae_declared,mfe_declared,n_declared,mae_nostop,mfe_nostop,n_nostop,mae_h10,mfe_h10,maemed_h10,n_h10,mae_h20,mfe_h20,maemed_h20,n_h20,mae_h40,mfe_h40,maemed_h40,n_h40
base 30/20 unfiltered,30,2.0,2.0360475137065097,3.307630538724487,679,2.4841363594162873,3.864216356969074,594,2.6877927566354987,2.539387749472469,1.7926560523461599,679,3.4049136405432177,3.1974107394451483,2.264518555864886,679,4.198476028740645,3.9864373095197783,2.9855539234082906,679
V24 shipped  CHOP<=40,30,2.0,1.8842561562327147,3.3580467299114183,366,2.4486621607768524,4.071031253595702,332,2.2719502139160395,2.428066162070303,1.2304951835180553,366,2.989986269472484,3.139953858815557,1.8153817591331478,366,4.015370052563215,4.062260830061127,2.6702520047090097,366
V21  CHOP<=45,30,2.0,2.010583991338061,3.3550315111954583,478,2.5527365045880988,3.9743722674667668,425,2.4122008018194543,2.4627287494692074,1.3894678971055696,478,3.089622691145397,3.201122659011423,2.054904317695258,478,4.03362263338533,4.120556497449412,2.9170746109263,478
V11  55/20 2.5N ADX>=25,15,2.5,2.1349190267228026,3.9251574824075313,529,2.615676701730301,4.47718704794925,485,2.432963929365644,2.359405369455005,1.59669337087222,529,3.3634552449995874,3.4401617957442836,2.178537611741038,529,4.542979947409593,4.720643300577661,2.8765113386842476,529
V12  30/20 2.0N ADX>=25,15,2.0,1.9355859712169443,3.6579997462336364,641,2.555318871213349,4.423840399603333,566,2.3144253874821783,2.234064106388338,1.5038175059841952,641,3.21930532766821,3.265963119495462,2.0502790200664585,641,4.599024061178623,4.7414657689115645,2.950764768142694,641
V38  70/30 2.5N (geom),30,2.5,2.295258478035314,3.7729616124409944,366,2.737560787970151,4.404742705348435,324,2.492713462867578,2.0953123609726383,1.6089376954396086,366,3.181182545017473,2.8026238842536424,1.9540160691847572,366,4.0900980564911,3.769321351770531,3.0076196195044873,366
V40  40/25 1.5N MA200d,15,1.5,1.9243063775502172,3.2430492866326848,873,3.1224047939556123,4.698366678336765,641,2.6939704087509684,2.417415136234942,1.6040554793792088,873,3.7047445963045895,3.3734594909575595,2.385706890489495,873,5.096189725320067,4.635556646656675,3.2529307467207587,873
V42 SPEC 20/55 (1 unit),240,2.0,1.516752738123342,3.5557243614466096,60,1.5883308257534707,3.7214567297481773,57,1.542051548147722,1.902715822902097,0.8404820030850741,60,2.309240789659918,2.8122261206838464,1.667296303687705,60,3.0250026736445674,4.064294759478423,1.933414691486888,60
