n,sess,pct,pts,pf,win,sd,mde,ratio,need,ungated,kept,p_entry,p_gate,p_boot,tf,block,cfg,emax,eff_cells,be_driftless,be_realised
42,38,0.027182870294477725,13.907619047619288,1.6539241599437502,0.6904761904761905,0.13982723550884807,0.06045542201558006,0.44963494403318177,207.7443298332539,82,46,0.2025,0.0775,0.11275,0.5,research,"EMA 6.5/24.0min (13/48 bars), cross<=14.0min, end 615",1.9221059334695125,21,0.5114500000000001,0.574019994358399
39,35,0.01258161814438173,6.427948717948529,1.2546321850601863,0.6153846153846154,0.1379989428275362,0.06191723966956005,0.20320056597366604,944.5278774653925,83,43,0.2725,0.025,0.2765,0.5,second,"EMA 6.5/24.0min (13/48 bars), cross<=14.0min, end 615",1.9221059334695125,21,0.5114500000000001,0.5625847080566792
81,73,0.02015263777776484,10.306296296296328,1.4444323209442957,0.654320987654321,0.13827464102786996,0.04304950490667685,0.4681270509719434,369.62177076435256,165,89,0.145,0.0025,0.105,0.5,all,"EMA 6.5/24.0min (13/48 bars), cross<=14.0min, end 615",1.9221059334695125,21,0.5114500000000001,0.5687689763881708
44,38,0.021998733419002322,11.416818181818478,1.507662448103774,0.6363636363636364,0.13865172846036705,0.058568901775638865,0.3756043352711877,311.8828426104751,80,50,0.2375,0.035,0.157,1.0,research,"EMA 6.5/24.0min (7/24 bars), cross<=14.0min, end 600",1.9423428378752596,22,0.5114500000000001,0.5357377255593209
42,41,0.0061154013095262765,2.9457142857143146,1.109417357498307,0.6190476190476191,0.14428387119075747,0.06238228404599242,0.09803105806477991,4370.407273158923,81,50,0.585,0.0325,0.401,1.0,second,"EMA 6.5/24.0min (7/24 bars), cross<=14.0min, end 600",1.9423428378752596,22,0.5114500000000001,0.5966018617225877
86,79,0.014241757272514024,7.279767441860631,1.2879101556394943,0.627906976744186,0.14082100963654157,0.04254870622435476,0.33471657627893,767.6159850835149,161,100,0.305,0.015,0.1845,1.0,all,"EMA 6.5/24.0min (7/24 bars), cross<=14.0min, end 600",1.9423428378752596,22,0.5114500000000001,0.5684038446984016
29,29,0.03484160215783618,17.744482758620688,1.7776053421074194,0.7241379310344828,0.1513284578456923,0.07873897161362013,0.44249501160375,148.10892837866373,80,34,0.09,0.04,0.10725,2.0,research,"EMA 6.5/24.0min (3/12 bars), cross<=3.5min, end 600",2.0137372679945296,26,0.5114500000000001,0.596643571978445
25,25,0.02641055786114884,13.789999999999997,1.630449401647895,0.68,0.1369618320733149,0.07675341069388567,0.34409621178245253,211.14472006745586,80,27,0.4525,0.085,0.1585,2.0,second,"EMA 6.5/24.0min (3/12 bars), cross<=3.5min, end 600",2.0137372679945296,26,0.5114500000000001,0.5684728829686014
54,54,0.030938340909369828,15.913703703703701,1.7119314793342724,0.7037037037037037,0.14356432070244454,0.05474163585748576,0.565170193121642,169.05781878949045,160,61,0.135,0.0075,0.05875,2.0,all,"EMA 6.5/24.0min (3/12 bars), cross<=3.5min, end 600",2.0137372679945296,26,0.5114500000000001,0.5827414112116818
24,24,0.005961760045580265,3.2954166666664815,1.103241307102588,0.5833333333333334,0.1505280661133226,0.08609540874629101,0.06924596947031857,5005.209288475854,80,27,0.6075,0.1675,0.41575,3.0,research,"EMA 6.5/24.0min (2/8 bars), cross<=3.5min, end 600",1.9797731141609045,24,0.5114500000000001,0.5573490732344724
28,28,0.02311397019538793,12.174285714285713,1.535703118571107,0.6785714285714286,0.13838646452118927,0.07327953915524035,0.3154218825861026,281.43259317514116,82,30,0.6425,0.0225,0.18625,3.0,second,"EMA 6.5/24.0min (2/8 bars), cross<=3.5min, end 600",1.9797731141609045,24,0.5114500000000001,0.579725084278999
52,52,0.015197565510861318,8.076346153846067,1.3046524256790968,0.6346153846153846,0.14293999724564485,0.05554183558667534,0.2736237531643132,694.5375846826024,162,57,0.6775,0.0325,0.21325,3.0,all,"EMA 6.5/24.0min (2/8 bars), cross<=3.5min, end 600",1.9797731141609045,24,0.5114500000000001,0.569819715206456
26,26,0.022261519318294034,11.459999999999997,1.4301404122039982,0.6538461538461539,0.15428586167787434,0.08478276721023915,0.262571275399531,377.119440272933,82,26,0.235,0.24,0.2265,4.0,research,"EMA 6.5/24.0min (2/6 bars), cross<=3.5min, end 615",1.9971498874667046,25,0.5114500000000001,0.5681837946112319
20,20,0.00048001813327445546,0.20999999999999447,1.008414681258686,0.6,0.14122074182994176,0.08848132583382833,0.005425078441703618,679544.5778176916,82,20,0.6,0.13,0.4945,4.0,second,"EMA 6.5/24.0min (2/6 bars), cross<=3.5min, end 615",1.9971498874667046,25,0.5114500000000001,0.5983475409836065
46,46,0.01279130141176378,6.5686956521739095,1.2366366254870433,0.6304347826086957,0.14752694691746449,0.060948155912675925,0.20987183648494048,1044.3582600507316,164,46,0.25,0.0975,0.2755,4.0,all,"EMA 6.5/24.0min (2/6 bars), cross<=3.5min, end 615",1.9971498874667046,25,0.5114500000000001,0.5802963375833159
19,18,-0.0026219212412111367,-1.1321052631578983,0.9558544157067187,0.5789473684210527,0.1454439924545637,0.09349472702541094,-0.02804351993560583,24159.53398706693,77,19,0.11,0.5025,0.53875,5.0,research,"EMA 3.25/12.0min (1/2 bars), cross<=3.5min, end 600",2.0137372679945296,26,0.5114500000000001,0.5882316760635572
