tf,range_bars,range_first,range_min,entry_first,entry_last,entry_bars,flat_bar,cov_0900_1100,ema_fast_min,ema_slow_min,ema_fast_clock,ema_slow_clock,cross_bars,cross_min_nominal,cross_clock
0.5,5,540,4.5,567,599,33,660,0.9971920289855073,6.5,24.0,6.5,24.0,14,7.0,7.0
1.0,5,540,5.0,567,599,33,660,0.9979166666666667,13.0,48.0,13.0,48.0,7,7.0,7.0
2.0,3,540,6.0,568,598,16,660,0.9983695652173913,26.0,96.0,26.0,96.0,4,8.0,8.0
3.0,2,540,6.0,567,597,11,660,0.998641304347826,39.0,144.0,39.0,144.0,2,6.0,6.0
4.0,2,540,8.0,568,596,8,660,0.9989130434782608,52.0,192.0,52.0,192.0,2,8.0,8.0
5.0,1,540,5.0,570,595,6,660,0.9990942028985508,65.0,240.0,65.0,240.0,1,5.0,5.0
15.0,1,540,15.0,570,585,2,660,1.0,195.0,720.0,195.0,720.0,1,15.0,15.0
