tf,ema,xr,end,fast,slow,uniq,n,pct,pf,win,mde,ratio,t
0.5,3.25/12.0,3.5,590,7,24,0,26,0.0281034054112861,2.164408864348973,0.7692307692307693,0.06276259737202218,0.44777314177589816,1.254660343256067
0.5,3.25/12.0,3.5,600,7,24,0,26,0.0281034054112861,2.164408864348973,0.7692307692307693,0.06276259737202218,0.44777314177589816,1.254660343256067
0.5,3.25/12.0,3.5,615,7,24,1,27,0.034203344181425704,2.471653410864682,0.7777777777777778,0.06276537778038632,0.5449396688266883,1.526920952052381
0.5,3.25/12.0,7.0,590,7,24,2,35,0.00760624143662336,1.2075226102601424,0.6857142857142857,0.05637912004648785,0.13491238299483166,0.3780244971515183
0.5,3.25/12.0,7.0,600,7,24,3,36,0.007434454718701838,1.2086310250408798,0.6944444444444444,0.054792770463312886,0.13568313220591136,0.3801841364409637
0.5,3.25/12.0,7.0,615,7,24,4,37,0.012444381677792467,1.3589238497416738,0.7027027027027027,0.055109203363466995,0.2258131295369459,0.6327283889625224
0.5,3.25/12.0,14.0,590,7,24,5,48,0.01827177165924058,1.4803262980021927,0.6666666666666666,0.0516910767829181,0.3534801903232686,0.9904514932857985
0.5,3.25/12.0,14.0,600,7,24,6,49,0.017927897127244824,1.4811050326652322,0.673469387755102,0.05063433545326729,0.35406601008502003,0.9920929602582262
0.5,3.25/12.0,14.0,615,7,24,7,50,0.021425374228801038,1.586695678183994,0.68,0.05056996276608092,0.4236778723351523,1.187145398283097
0.5,6.5/24.0,3.5,590,13,48,8,19,0.04919505025883935,3.27630141326639,0.7894736842105263,0.07856747910524557,0.626150295505088,1.7544731280052572
0.5,6.5/24.0,3.5,600,13,48,9,20,0.0468063937254698,3.2797642323043292,0.8,0.07483555541029112,0.6254566224417056,1.7525294560816596
0.5,6.5/24.0,3.5,615,13,48,10,21,0.05375855365306912,3.749296814947531,0.8095238095238095,0.07380014387067219,0.7284342662973115,2.0410728141650667
0.5,6.5/24.0,7.0,590,13,48,11,28,0.020806444237152884,1.5085109594538724,0.6785714285714286,0.07207789497197,0.2886660916671359,0.8088423888513149
0.5,6.5/24.0,7.0,600,13,48,12,29,0.020138012352818247,1.5097520956949058,0.6896551724137931,0.06957326809446525,0.2894504298040914,0.8110401043110641
0.5,6.5/24.0,7.0,615,13,48,13,31,0.03112076572271699,1.8420858837614564,0.7096774193548387,0.06844049967655962,0.45471271936630275,1.2741050396643803
0.5,6.5/24.0,14.0,590,13,48,14,39,0.019474801374464588,1.4350312186676701,0.6666666666666666,0.06283888278945247,0.30991641655560176,0.8683857991887962
0.5,6.5/24.0,14.0,600,13,48,15,40,0.019023479329889178,1.4358456562723196,0.675,0.0612608207170379,0.31053255746863273,0.8701122260271089
0.5,6.5/24.0,14.0,615,13,48,16,42,0.027182870294477725,1.6539241599437502,0.6904761904761905,0.06045542201558006,0.44963494403318177,1.2598771131809754
0.5,13.0/48.0,3.5,590,26,96,17,8,-0.09689717512297343,0.0053979235614159855,0.375,0.0962956759777456,-1.0062463775150905,-2.8195023497972835
0.5,13.0/48.0,3.5,600,26,96,17,8,-0.09689717512297343,0.0053979235614159855,0.375,0.0962956759777456,-1.0062463775150905,-2.8195023497972835
0.5,13.0/48.0,3.5,615,26,96,18,9,-0.06524864155737171,0.24653645906268518,0.4444444444444444,0.12278526459406947,-0.5314044952632144,-1.4889953957275268
0.5,13.0/48.0,7.0,590,26,96,17,8,-0.09689717512297343,0.0053979235614159855,0.375,0.0962956759777456,-1.0062463775150905,-2.8195023497972835
0.5,13.0/48.0,7.0,600,26,96,17,8,-0.09689717512297343,0.0053979235614159855,0.375,0.0962956759777456,-1.0062463775150905,-2.8195023497972835
0.5,13.0/48.0,7.0,615,26,96,18,9,-0.06524864155737171,0.24653645906268518,0.4444444444444444,0.12278526459406947,-0.5314044952632144,-1.4889953957275268
0.5,13.0/48.0,14.0,590,26,96,19,15,-0.020390726117798873,0.6571538234187984,0.6,0.09845967983900127,-0.207097221432583,-0.5802864144540976
0.5,13.0/48.0,14.0,600,26,96,19,15,-0.020390726117798873,0.6571538234187984,0.6,0.09845967983900127,-0.207097221432583,-0.5802864144540976
0.5,13.0/48.0,14.0,615,26,96,20,16,-0.007370079049971327,0.8678194700192582,0.625,0.09906357312659154,-0.07439746838682304,-0.20846170641987816
1.0,3.25/12.0,3.5,590,3,12,0,34,0.02702656497108917,1.6647115757838573,0.6176470588235294,0.06572412172195798,0.41121226519273185,1.1522167670700345
1.0,3.25/12.0,3.5,600,3,12,0,34,0.02702656497108917,1.6647115757838573,0.6176470588235294,0.06572412172195798,0.41121226519273185,1.1522167670700345
1.0,3.25/12.0,3.5,615,3,12,1,35,0.02049669375787503,1.452914748872896,0.6,0.06638969536887142,0.3087330593097653,0.8650700321859622
1.0,3.25/12.0,7.0,590,3,12,2,41,0.012208074219541993,1.2778545336424494,0.6097560975609756,0.058173378559543736,0.2098567166259106,0.5880185199858016
1.0,3.25/12.0,7.0,600,3,12,3,42,0.01657408140260635,1.3864250107336527,0.6190476190476191,0.05807453962720038,0.28539324648978437,0.7996718766643757
1.0,3.25/12.0,7.0,615,3,12,4,43,0.011502150963210722,1.246934127481285,0.6046511627906976,0.05846154923098258,0.1967472828639133,0.551285886584685
1.0,3.25/12.0,14.0,590,3,12,5,48,0.006878266677723338,1.1520674549822456,0.5416666666666666,0.051932746430217315,0.13244565617121273,0.371112728591738
1.0,3.25/12.0,14.0,600,3,12,6,49,0.010729330131407443,1.2421501367898864,0.5510204081632653,0.05199391190572028,0.20635743182514837,0.5782135239740657
1.0,3.25/12.0,14.0,615,3,12,7,51,0.010043374808651506,1.215882811519648,0.5490196078431373,0.05223824779680494,0.19226094350863335,0.5387151637111907
