tf,exit,n,share,pts,of_net
0.5,stop,25,0.46296296296296297,-24.542000000000115,-0.878350029047459
0.5,target,19,0.35185185185185186,97.71,2.646510758727123
0.5,xcross,10,0.18518518518518517,-53.680000000000156,-0.768160729679664
1.0,stop,13,0.5416666666666666,-48.13230769230748,1.917059550972756
1.0,target,6,0.25,97.71,-1.7928758529078057
1.0,xcross,5,0.20833333333333334,-56.91999999999738,0.8758163019350493
2.0,stop,15,0.6818181818181818,-36.95666666666667,1.5021228350027616
2.0,target,4,0.18181818181818182,97.71,-1.1127986631790205
2.0,xcross,3,0.13636363636363635,-72.79,0.610675828176259
3.0,stop,7,0.6363636363636364,-43.49714285714244,5.6512816143944695
3.0,target,3,0.2727272727272727,97.71,-5.437851500278413
3.0,xcross,1,0.09090909090909091,-43.29,0.7865698858839429
4.0,stop,9,0.6,-48.84555555555556,1.6379293292874677
4.0,target,3,0.2,97.71,-1.103457498247105
4.0,flatten,1,0.06666666666666667,-10.29,0.040577384193234894
4.0,xcross,2,0.13333333333333333,-56.79,0.4249507847664024
5.0,stop,10,0.625,-42.790000000000006,3.2063415640340125
5.0,target,4,0.25,97.71,-2.949310409011842
5.0,xcross,2,0.125,-49.540000000000006,0.7429688449778286
15.0,stop,2,0.25,-75.54,-0.3708052073408672
15.0,target,6,0.75,97.71,1.3708052073408672
