n,sess,pct,pts,pf,win,sd,mde,ratio,need,ungated,kept,p_entry,p_gate,p_boot,reading,block
29,28,0.020138012352818247,10.703103448275959,1.5097520956949058,0.6896551724137931,0.13371288895776162,0.06957326809446525,0.2894504298040914,346.1382553229536,80,30,0.205,0.1725,0.1995,research 30s: 14 bars,first
25,24,0.030544058006326997,15.829999999999705,1.6954692339947348,0.68,0.14383958075848452,0.08060770105705473,0.37892233131307995,174.1163712256162,81,26,0.085,0.0425,0.15875,research 30s: 14 bars,second
54,52,0.024955626081294518,13.076666666666586,1.6006367294640222,0.6851851851851852,0.13726612794036694,0.05234011037361229,0.47679735298907794,237.5341675013168,161,56,0.0825,0.0325,0.101,research 30s: 14 bars,all
20,20,0.0468063937254698,24.200000000000138,3.2797642323043292,0.8,0.11944139117156538,0.07483555541029112,0.6254566224417056,51.12526888648807,80,21,0.07,0.0525,0.04325,Pine on a 30s chart: 7 bars,first
19,18,0.07243001383860814,37.97315789473684,3.0681913197531787,0.7894736842105263,0.14737965618629065,0.09473901597235618,0.7645214919663346,32.50679883196504,81,19,0.005,0.0025,0.02425,Pine on a 30s chart: 7 bars,second
39,38,0.05928969583187051,30.910000000000075,3.1489304055578042,0.7948717948717948,0.13262826516941253,0.0595075289215467,0.9963394028684442,39.287102060174824,161,40,0.005,0.0,0.0035,Pine on a 30s chart: 7 bars,all
