mkt,block,rule,n,usd,mc_mean,p5,p50,p95,p_le0,dd_real,dd50,dd95,dd99,p_ctrl
US100L,research,RSI14 >= 50,906,-4.083739009371784,-4.086687640822028,-15.518632251421176,-4.267226560588055,7.856992520132868,0.726,7619.421724443967,8372.359162760618,11840.444744165787,13441.230830000026,0.8428927680798005
US100L,research,RSI14 >= 55,904,-4.0116233877111025,-4.342242331344661,-15.756054210947006,-4.330866332281174,7.553140994030694,0.755,7656.981724443967,8371.893059990196,12088.764926698486,13357.504900520658,0.8453865336658354
US100L,research,RSI14 >= 60,871,-1.2754062771449048,-1.3445770010367233,-12.837159122194345,-1.4296862576893503,10.160731438353668,0.569,5589.239986918483,6883.949130931574,9986.530839567096,12127.91813353248,0.6932668329177057
US100L,research,close > linreg(9),901,-3.4889456797640106,-3.8050583110563707,-15.373219352010562,-4.01985365910602,7.24822463135614,0.71,7125.689085969788,8046.381503761888,11425.257456302861,13376.928721811992,0.8329177057356608
US100L,research,linreg(9) slope > 0,892,-3.1735823536111822,-3.7541491811994283,-15.895739965262601,-3.6490276595022393,7.748892573049348,0.695,6490.27809910287,7718.002116778802,11260.411317615672,13098.766251498488,0.8403990024937655
US100L,research,close > linreg(21),903,-3.854820932660118,-4.037510558923462,-15.37691413768196,-4.255093417948139,7.584072866717402,0.72,7518.710507903053,8134.024814963001,11762.553670747737,13185.86907171905,0.8403990024937655
US100L,research,linreg(21) slope > 0,862,-2.036040795624726,-1.94947292756385,-12.761711644366502,-2.05782694920332,10.275096306416964,0.614,5919.662157358392,6911.8600650349845,10047.159636303593,12117.049281127032,0.685785536159601
US100L,research,close > linreg(50),898,-3.4036833983319523,-3.560503373706698,-14.918526848366623,-3.9350393342818153,8.83417126683623,0.69,7022.758987439536,7943.32536502017,11441.466803739444,12960.960124411999,0.830423940149626
US100L,research,linreg(50) slope > 0,689,7.115879676665479,7.471539618831484,-4.211608542058053,6.958898682877583,19.578650306697003,0.162,3538.519528424863,3962.2214713363287,6164.9129509492295,7211.858161194331,0.2169576059850374
US100L,research,linreg 9/21 value state,854,-2.826276436896896,-2.716088945285148,-14.445102832868058,-2.5707167317744575,8.709078402307147,0.646,5951.844451443945,7668.5031028046005,11053.145539421523,12507.089305667834,0.7630922693266833
US100L,research,linreg 9/21 slope state,862,-4.775501591368503,-4.74152277521831,-16.148420387673717,-4.877898485652434,6.825399563824873,0.751,7416.538837208189,8353.936986931287,11816.636942208988,13389.757759737302,0.8354114713216958
US100L,research,close > SMA50,894,-2.874083189864477,-2.812829628654876,-13.473053887081448,-2.8806035698836423,9.086108415265375,0.673,6642.34561550288,7722.586153120148,10965.08186878108,12102.670682844471,0.770573566084788
US100L,research,close > EMA50,894,-3.199456430974943,-3.6889292609537034,-15.400805953426403,-3.7658333276169857,8.535253936614437,0.696,7022.911208151113,7798.381043127667,11295.580139442221,12922.169257290114,0.7830423940149626
US100L,research,close > SMA100,817,1.6003703503434532,1.4588984110752836,-9.509279036882296,1.1677647239578308,13.249400026807093,0.433,4524.838171341971,5591.840501393033,8531.746651703004,9840.586575909143,0.486284289276808
US100L,research,close > EMA100,842,2.757082499029059,2.4913467874020907,-8.638440513094055,2.328183127217207,14.445480795214586,0.369,4524.961365440433,5342.2848198909105,8370.805484879129,9758.140895404595,0.4389027431421446
US100L,research,close > SMA200,721,11.824123342253065,12.48226782294126,0.4004114915210722,12.379182199959146,24.505055860247715,0.045,2242.3190906097725,3293.913426898669,5122.252586931085,6203.8219251996015,0.04488778054862843
US100L,research,close > EMA200,776,8.096484863201207,8.332738686327078,-3.018761544448779,8.057011070284148,19.883244451901227,0.112,2242.3190906097707,3711.1230538718464,5822.910579209996,7064.574466493163,0.12718204488778054
US100L,research,EMA50 > EMA200,623,3.5032298714817096,3.583568276892182,-7.175630642361947,3.5171918256296797,14.250001086763126,0.282,1719.7239569485673,3503.482829867459,5242.6433101636985,6157.506476904283,0.38403990024937656
US100L,research,efficiency ratio(20) >= 0.2,804,0.6185817236144403,0.5368150201345315,-10.12805046470067,0.5552672862052432,11.781652852351375,0.473,4924.618308985268,5797.577711049382,8808.426846862345,10225.919872915018,0.5386533665835411
US100L,research,efficiency ratio(20) >= 0.3,703,-0.8367887446256999,-0.75094594744865,-13.079569215164534,-0.6960267712886945,12.174387878435056,0.541,4717.149534858505,5603.935693827811,8285.162137435864,9424.180782393632,0.6109725685785536
US100L,research,ATR expanding (>= 1.10x mean),718,2.4415035206798397,2.5226330082257076,-10.376659776945854,2.214264127335599,16.90107566234045,0.391,5514.560113404005,5517.342799280525,8562.870143147473,10107.174832845616,0.4538653366583541
US100L,research,ATR contracting (<= 0.90x mean),387,-3.1164657897399533,-3.206546773389898,-16.47321087192543,-3.4230181075434603,10.598524522639227,0.655,2360.182896315547,3860.767473386516,5556.608617664293,6433.296464884927,0.7306733167082294
US100L,research,vol percentile <= 0.5 (calm),553,5.364308693459009,5.6405585591823835,-6.714131444925514,5.6234562589380666,17.895186748382446,0.232,2290.9277482338807,3194.4144464939773,4958.712124364045,5947.158526302787,0.314214463840399
US100L,research,vol percentile > 0.5 (fast),710,-4.0649322629742475,-3.451785803925088,-17.424029762275357,-3.6353732977849793,10.318138135831289,0.649,7493.05465660969,7243.207776667887,10554.53606939102,12038.99039855731,0.7955112219451371
US100L,research,ATR pct rank(500) <= 0.2,257,14.208312797316076,14.445559047080073,-2.999956040234009,13.8126211849405,32.53921917907775,0.085,1508.947809567383,1516.2752778402305,2459.516263042946,2966.3410575740163,0.13466334164588528
US100L,research,"close > Bollinger upper(20,2)",805,0.07031638187979357,-0.2853746619709037,-12.724925873995732,-0.1935054458603862,11.855069117332738,0.506,5046.262298581696,5926.162182627952,9201.8898724046,10861.066476270726,0.5960099750623441
US100L,research,BB width > its 20-bar mean,786,1.9449326988945985,2.2683121135990083,-9.724306164067874,2.1096021755250485,14.523112205225043,0.381,4169.714772080699,5564.6827975797005,8352.931636328558,9732.407416149676,0.48129675810473815
US100L,research,MACD histogram > 0,892,-3.4941602775343945,-3.327639174936891,-15.179034765841447,-3.623846960053563,8.431834580467843,0.69,7051.641123079737,7881.192418549361,11396.302602366499,12938.848328269243,0.8478802992518704
US100L,research,close > prior 55-bar high,634,6.1150715893636445,6.145607458788863,-6.335101260537315,6.003420880634026,19.73428011808634,0.23,3072.9666691020493,3909.210130818091,6129.004809338269,7139.508139788072,0.2793017456359102
US100L,research,body >= 60% of range,808,-1.7473999800129574,-1.4905301593415778,-12.813556703364391,-1.5811075273911301,10.42398915249984,0.592,5210.883488479134,6616.248910136301,9816.83039355395,11314.75525084314,0.6807980049875312
US100L,research,body <= 30% of range,235,-2.9427523443560855,-2.948502812018848,-22.24029314982101,-3.763815282496066,18.980922140184575,0.609,2923.0039870711316,3271.437641677781,4792.3376662403625,5359.5658784617435,0.6508728179551122
