,NAS|A,NAS|B,NAS|D,NAS|E,US30|A,US30|B,US30|D,US30|E
NAS|A,1.0,0.5012104596744803,0.24828850394943416,0.19898262299957797,0.14266883163525915,0.09696024864454486,0.016816964581782518,0.08740839527313896
NAS|B,0.5012104596744803,1.0,0.22695214256630813,0.1234817877479551,0.09492104399653868,0.10768450543291493,0.12790805409762013,0.121827112614873
NAS|D,0.24828850394943416,0.22695214256630813,1.0,0.6631686117406139,0.2615326814643368,0.12340048834382343,0.38412603750358854,0.2701401962755745
NAS|E,0.19898262299957797,0.1234817877479551,0.6631686117406139,1.0,0.2147478859787257,0.061536573574168384,0.40769296225877266,0.2788335548692927
US30|A,0.14266883163525915,0.09492104399653868,0.2615326814643368,0.2147478859787257,1.0,0.5378300669973718,0.3773933641958779,0.373858988561313
US30|B,0.09696024864454486,0.10768450543291493,0.12340048834382343,0.061536573574168384,0.5378300669973718,1.0,0.21767707076723825,0.20159031471865432
US30|D,0.016816964581782518,0.12790805409762013,0.38412603750358854,0.40769296225877266,0.3773933641958779,0.21767707076723825,1.0,0.6061192352551733
US30|E,0.08740839527313896,0.121827112614873,0.2701401962755745,0.2788335548692927,0.373858988561313,0.20159031471865432,0.6061192352551733,1.0
