legs,k,days,mean_day,total,pf,sharpe,mdd,max_pair_r
NASB,1,1478,0.5949777687101041,879.3771421535339,1.201397136874615,0.5823256409827438,460.9191443034015,0.0
NASB+NASE+US30D,3,1478,2.0509832280844247,3031.3532111087798,1.1270630515725604,0.5449771468837238,1353.982453008175,0.2328724159521699
NASB+NASE,2,1478,1.1346507421870706,1677.0137969524903,1.1323609854357723,0.5394655428150679,745.9623006941674,0.2328724159521699
NASB+US30D,2,1478,1.5113102546074582,2233.7165563098233,1.1257324150688497,0.5008538126413014,1324.4283515326351,0.08902370096696828
NASB+NASD+NASE+US30D,4,1478,2.055544114385369,3038.0942010615754,1.1008697655351916,0.44068893862475667,1727.6214255549758,0.6302685841962127
NASE+US30D,2,1478,1.4560054593743206,2151.976068955246,1.1029665159795288,0.422958415160439,1121.0221955811576,0.1888760231218929
NASB+NASD+US30D,3,1478,1.5158711409084025,2240.457546262619,1.095294259066441,0.40938409412660715,1462.7751629668555,0.2276586638846459
NASB+NASE+US30D+US30E,4,1478,2.2345159221796074,3302.61453298146,1.0860370881051564,0.36753656734920104,1682.9568058873774,0.5661331642163295
NASB+NASD+NASE,3,1478,1.139211628488015,1683.754786905286,1.0840344644250322,0.35704027905868924,1140.6833417680446,0.6302685841962127
NASD+NASE+US30D,3,1478,1.4605663456752649,2158.7170589080415,1.0796684353038566,0.3366283395133104,1722.2919185216924,0.6302685841962127
NASE,1,1478,0.5396729734769665,797.6366547989564,1.0878935093828839,0.3339874219589195,524.2781738138528,0.0
US30D,1,1478,0.9163324858973542,1354.3394141562894,1.0935105115238624,0.3332455630108812,1070.0139828815918,0.0
NASB+NASD+NASE+US30D+US30E,5,1478,2.2390768084805517,3309.3555229342555,1.075754759617525,0.32851000363127586,1923.23567827415,0.6302685841962127
NASB+NASE+US30E,3,1478,1.3181834362822533,1948.2751188251705,1.0730228154624786,0.3156788365308809,1400.0010006934363,0.27795284363045725
NASB+US30D+US30E,3,1478,1.694842948702641,2504.9778781825034,1.0749474475290561,0.3142858527479709,1735.7059956974808,0.5661331642163295
NASB+NASD,2,1478,0.5995386550110484,886.1181321063295,1.0732531930681104,0.30701971574945114,880.7066488001074,0.20625560935315027
NASB+NASD+US30D+US30E,4,1478,1.6994038350035854,2511.718868135299,1.0659308482828733,0.2848744352317752,1756.2258690917834,0.5661331642163295
NASE+US30D+US30E,3,1478,1.6395381534695033,2423.237390827926,1.0672178930759135,0.27977627186685766,1538.0319389360075,0.5661331642163295
NASD+US30D,2,1478,0.9208933721982984,1361.080404109085,1.0666008893959833,0.2709860953723627,1411.5641146644011,0.2276586638846459
NASB+NASD+NASE+US30E,4,1478,1.3227443225831976,1955.016108777966,1.0599053526523916,0.2640567648826565,1656.3304382940096,0.6302685841962127
NASD+NASE+US30D+US30E,4,1478,1.6440990397704476,2429.9783807807216,1.0589713092766366,0.25009395740086476,1755.206410189745,0.6302685841962127
NASB+US30E,2,1478,0.7785104628052869,1150.638464026214,1.0546628116032348,0.23228176037921158,1232.9911915110697,0.047973131790236205
US30D+US30E,2,1478,1.099865179992537,1625.6007360289695,1.0525113214757025,0.21077834880389013,1525.491174812414,0.5661331642163295
NASB+NASD+US30E,3,1478,0.7830713491062312,1157.3794539790097,1.043948566447016,0.1963679327104659,1489.320629111643,0.20625560935315027
NASD+NASE,2,1478,0.5442338597779107,804.3776447517521,1.0490622355786516,0.1954996350839345,983.2728712745338,0.6302685841962127
NASD+US30D+US30E,3,1478,1.1044260662934813,1632.3417259817652,1.0456708731825881,0.19191856993151366,1692.7918541399858,0.5661331642163295
NASE+US30E,2,1478,0.7232056675721492,1068.8979766716366,1.0442912583305899,0.18479721183415027,1231.9717326090313,0.27795284363045725
NASD+NASE+US30E,3,1478,0.7277665538730935,1075.6389666244322,1.035883011207745,0.15392656597672433,1488.3011702096046,0.6302685841962127
US30E,1,1478,0.18353269409518277,271.2613218726801,1.014718168080739,0.05838657619275713,1064.9619234266647,0.0
NASD+US30E,2,1478,0.18809358039612706,278.0023118254758,1.0117169993599777,0.05039246282219437,1321.291361027238,0.2060437269102431
NASD,1,1478,0.004560886300944279,6.740989952795644,1.0008147178383868,0.0031096262313369026,779.3935006582378,0.0
