tf,keep,src,n_sig,base_n,base_pct,base_pf,base_hit,base_win,kept_n,kept_pct,kept_pf,kept_hit,kept_win,uplift,thr,kept_sd,p_gate,null_sd,mde_uplift,mde_kept,p_boot,twin_uplift,twin_pf
15.0,0.7,score,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,2,0.04558671985590324,1.9515973160754794,0.5,0.5,0.08425714874531773,-0.010517874337382004,0.19996649770367766,0.245,0.07830961376324759,0.21942353776461976,0.3961962616349778,0.288,0.08425714874531773,1.9515973160754794
15.0,0.5,score,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,2,0.04558671985590324,1.9515973160754794,0.5,0.5,0.08425714874531773,-0.0010441514097118214,0.19996649770367766,0.3275,0.13207462303382217,0.37007309374076974,0.3961962616349778,0.288,0.22565481528171238,inf
0.5,0.7,score,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,21,0.02164071785637369,1.6512488068792732,0.2857142857142857,0.7619047619047619,0.0015027055035554439,-0.0017495122973338864,0.1266463998895834,0.5325,0.017983049908597108,0.0503885058438891,0.07743750155206816,0.47,-0.0035766156226854154,1.533288581560195
1.0,0.7,score,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,9,-0.01629102698622623,0.7260439407246498,0.2222222222222222,0.5555555555555556,0.0031101340540875023,-0.011309617217973666,0.1413962277875307,0.535,0.03023883662112417,0.08472922021238993,0.13206407675355367,0.4805,0.016137468496446438,0.9510789813683975
0.5,0.5,score,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,15,0.0037231012773343234,1.1050076060436635,0.2,0.8,-0.016414911075483922,0.010643529589152776,0.12196529102691656,0.785,0.025259896302063982,0.07077822943838327,0.08823863025181157,0.745,0.016673953583414582,3.609076453879425
2.0,0.5,score,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,6,-0.025098051360280222,0.5716312605314304,0.16666666666666666,0.6666666666666666,-0.04066768323101275,0.0015622951351092708,0.14031994038576429,0.82,0.03629091185447507,0.10168713501623915,0.1605136229369034,0.8515,-0.012189707127687873,1.0739043852564618
5.0,0.7,score,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,7,-0.03635339156565087,0.4262826979080364,0.14285714285714285,0.5714285714285714,-0.030322992647342065,-0.015472325662799713,0.13400311592685546,0.8675,0.0309168991210042,0.08662915133705378,0.14191686469427303,0.759,-0.0034333334495390225,0.8506464797927626
2.0,0.7,score,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,9,-0.018442140496010496,0.7060883653706452,0.2222222222222222,0.5555555555555556,-0.03401177236674302,-0.011338082026134054,0.14513543956891017,0.8675,0.024145810675106506,0.06765656151164844,0.1355565005573621,0.926,-0.008362295387757752,1.140696362104016
5.0,0.5,score,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,5,-0.05144124500302623,0.4201222454603201,0.2,0.4,-0.04541084608471742,-0.00342844003140621,0.16105686217061368,0.87,0.04443968686691655,0.12452000260110017,0.20181914518835417,0.7685,-0.04541084608471742,0.4201222454603201
4.0,0.7,score,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,4,-0.03000454558633571,0.02267490273162432,0.0,0.5,-0.04183059641190559,0.005981742972236493,0.049173800757210194,0.8825,0.027383279699607646,0.07672794971830063,0.06889249486085149,0.9805,-0.04183059641190559,0.02267490273162432
4.0,0.5,score,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,3,-0.0404542956518023,0.011724782190333693,0.0,0.3333333333333333,-0.05228034647737218,0.025666388523999453,0.05451523055789449,0.905,0.03843265266013297,0.10768829275369257,0.08819122127117279,0.98,-0.052312056663781546,0.010950120541290628
1.0,0.5,score,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,6,-0.08873378595778779,0.005212773627636967,0.0,0.3333333333333333,-0.06933262491747405,0.009945174030866947,0.0907319314587015,0.97,0.04603912269585064,0.1290016217937735,0.103789318855615,0.958,0.03270791200135384,1.2622995103104122
3.0,0.7,score,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.011285410320144029,,1.0,0.19887409174029583,0.5572452050563089,,,-0.19862534356071931,0.0
3.0,0.5,score,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.011285410320144029,,1.0,0.19871492877623148,0.5567992304310007,,,-0.19862534356071931,0.0
