tf,keep,src,n_sig,base_n,base_pct,base_pf,base_hit,base_win,kept_n,kept_pct,kept_pf,kept_hit,kept_win,uplift,thr,kept_sd,p_gate,null_sd,mde_uplift,mde_kept,p_boot
2.0,0.5,score,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,6,-0.025098051360280222,0.5716312605314304,0.16666666666666666,0.6666666666666666,-0.04066768323101275,0.0015622951351092708,0.14031994038576429,0.82,0.03629091185447507,0.10168713501623915,0.1605136229369034,0.8515
2.0,0.5,twin,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,8,0.003379924743044653,1.0739043852564618,0.25,0.5,-0.012189707127687873,-0.0003885444544922323,0.13627231041471782,,,,,
3.0,0.7,score,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.011285410320144029,,1.0,0.19887409174029583,0.5572452050563089,,
3.0,0.7,twin,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.0009942243091162692,,,,,,
3.0,0.5,score,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.011285410320144029,,1.0,0.19871492877623148,0.5567992304310007,,
3.0,0.5,twin,2,2,-0.0074243839358027475,0.9279359984989248,0.5,0.5,1,-0.20604972749652206,0.0,0.0,0.0,-0.19862534356071931,0.0009942243091162692,,,,,,
4.0,0.7,score,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,4,-0.03000454558633571,0.02267490273162432,0.0,0.5,-0.04183059641190559,0.005981742972236493,0.049173800757210194,0.8825,0.027383279699607646,0.07672794971830063,0.06889249486085149,0.9805
4.0,0.7,twin,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,4,-0.03000454558633571,0.02267490273162432,0.0,0.5,-0.04183059641190559,0.0010687581490273494,0.049173800757210194,,,,,
4.0,0.5,score,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,3,-0.0404542956518023,0.011724782190333693,0.0,0.3333333333333333,-0.05228034647737218,0.025666388523999453,0.05451523055789449,0.905,0.03843265266013297,0.10768829275369257,0.08819122127117279,0.98
4.0,0.5,twin,6,6,0.011826050825569883,1.5778072645764911,0.16666666666666666,0.6666666666666666,3,-0.040486005838211665,0.010950120541290628,0.0,0.3333333333333333,-0.052312056663781546,0.013673467475516503,0.05447869278254366,,,,,
5.0,0.7,score,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,7,-0.03635339156565087,0.4262826979080364,0.14285714285714285,0.5714285714285714,-0.030322992647342065,-0.015472325662799713,0.13400311592685546,0.8675,0.0309168991210042,0.08662915133705378,0.14191686469427303,0.759
5.0,0.7,twin,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,7,-0.00946373236784783,0.8506464797927626,0.2857142857142857,0.5714285714285714,-0.0034333334495390225,-0.003862208173896384,0.15933045664087284,,,,,
5.0,0.5,score,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,5,-0.05144124500302623,0.4201222454603201,0.2,0.4,-0.04541084608471742,-0.00342844003140621,0.16105686217061368,0.87,0.04443968686691655,0.12452000260110017,0.20181914518835417,0.7685
5.0,0.5,twin,11,10,-0.006030398918308807,0.9052210148219003,0.3,0.6,5,-0.05144124500302623,0.4201222454603201,0.2,0.4,-0.04541084608471742,0.005341509366397879,0.16105686217061368,,,,,
15.0,0.7,score,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,2,0.04558671985590324,1.9515973160754794,0.5,0.5,0.08425714874531773,-0.010517874337382004,0.19996649770367766,0.245,0.07830961376324759,0.21942353776461976,0.3961962616349778,0.288
15.0,0.7,twin,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,2,0.04558671985590324,1.9515973160754794,0.5,0.5,0.08425714874531773,-0.0220149684713005,0.19996649770367766,,,,,
15.0,0.5,score,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,2,0.04558671985590324,1.9515973160754794,0.5,0.5,0.08425714874531773,-0.0010441514097118214,0.19996649770367766,0.3275,0.13207462303382217,0.37007309374076974,0.3961962616349778,0.288
15.0,0.5,twin,4,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,1,0.1869843863922979,inf,1.0,1.0,0.22565481528171238,0.013596321006861348,,,,,,
