tf,keep,src,n_sig,base_n,base_pct,base_pf,base_hit,base_win,kept_n,kept_pct,kept_pf,kept_hit,kept_win,uplift,thr,kept_sd,p_gate,null_sd,mde_uplift,mde_kept,p_boot
0.5,0.7,score,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,21,0.02164071785637369,1.6512488068792732,0.2857142857142857,0.7619047619047619,0.0015027055035554439,-0.0017495122973338864,0.1266463998895834,0.5325,0.017983049908597108,0.0503885058438891,0.07743750155206816,0.47
0.5,0.7,twin,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,20,0.01656139673013283,1.533288581560195,0.25,0.7,-0.0035766156226854154,-0.023086579700529408,0.1171014928013787,,,,,
0.5,0.5,score,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,15,0.0037231012773343234,1.1050076060436635,0.2,0.8,-0.016414911075483922,0.010643529589152776,0.12196529102691656,0.785,0.025259896302063982,0.07077822943838327,0.08823863025181157,0.745
0.5,0.5,twin,30,29,0.020138012352818247,1.5097520956949058,0.3103448275862069,0.6896551724137931,15,0.03681196593623283,3.609076453879425,0.26666666666666666,0.8,0.016673953583414582,-0.015535593599624597,0.10035446136564115,,,,,
1.0,0.7,score,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,9,-0.01629102698622623,0.7260439407246498,0.2222222222222222,0.5555555555555556,0.0031101340540875023,-0.011309617217973666,0.1413962277875307,0.535,0.03023883662112417,0.08472922021238993,0.13206407675355367,0.4805
1.0,0.7,twin,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,9,-0.003263692543867294,0.9510789813683975,0.3333333333333333,0.4444444444444444,0.016137468496446438,-0.01601824053523606,0.15840039707738163,,,,,
1.0,0.5,score,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,6,-0.08873378595778779,0.005212773627636967,0.0,0.3333333333333333,-0.06933262491747405,0.009945174030866947,0.0907319314587015,0.97,0.04603912269585064,0.1290016217937735,0.103789318855615,0.958
1.0,0.5,twin,13,12,-0.01940116104031373,0.7113739579327497,0.25,0.5,6,0.013306750961040106,1.2622995103104122,0.3333333333333333,0.5,0.03270791200135384,-0.004455112373421931,0.15504049038298442,,,,,
2.0,0.7,score,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,9,-0.018442140496010496,0.7060883653706452,0.2222222222222222,0.5555555555555556,-0.03401177236674302,-0.011338082026134054,0.14513543956891017,0.8675,0.024145810675106506,0.06765656151164844,0.1355565005573621,0.926
2.0,0.7,twin,16,13,0.015569631870732526,1.3474591079844038,0.3076923076923077,0.6153846153846154,10,0.007207336482974776,1.140696362104016,0.3,0.5,-0.008362295387757752,-0.0038062694674749794,0.14439039591450198,,,,,
