tf,locked,locked_sess,locked_pct,locked_pf,locked_mde,gated,gated_unl_pct,gated_unl_pf,ungated,ung_sess,ung_pct,ung_pf,ung_sd,ung_win,ung_hit
0.5,54,52,0.024955626081294518,1.6006367294640222,0.05234011037361229,56,0.030877770829846163,1.7706969195687308,161,92,-0.0008292455681872842,0.9842263025958314,0.1353981603287288,0.6086956521739131,0.2732919254658385
1.0,24,24,-0.026090173553338914,0.6436240777155358,0.08408131212391484,28,-0.00832890278602516,0.8787420011603746,161,92,-0.0046164113444533954,0.9245437704465735,0.14634548361663727,0.5962732919254659,0.2981366459627329
2.0,22,20,-0.03183355370598252,0.5297543271195533,0.08066866816658547,27,-0.037077137117148454,0.44120016843561105,160,92,-0.010175315455831304,0.8429447104975071,0.14866915268955383,0.56875,0.2875
3.0,11,9,-0.009415411474009651,0.8459170998252912,0.1275280868669514,13,0.006290236013226478,1.1216557800416127,161,92,-0.02026623985268474,0.7233255186117312,0.1521337474719689,0.5279503105590062,0.2795031055900621
4.0,15,13,-0.03402986529322385,0.5269955879277339,0.10011523283364067,16,-0.04421119824264263,0.4456677191507405,159,92,-0.023595731690271866,0.6898693753431411,0.15313252660713367,0.5283018867924528,0.27672955974842767
5.0,16,14,-0.016079859965806735,0.748489223628109,0.10261789623441399,18,-0.025157123037035337,0.6287915197447971,153,92,-0.005790474597049707,0.8890824830447499,0.13374221076078657,0.5816993464052288,0.24183006535947713
15.0,8,8,0.10214111987308505,3.6968337558451223,0.15787205216990946,10,0.04244336193701966,1.610089266121453,145,92,-0.004569053929785669,0.9386672570764428,0.1644077752869663,0.5379310344827586,0.36551724137931035
