tf,block,n,pct,pf,win,hit,null_med,null_sd,p_entry,mde,per_mde,boot_p
0.5,ALL,54,0.024955626081294518,1.6006367294640222,0.6851851851851852,0.35185185185185186,0.00010734380147509691,0.016397171365003085,0.0625,0.05234011037361229,0.47679735298907794,0.1005
0.5,research,29,0.020138012352818247,1.5097520956949058,0.6896551724137931,0.3103448275862069,0.0012593357472546578,0.025446564655401734,0.2525,0.06957326809446525,0.2894504298040914,0.21275
0.5,holdout,25,0.030544058006326997,1.6954692339947348,0.68,0.4,0.0012625241151897528,0.023388429875074557,0.08,0.08060770105705473,0.37892233131307995,0.149
1.0,ALL,24,-0.026090173553338914,0.6436240777155358,0.5,0.25,-0.011951662573299864,0.02381820052978362,0.695,0.08408131212391484,-0.3102969363143206,0.81675
1.0,research,12,-0.01940116104031373,0.7113739579327497,0.5,0.25,-0.01960918076318579,0.03685551699383668,0.5,0.11918598622924508,-0.1627805554505132,0.67325
1.0,holdout,12,-0.032779186066364104,0.5861233258629703,0.5,0.25,-0.001734959370761392,0.030831893838856445,0.8625,0.12367252237387436,-0.2650482535422813,0.78075
2.0,ALL,22,-0.03183355370598252,0.5297543271195533,0.5,0.18181818181818182,-0.022262445826421732,0.024464570858795796,0.66,0.08066866816658547,-0.394621039735581,0.861
2.0,research,13,0.015569631870732526,1.3474591079844038,0.6153846153846154,0.3076923076923077,-0.022741966155602,0.03425219788595839,0.1125,0.11053840538609974,0.14085269111988127,0.3345
2.0,holdout,9,-0.1003048217612376,0.004444080661804431,0.3333333333333333,0.0,-0.021769361880093915,0.03386860434031384,0.99,0.08657712930312948,-1.1585602637625443,1.0
3.0,ALL,11,-0.009415411474009651,0.8459170998252912,0.6363636363636364,0.2727272727272727,0.014895645676260411,0.04354555924617686,0.7075,0.1275280868669514,-0.07383010053175691,0.625
3.0,research,2,,,,,,,,,,
3.0,holdout,9,-0.00985786203805563,0.8096602335587559,0.6666666666666666,0.2222222222222222,0.02308939303418065,0.049751669403645546,0.7275,0.12744320724722677,-0.07735101972859477,0.64075
4.0,ALL,15,-0.03402986529322385,0.5269955879277339,0.4666666666666667,0.2,0.014868208719572167,0.03353929740704818,0.9075,0.10011523283364067,-0.339906968500693,0.83625
4.0,research,6,0.011826050825569883,1.5778072645764911,0.6666666666666666,0.16666666666666666,0.028190316964645957,0.04507838150894351,0.57,0.10969340322563796,0.10781004579868712,0.4315
4.0,holdout,9,-0.06460047603908634,0.3920644446958113,0.3333333333333333,0.2222222222222222,0.004494471447501041,0.0452396883401643,0.94,0.14807894445801065,-0.43625699977490373,0.91675
5.0,ALL,16,-0.016079859965806735,0.748489223628109,0.5625,0.25,-0.01884656049411901,0.03294007047347919,0.475,0.10261789623441399,-0.15669644921461745,0.68325
5.0,research,10,-0.006030398918308807,0.9052210148219003,0.6,0.3,-0.0438203556259673,0.04219339558036351,0.2375,0.1412256287507093,-0.042700457216258064,0.601
5.0,holdout,6,-0.032828961711636614,0.4905898575725754,0.5,0.16666666666666666,0.039660003568465246,0.057385848494003085,0.91,0.1539630503622463,-0.2132262359988075,0.717
15.0,ALL,8,0.10214111987308505,3.6968337558451223,0.75,0.75,0.07101822100186668,0.04183634540057064,0.2075,0.15787205216990946,0.6469867115121547,0.03325
15.0,research,3,-0.03867042888941449,0.6171189987750639,0.3333333333333333,0.3333333333333333,-0.007255952176577968,0.07504784045472232,0.6775,0.32872727340320357,-0.11763681330445287,0.74025
15.0,holdout,5,0.18662804913058478,inf,1.0,1.0,0.13617767259456898,0.04572649859368204,0.0975,0.0024643496521411564,75.7311564811562,0.0
