axis,value,pct,pf,n
stop,1.5,0.0022023824156394527,1.044054046308174,42
stop,2.0,-0.0016928270204944473,1.0106460004530953,42
stop,3.0,0.03620066935297899,1.382154435013955,41
tp,0.0,0.02714010634125868,1.2872317706707743,42
tp,1.5,0.0022023824156394527,1.044054046308174,42
tp,2.0,0.009411887517314296,1.1499090337837359,42
tp,3.0,0.028436485000892252,1.3190360544427906,42
hold,48,0.0022023824156394527,1.044054046308174,42
hold,96,0.0022023824156394527,1.044054046308174,42
hold,192,0.0022023824156394527,1.044054046308174,42
lvl,30.0,0.0022023824156394527,1.044054046308174,42
stoch,9/3/3,0.0057404198380348066,1.0434848824519083,42
stoch,14/3/3,0.0022023824156394527,1.044054046308174,42
stoch,21/3/3,0.003177507300305568,1.0418181264628112,44
