condition,side,pass_pct,general_pct,lift
close > VWAP (state),LONG,7.397260273972603,55.827882417842225,0.13250117958277577
close > VWAP (state),SHORT,94.36860068259386,55.827882417842225,1.6903489187767273
close < VWAP (state),LONG,92.6027397260274,44.15635589880999,2.097155388869466
close < VWAP (state),SHORT,5.631399317406143,44.15635589880999,0.12753315355803418
VWAP rising (slope>0),LONG,0.547945205479452,37.56797225943731,0.014585434680781974
VWAP rising (slope>0),SHORT,74.40273037542661,37.56797225943731,1.9804829992317774
VWAP falling (slope<0),LONG,65.47945205479452,31.231775553629127,2.096565145403199
VWAP falling (slope<0),SHORT,1.023890784982935,31.231775553629127,0.032783623948141466
close > VWAP AND rising,LONG,0.0,32.48482937977776,0.0
close > VWAP AND rising,SHORT,74.23208191126281,32.48482937977776,2.2851307311305527
|dist to VWAP| <= 0.5 ATR,LONG,13.150684931506849,24.4227283473875,0.5384609264146188
|dist to VWAP| <= 0.5 ATR,SHORT,12.1160409556314,24.4227283473875,0.4960969463891798
|dist to VWAP| >= 1.5 ATR,LONG,52.87671232876713,35.47954921585625,1.4903434090176058
|dist to VWAP| >= 1.5 ATR,SHORT,56.655290102389074,35.47954921585625,1.5968435719884828
close > VWAP_unweighted,LONG,8.493150684931507,55.2525809756482,0.15371500362444143
close > VWAP_unweighted,SHORT,93.34470989761093,55.2525809756482,1.6894180914146126
ATR/mean50 >= 1.0 (floor),LONG,98.63013698630137,98.93608637402474,0.9969076057186379
ATR/mean50 >= 1.0 (floor),SHORT,98.80546075085324,98.93608637402474,0.9986796968835246
ATR/mean50 >= 1.2 (floor),LONG,96.7123287671233,94.21546221136417,1.0265016643463216
ATR/mean50 >= 1.2 (floor),SHORT,91.6382252559727,94.21546221136417,0.9726452867193957
ATR/mean50 <= 1.0 (ceiling),LONG,1.36986301369863,1.0639136259752542,1.2875697615423642
ATR/mean50 <= 1.0 (ceiling),SHORT,1.1945392491467577,1.0639136259752542,1.1227784098091267
ATR/mean50 <= 0.8 (ceiling),LONG,0.0,0.023642525021672314,0.0
ATR/mean50 <= 0.8 (ceiling),SHORT,0.0,0.023642525021672314,0.0
ATR pct-rank250 >= 0.6,LONG,96.43835616438356,94.5385767199937,1.02009528290252
ATR pct-rank250 >= 0.6,SHORT,93.00341296928327,94.5385767199937,0.9837615098092993
ATR pct-rank250 <= 0.4,LONG,1.9178082191780823,1.8598786350382221,1.0311469700487579
ATR pct-rank250 <= 0.4,SHORT,1.1945392491467577,1.8598786350382221,0.6422673106958986
