trig,fill,ex,side,px_in,px_out,r,reason,amb,pts,risk,year
95,96,105,-1,4772.95,4762.7,1.4642857142857142,2,0,10.25,7.000000000000001,2016
128,129,131,-1,4738.25,4756.95,-1.1910828025477729,1,0,-18.699999999999818,15.699999999999818,2016
157,158,171,-1,4777.95,4798.05,-1.4779411764705754,1,0,-20.100000000000364,13.600000000000364,2016
312,313,314,1,4840.65,4827.45,-1.233644859813088,1,0,-13.199999999999818,10.699999999999818,2016
353,354,383,1,4818.55,4807.75,-1.5882352941176314,1,0,-10.800000000000182,6.800000000000182,2016
519,520,582,1,4878.05,4867.05,-1.375,1,0,-11.0,8.0,2016
626,627,701,1,4851.75,4865.4,1.5689655172413703,2,0,13.649999999999636,8.699999999999818,2016
709,710,760,-1,4860.25,4868.45,-1.7446808510638585,1,0,-8.199999999999818,4.699999999999818,2016
896,897,917,1,4871.65,4858.95,-1.4597701149425384,1,0,-12.699999999999818,8.699999999999818,2016
1019,1020,1037,-1,4840.55,4815.900000000001,1.8674242424242407,2,0,24.649999999999636,13.199999999999818,2016
1368,1369,1376,1,4792.55,4783.05,-1.4615384615384615,1,0,-9.5,6.5,2016
1377,1378,1379,1,4795.65,4775.35,-1.140449438202253,1,0,-20.299999999999272,17.799999999999272,2016
1645,1646,1653,1,4883.75,4897.9,1.725609756097555,2,0,14.149999999999636,8.199999999999818,2016
1831,1832,2918,1,4936.05,4888.55,-1.0555555555555556,1,0,-47.5,45.0,2016
2980,2981,2992,-1,4902.45,4915.05,-1.3846153846153693,1,0,-12.600000000000364,9.100000000000364,2017
3183,3184,3185,1,4940.95,4958.999999999999,1.8232323232323167,2,0,18.049999999999272,9.899999999999636,2017
3728,3729,3874,1,5063.15,5041.85,-1.1639344262295148,1,0,-21.299999999999272,18.299999999999272,2017
3880,3881,3891,1,5048.75,5034.95,-1.277777777777773,1,0,-13.800000000000182,10.800000000000182,2017
4068,4069,4073,1,5062.15,5072.9,1.6538461538461537,2,0,10.75,6.5,2017
