trig,fill,ex,side,px_in,px_out,r,reason,amb,pts,risk,year
102,103,130,1,13571.5,13608.75,1.849620253164557,2,0,37.25,20.13926909389543,2022
225,226,244,1,13490.5,13538.25,1.9002020202020202,2,0,47.75,25.12890708058686,2022
264,265,284,1,13704.0,13669.5,-1.100625,1,0,-34.5,31.345826235093696,2022
406,407,412,1,13728.0,13790.5,1.9156589147286822,2,0,62.5,32.625849789575916,2023
435,436,787,-1,13643.0,13835.5,-1.015611038107753,1,0,-192.5,189.54106717731082,2023
1082,1083,1085,1,14217.25,14060.5,-1.0192233009708738,1,0,-156.75,153.79357972947227,2023
1106,1107,1171,-1,14165.5,14074.5,1.952,2,0,91.0,46.618852459016395,2023
1197,1198,1247,1,14232.5,14198.5,-1.1022222222222222,1,0,-34.0,30.846774193548388,2023
1270,1271,1279,1,14256.5,14233.75,-1.1310843373493975,1,0,-22.75,20.11344269279932,2023
1349,1350,1354,1,14288.25,14222.25,-1.0425,1,0,-66.0,63.309352517985616,2023
1465,1466,1521,-1,14136.0,14049.0,1.9498305084745764,2,0,87.0,44.6192628650904,2023
1531,1532,1535,1,14056.0,14010.0,-1.0678857142857143,1,0,-46.0,43.075770547945204,2023
1911,1912,1921,1,14333.0,14453.25,1.9675720164609054,2,0,120.25,61.11593323851753,2023
2021,2022,2032,1,14725.75,14689.5,-1.0954074074074074,1,0,-36.25,33.092710305653235,2023
2186,2187,2188,1,14792.5,14717.5,-1.0372602739726027,1,0,-75.0,72.30586370839937,2023
2250,2251,2254,1,14609.75,14583.5,-1.16,1,0,-26.25,22.629310344827587,2023
2361,2362,2371,1,14809.0,14775.0,-1.093543307086614,1,0,-34.0,31.091589861751157,2023
2578,2579,2638,-1,15250.25,15114.75,1.9675912408759124,2,0,135.5,68.86592966315477,2023
2766,2767,2837,1,15405.25,15334.0,-1.0392779783393502,1,0,-71.25,68.55721133805753,2023
2939,2940,2941,1,15270.75,15225.5,-1.0628901734104046,1,0,-45.25,42.57260169675876,2023
3030,3031,3037,-1,14952.5,14994.25,-1.0684276729559747,1,0,-41.75,39.076112550035326,2023
3179,3180,3204,1,15207.25,15176.75,-1.125045045045045,1,1,-30.5,27.110025624599615,2023
3228,3229,3247,1,15294.0,15238.5,-1.060754716981132,1,0,-55.5,52.32123799359659,2023
3841,3842,3843,1,14916.0,14867.5,-1.064216216216216,1,0,-48.5,45.57344575375864,2023
3922,3923,3932,-1,14752.0,14697.25,1.912566371681416,2,0,54.75,28.626457523598,2023
3932,3933,4025,-1,14632.25,14758.25,-1.0260728744939271,1,0,-126.0,122.79829545454545,2023
4055,4056,4092,1,14757.0,14728.75,-1.136078431372549,1,0,-28.25,24.866240938902315,2023
4250,4251,4253,1,14641.25,14619.5,-1.1984,1,0,-21.75,18.149198931909215,2023
4410,4411,4446,1,14892.75,15003.5,1.956088888888889,2,0,110.75,56.61808143233663,2023
4584,4585,4589,-1,14993.0,14940.0,1.9185321100917432,2,0,53.0,27.625286916602906,2023
4683,4684,4790,1,14868.25,14783.0,-1.0326726726726727,1,0,-85.25,82.55278003954868,2023
4992,4993,4995,1,14620.25,14589.0,-1.1316814159292035,1,0,-31.25,27.613778542383486,2023
5019,5020,5026,-1,14613.75,14647.0,-1.1229752066115701,1,0,-33.25,29.608846040624083,2023
5177,5178,5221,1,14940.25,14910.0,-1.1261818181818182,1,0,-30.25,26.860671617694543,2023
5311,5312,5326,-1,15254.75,15197.5,1.916271186440678,2,0,57.25,29.875729701043692,2023
5492,5493,5502,1,15255.25,15220.75,-1.109291338582677,1,0,-34.5,31.10093696763203,2023
5878,5879,5886,1,15473.25,15442.5,-1.1139823008849556,1,0,-30.75,27.603670162059107,2023
5951,5952,5957,1,15340.75,15316.0,-1.1710344827586205,1,0,-24.75,21.13515901060071,2023
6070,6071,6072,-1,15356.25,15378.5,-1.1630379746835442,1,0,-22.25,19.130931649978233,2023
6143,6144,6164,1,15530.0,15575.5,1.8854736842105264,2,0,45.5,24.131866904868243,2023
6171,6172,6184,1,15634.25,15552.0,-1.0338940809968846,1,0,-82.25,79.55360371218514,2023
6191,6192,6262,1,15611.75,15671.0,1.9348760330578514,2,0,59.25,30.622116863147102,2023
6332,6333,6355,-1,15736.25,15777.0,-1.0771428571428572,1,0,-40.75,37.8315649867374,2023
6392,6393,6412,-1,15766.25,15785.5,-1.2289230769230768,1,0,-19.25,15.66412118177266,2023
6734,6735,6750,-1,15652.25,15669.5,-1.2393103448275862,1,0,-17.25,13.919031719532555,2023
6786,6787,6861,1,15672.5,15636.25,-1.0794160583941605,1,0,-36.25,33.5829726805518,2023
6905,6906,6933,-1,15594.75,15617.25,-1.1756962025316455,1,0,-22.5,19.137596899224807,2023
6946,6947,6949,1,15614.25,15583.25,-1.1129824561403507,1,0,-31.0,27.853089533417407,2023
6952,6953,6955,-1,15679.25,15604.75,1.941578947368421,2,0,74.5,38.37083220384928,2023
7864,7865,7871,1,15502.75,15478.75,-1.149767441860465,1,0,-24.0,20.87378640776699,2023
7879,7880,7884,1,15459.75,15433.75,-1.1250526315789473,1,0,-26.0,23.110029940119762,2023
7885,7886,7903,1,15492.5,15419.25,-1.0381754385964912,1,0,-73.25,70.5564755982155,2023
7904,7905,7910,-1,15402.0,15455.5,-1.0579512195121952,1,0,-53.5,50.56943932128366,2023
7959,7960,7962,1,15528.0,15510.25,-1.2111475409836066,1,0,-17.75,14.655522468868435,2023
8072,8073,8076,1,15794.25,15708.75,-1.0325748502994012,1,0,-85.5,82.80271398747391,2023
8150,8151,8175,-1,15827.75,15859.75,-1.0998319327731092,1,0,-32.0,29.095354523227385,2023
8206,8207,8228,1,15811.25,15841.5,1.8172307692307692,2,0,30.25,16.646207246867593,2023
8441,8442,8445,-1,15593.0,15535.75,1.9326495726495727,2,0,57.25,29.622545551034847,2023
8611,8612,8625,1,15837.75,15817.5,-1.1814084507042253,1,0,-20.25,17.140557939914164,2023
8827,8828,8834,-1,15842.5,15894.5,-1.0544,1,0,-52.0,49.317147192716234,2023
9001,9002,9012,-1,15957.75,15862.0,1.9593814432989691,2,0,95.75,48.86746290645059,2023
9186,9187,9296,1,16033.5,16192.75,1.9754517133956386,2,0,159.25,80.61447360121113,2023
9581,9582,9593,-1,16412.75,16457.5,-1.0762130177514793,1,0,-44.75,41.58098746426215,2023
9624,9625,9644,-1,16434.0,16389.0,1.8842553191489362,2,0,45.0,23.882113821138212,2023
9746,9747,9767,-1,16120.25,16185.0,-1.0433466135458167,1,0,-64.75,62.05991293722316,2023
9956,9957,9961,1,16891.75,16972.75,1.9344578313253011,2,0,81.0,41.87219730941704,2023
10101,10102,10361,-1,16946.5,17061.25,-1.0264,1,0,-114.75,111.79851909586905,2023
10574,10575,10577,1,17142.75,17088.75,-1.0523076923076924,1,0,-54.0,51.315789473684205,2023
11074,11075,11084,1,17458.5,17438.75,-1.222089552238806,1,0,-19.75,16.160845139228137,2023
11124,11125,11141,1,17478.0,17430.75,-1.060110497237569,1,0,-47.25,44.57082551594747,2023
11213,11214,11218,1,17484.75,17602.25,1.9626890756302522,2,0,117.5,59.86684363760918,2023
11230,11231,11232,-1,17611.5,17656.5,-1.0632558139534884,1,0,-45.0,42.32283464566929,2023
11422,11423,11432,1,17600.5,17577.0,-1.1814634146341463,1,0,-23.5,19.890586292320396,2023
11503,11504,11505,1,17620.75,17582.75,-1.083076923076923,1,0,-38.0,35.08522727272727,2023
12026,12027,12033,1,17416.25,17385.25,-1.1129824561403507,1,0,-31.0,27.853089533417407,2023
12151,12152,12191,1,17434.0,17494.75,1.92096,2,0,60.75,31.624812593703147,2023
12217,12218,12219,1,17538.5,17583.75,1.8948936170212767,2,0,45.25,23.879968560520997,2023
12551,12552,12560,-1,17631.75,17589.5,1.8877272727272727,2,0,42.25,22.381411028172405,2023
12625,12626,12634,-1,17565.25,17532.5,1.8302857142857143,2,0,32.75,17.8933812051202,2023
13001,13002,13004,-1,17848.0,17868.75,-1.2095774647887323,1,0,-20.75,17.154750815090825,2023
13162,13163,13189,1,18024.75,18055.0,1.8172307692307692,2,0,30.25,16.646207246867593,2023
13199,13200,13213,-1,18042.5,18065.0,-1.161,1,0,-22.5,19.37984496124031,2023
13480,13481,13490,1,18211.5,18174.0,-1.0919999999999999,1,0,-37.5,34.34065934065934,2023
13906,13907,13921,1,18012.75,18060.0,1.8800000000000001,2,0,47.25,25.132978723404253,2023
14035,14036,14046,1,18030.25,18076.5,1.8970833333333335,2,0,46.25,24.37952998023281,2023
14090,14091,14095,-1,18225.5,18186.25,1.8568674698795182,2,0,39.25,21.13774980534648,2023
14148,14149,14149,1,18219.0,18185.25,-1.0856692913385826,1,0,-33.75,31.086814621409925,2023
14150,14151,14153,1,18228.25,18177.25,-1.0555102040816327,1,0,-51.0,48.31786542923434,2023
14239,14240,14240,1,18162.25,18116.25,-1.0618181818181818,1,0,-46.0,43.32191780821918,2023
14249,14250,14252,-1,18130.25,18177.5,-1.060110497237569,1,0,-47.25,44.57082551594747,2023
