variant,block,n,rule_pts,control_pts,p
as specified,research,1073,-1.5684560351733925,-2.706868604465268,0.18666666666666668
as specified,LOCKED,717,-2.1849713970233937,-2.232183320113876,0.4866666666666667
no trail,research,574,8.056368309168185,2.3021019629645076,0.11333333333333333
no trail,LOCKED,388,7.478395260049728,1.9022543192377004,0.31
