variant,n,pts,R,pf,win,total,dd,ret_dd,sharpe,hold_h,p_stop,p_chan
as specified,1073,-1.5684560351733925,-0.0698062711426628,0.8625884578673936,0.35787511649580617,-1682.95332574105,1964.611303635708,-0.8566342475107305,-0.5876369240159083,3.082013047530289,1.0,0.0
no trail (stop 1.5N only),574,8.056368309168185,0.37740417387577696,1.405209980628776,0.24390243902439024,4624.355409462538,1771.5755315837123,2.610306660381882,0.7846747562931934,13.689895470383275,0.7177700348432056,0.28222996515679444
no fixed stop (trail 2.0N only),1061,-1.8934353559798045,-0.0013000270019296696,0.8407236800455957,0.3647502356267672,-2008.9349126945726,2254.415833411536,-0.8911110731752249,-0.6869562506689498,3.2247879359095193,1.0,0.0
wider stop 2.5N,1061,-1.8934353559798045,-0.051481069276414916,0.8407236800455957,0.3647502356267672,-2008.9349126945726,2254.415833411536,-0.8911110731752249,-0.6869562506689498,3.2247879359095193,1.0,0.0
wider trail 3.0N,813,1.373475366287887,0.0872776653205599,1.0921173952287393,0.33948339483394835,1116.635472792052,1605.8442130084095,0.6953572854368809,0.30735238545504817,5.789360393603936,0.998769987699877,0.0012300123001230013
tighter trail 1.5N,1359,-3.633225316170225,-0.153698478699719,0.6208009787147759,0.32891832229580575,-4937.553204675336,4945.390061814588,-0.998415320724696,-2.103925377417247,1.763428991905813,1.0,0.0
