setting,block,n,pts,R,pf,win,total,dd,ret_dd,sharpe,hold_h,p_stop,p_chan
filter OFF,research,1313,-1.5783823834533972,-0.11374151555412902,0.841730368467276,0.341964965727342,-2072.4160694743105,2074.7418789931944,-0.9988789884937337,-0.7205143422185358,2.8903274942878903,1.0,0.0
filter OFF,LOCKED,717,-2.1849713970233937,-0.04805878842030575,0.8798022721771216,0.3458856345885635,-1566.6244916657733,2209.532740026008,-0.7090297705420436,-0.6576862384398638,2.8106694560669454,0.99860529986053,0.001394700139470014
ATR >= 5.0 (91% of bars),research,1073,-1.5684560351733925,-0.0698062711426628,0.8625884578673936,0.35787511649580617,-1682.95332574105,1964.611303635708,-0.8566342475107305,-0.5876369240159083,3.082013047530289,1.0,0.0
ATR >= 5.0 (91% of bars),LOCKED,717,-2.1849713970233937,-0.04805878842030575,0.8798022721771216,0.3458856345885635,-1566.6244916657733,2209.532740026008,-0.7090297705420436,-0.6576862384398638,2.8106694560669454,0.99860529986053,0.001394700139470014
ATR >= 10.0 (74% of bars),research,710,-1.9150017563395096,-0.06254461511995248,0.8668966026520204,0.3676056338028169,-1359.6512470010518,1563.844345091285,-0.8694287582193393,-0.491878292735508,3.1908450704225353,1.0,0.0
ATR >= 10.0 (74% of bars),LOCKED,717,-2.1849713970233937,-0.04805878842030575,0.8798022721771216,0.3458856345885635,-1566.6244916657733,2209.532740026008,-0.7090297705420436,-0.6576862384398638,2.8106694560669454,0.99860529986053,0.001394700139470014
