sig,exit,pts,R,why,mae,blk,day,atr0,ts,bars
171,195,-6.797013319341968,-0.8032860952443928,1,0.717956961291102,0,17121,5.64100665967089,2016-11-16 20:45:00,24
228,240,9.12282283824894,1.1302326287252438,1,0.17654420396963943,0,17122,5.3810885808751925,2016-11-17 11:00:00,12
247,261,-5.689968938264283,-0.6912662162139153,1,0.8291595221079269,0,17122,5.487484469132027,2016-11-17 15:45:00,14
1287,1290,-1.7468604554749982,-0.18887233458212957,1,1.3379976248980388,0,17140,6.165930227737651,2016-12-05 10:00:00,3
1486,1489,0.3513321036490742,0.046226382160613574,1,0.10854904771415788,0,17142,5.066833948175174,2016-12-07 14:15:00,3
1490,1492,-8.625258832762338,-1.1047126968790453,1,0.4899013638306523,0,17142,5.205129416381169,2016-12-07 15:15:00,2
8364,8370,-2.317641292566659,-0.3089372396454186,1,0.4298864544102658,0,17253,5.001320646283415,2017-03-28 13:45:00,6
13009,13010,-11.278629030170887,-1.1492821865892808,1,0.0,0,17330,6.542419353447285,2017-06-13 09:30:00,1
13083,13096,0.5741338168456058,0.07283051105921448,1,1.4746643834969364,0,17331,5.255433091577139,2017-06-14 05:15:00,13
13367,13369,-9.125750708902014,-1.1912345220029226,1,0.9692261610043006,0,17336,5.107167139267771,2017-06-19 08:00:00,2
13373,13375,10.302695105101666,1.2859515752413295,1,0.5710378106614248,0,17336,5.34115244744899,2017-06-19 09:30:00,2
13389,13392,-9.972246380167999,-1.172206132811087,1,1.3664821118969708,0,17336,5.6714975867787505,2017-06-19 13:30:00,3
13571,13611,11.63472694478347,1.2166774148702362,1,0.13333047791500405,0,17338,6.375136527608602,2017-06-21 15:45:00,40
13743,13747,-9.012512336553154,-1.1941036906829718,1,1.0831383422070309,0,17340,5.031674891035309,2017-06-23 13:30:00,4
14271,14273,-10.490734774738339,-1.139454918421842,1,0.9856843783313443,0,17350,6.137867387369231,2017-07-03 09:00:00,2
14440,14444,-7.6025835231519885,-0.7195540678932142,1,0.6743527010425528,0,17352,7.043791761575915,2017-07-05 13:00:00,4
14446,14447,-12.370342726362505,-1.1343378229148515,1,0.0,0,17352,7.270228484241757,2017-07-05 14:30:00,1
14615,14627,9.01363771068296,0.8726938818221738,1,0.10892168606758396,0,17354,6.885681144658727,2017-07-07 11:15:00,12
14654,14682,-7.40094281251444,-0.8097792597455262,1,0.7467620798823263,0,17356,6.092971406257217,2017-07-09 22:15:00,28
14705,14724,11.073824021849905,1.2091463362922505,1,1.0236524330143895,0,17357,6.105587989074944,2017-07-10 11:00:00,19
14897,14918,13.93763217669326,1.7291219463639602,1,0.7536729116533286,0,17359,5.373683911653023,2017-07-12 13:30:00,21
14923,14961,-2.5940293031561303,-0.33978738389810403,1,1.2280149342063909,0,17359,5.089514651577984,2017-07-12 21:15:00,38
15261,15328,21.57756777320188,2.8748723660827054,1,0.5296063845235439,0,17365,5.0037161133993635,2017-07-18 13:30:00,67
16207,16219,-5.839174581061197,-0.7614860296403009,1,0.6944325865827906,0,17380,5.112087290530611,2017-08-02 00:00:00,12
16972,16973,0.7932239643297725,0.0896923372052097,1,0.0,0,17392,5.895888017835403,2017-08-14 09:15:00,1
16977,16979,-5.753859955669068,-0.6268405147222844,1,0.2042673916570176,0,17392,6.11942997783443,2017-08-14 10:30:00,2
17009,17010,0.8633960354474401,0.09991618506170269,1,0.0,0,17392,5.760801982276476,2017-08-14 19:45:00,1
