variant,block,n,pts,R,pf,win,total,dd,ret_dd,sharpe,hold_h,p_stop,p_chan
as specified,research,1073,-1.5684560351733925,-0.0698062711426628,0.8625884578673936,0.35787511649580617,-1682.95332574105,1964.611303635708,-0.8566342475107305,-0.5876369240159083,3.082013047530289,1.0,0.0
as specified,LOCKED,717,-2.1849713970233937,-0.04805878842030575,0.8798022721771216,0.3458856345885635,-1566.6244916657733,2209.532740026008,-0.7090297705420436,-0.6576862384398638,2.8106694560669454,0.99860529986053,0.001394700139470014
no trail (stop 1.5N only),research,574,8.056368309168185,0.37740417387577696,1.405209980628776,0.24390243902439024,4624.355409462538,1771.5755315837123,2.610306660381882,0.7846747562931934,13.689895470383275,0.7177700348432056,0.28222996515679444
no trail (stop 1.5N only),LOCKED,388,7.478395260049728,0.26253188317579157,1.2482851519770692,0.23195876288659795,2901.6173608992945,1209.475099538533,2.3990715989162466,0.6749590870315826,11.874355670103093,0.7371134020618557,0.26288659793814434
wider trail 3.0N,research,813,1.373475366287887,0.0872776653205599,1.0921173952287393,0.33948339483394835,1116.635472792052,1605.8442130084095,0.6953572854368809,0.30735238545504817,5.789360393603936,0.998769987699877,0.0012300123001230013
wider trail 3.0N,LOCKED,571,-0.15324358553143827,0.03892834443957162,0.9936384214328555,0.30823117338003503,-87.50208733845125,2050.819482212815,-0.042666889064286305,-0.02802915527882372,4.833187390542907,0.9859894921190894,0.014010507880910683
