cell,block,ticks,base_total,p5,p50,p95,sign_kept
10m CARRY k3/w20,research,0.5,-1318.924476285058,-1521.5325292805758,-1313.7311561208028,-1194.1980560975367,1.0
10m CARRY k3/w20,LOCKED,0.5,548.8140494929806,494.1810149033741,568.9205713624975,626.848708838844,1.0
10m CARRY k3/w20,research,1.0,-1318.924476285058,-1656.6656530501555,-1374.4173334041968,-1129.1370697321663,1.0
10m CARRY k3/w20,LOCKED,1.0,548.8140494929806,441.76834540896846,561.5715786423639,688.154426705353,1.0
10m CARRY k3/w20,research,2.0,-1318.924476285058,-1909.0211765688975,-1468.8355219511623,-1034.6406956915498,1.0
10m CARRY k3/w20,LOCKED,2.0,548.8140494929806,343.8118516425906,572.0023998105827,812.5565784520546,1.0
10m MATCHED k2/w10,research,0.5,-908.4627305834272,-960.942077791194,-740.3373346477099,-540.4305782303946,1.0
10m MATCHED k2/w10,LOCKED,0.5,1445.7541757105187,1091.9712182193946,1324.025105455092,1558.0545899005283,1.0
10m MATCHED k2/w10,research,1.0,-908.4627305834272,-1143.556394574983,-782.1606462194857,-439.68194467082407,1.0
10m MATCHED k2/w10,LOCKED,1.0,1445.7541757105187,1048.0101110456158,1326.0919860932977,1619.508736710243,1.0
10m MATCHED k2/w10,research,2.0,-908.4627305834272,-1377.3499214124447,-828.9051646130324,-266.04645850420724,0.995
10m MATCHED k2/w10,LOCKED,2.0,1445.7541757105187,869.152692603092,1349.8299608279906,1770.276485522945,1.0
5m reference k3/w20,research,0.5,877.7329703012786,388.4869348416733,851.0774099104801,1105.8358561791742,1.0
5m reference k3/w20,LOCKED,0.5,2042.5926536924826,1543.704118413204,1854.0242548052413,2133.500987463098,1.0
5m reference k3/w20,research,1.0,877.7329703012786,195.9048799664363,766.7275006343416,1177.01087210895,0.9875
5m reference k3/w20,LOCKED,1.0,2042.5926536924826,1236.649086316695,1711.89980366064,2099.3538222863313,1.0
5m reference k3/w20,research,2.0,877.7329703012786,43.23483112592701,709.1313111866465,1351.4908301054531,0.965
5m reference k3/w20,LOCKED,2.0,2042.5926536924826,926.4399969492034,1526.5799259201117,2108.6311815943327,1.0
