k,w,tag,block,k_min,w_min,n,per_yr,pts,pf,win,sharpe,dd,ret_dd,total,hold
1,5,,research,10,50,440,223.09859154929578,0.26359826335216857,1.0109844595729098,0.49318181818181817,0.06182785411848686,1023.3331674328185,0.11333868535299715,115.98323587495418,60.0
1,5,,LOCKED,10,50,204,191.1078066914498,1.6522899780813858,1.0486721899156195,0.5294117647058824,0.2522517626366106,958.3106355081585,0.35173057987597917,337.0671555286027,60.0
1,10,,research,10,100,481,243.88732394366195,1.3451147476073622,1.056457055444422,0.498960498960499,0.32725153209786534,896.2029717213888,0.7219348897676723,647.0001935991412,60.0
1,10,,LOCKED,10,100,225,210.7806691449814,1.3174179133420827,1.039354474606094,0.5422222222222223,0.2132686981678437,1182.9324328027542,0.25057984909556913,296.4190305019686,60.0
1,15,,research,10,150,481,243.88732394366195,1.3451147476073622,1.056457055444422,0.498960498960499,0.32725153209786534,896.2029717213888,0.7219348897676723,647.0001935991412,60.0
1,15,,LOCKED,10,150,227,212.6542750929368,1.65739661014083,1.0499505574992656,0.5462555066079295,0.27023498979913485,1182.9324328027542,0.31804777692210084,376.2290305019684,60.0
1,20,,research,10,200,481,243.88732394366195,1.3451147476073622,1.056457055444422,0.498960498960499,0.32725153209786534,896.2029717213888,0.7219348897676723,647.0001935991412,60.0
1,20,,LOCKED,10,200,227,212.6542750929368,1.65739661014083,1.0499505574992656,0.5462555066079295,0.27023498979913485,1182.9324328027542,0.31804777692210084,376.2290305019684,60.0
1,30,,research,10,300,481,243.88732394366195,1.3451147476073622,1.056457055444422,0.498960498960499,0.32725153209786534,896.2029717213888,0.7219348897676723,647.0001935991412,60.0
1,30,,LOCKED,10,300,227,212.6542750929368,1.65739661014083,1.0499505574992656,0.5462555066079295,0.27023498979913485,1182.9324328027542,0.31804777692210084,376.2290305019684,60.0
1,40,,research,10,400,481,243.88732394366195,1.3451147476073622,1.056457055444422,0.498960498960499,0.32725153209786534,896.2029717213888,0.7219348897676723,647.0001935991412,60.0
1,40,,LOCKED,10,400,227,212.6542750929368,1.65739661014083,1.0499505574992656,0.5462555066079295,0.27023498979913485,1182.9324328027542,0.31804777692210084,376.2290305019684,60.0
2,5,,research,20,50,181,91.77464788732394,-4.11964911037301,0.8508977264461765,0.43646408839779005,-0.5815021362917129,1262.2154992624305,-0.5907521254597456,-745.6564889775149,60.0
2,5,,LOCKED,20,50,88,82.43866171003718,20.54375293251778,1.7280289714279964,0.5340909090909091,1.6288403302801115,605.4969609947439,2.9857296972911778,1807.8502580615645,60.0
2,10,MATCHED,research,20,100,277,140.4507042253521,-3.279648846871578,0.8762835293857997,0.4620938628158845,-0.590218971528586,1740.9486289477964,-0.5218205267392,-908.4627305834272,50.0
2,10,MATCHED,LOCKED,20,100,136,127.40520446096654,10.630545409636166,1.3516718523672702,0.5514705882352942,1.2405731779527582,562.660593330237,2.569496056500932,1445.7541757105187,60.0
2,15,,research,20,150,290,147.04225352112675,-2.854712322925923,0.8898299564337501,0.46551724137931033,-0.5330348071048882,1777.2224720128872,-0.4658204511171152,-827.8665736485177,50.0
2,15,,LOCKED,20,150,139,130.21561338289962,10.506073206550495,1.352203437814261,0.5539568345323741,1.2518008370244638,549.8805933302369,2.6557477994745176,1460.3441757105188,60.0
2,20,,research,20,200,290,147.04225352112675,-2.854712322925923,0.8898299564337501,0.46551724137931033,-0.5330348071048882,1777.2224720128872,-0.4658204511171152,-827.8665736485177,50.0
2,20,,LOCKED,20,200,140,131.15241635687732,10.745529826503706,1.3628225217431689,0.5571428571428572,1.2888060427988608,549.8805933302369,2.7358197287880097,1504.3741757105188,60.0
2,30,,research,20,300,290,147.04225352112675,-2.854712322925923,0.8898299564337501,0.46551724137931033,-0.5330348071048882,1777.2224720128872,-0.4658204511171152,-827.8665736485177,50.0
2,30,,LOCKED,20,300,140,131.15241635687732,10.745529826503706,1.3628225217431689,0.5571428571428572,1.2888060427988608,549.8805933302369,2.7358197287880097,1504.3741757105188,60.0
2,40,,research,20,400,290,147.04225352112675,-2.854712322925923,0.8898299564337501,0.46551724137931033,-0.5330348071048882,1777.2224720128872,-0.4658204511171152,-827.8665736485177,50.0
2,40,,LOCKED,20,400,140,131.15241635687732,10.745529826503706,1.3628225217431689,0.5571428571428572,1.2888060427988608,549.8805933302369,2.7358197287880097,1504.3741757105188,60.0
3,5,,research,30,50,62,31.436619718309856,-10.92366961663715,0.5999713358859133,0.4838709677419355,-1.1720571865025797,776.6690630335715,-0.8720155706810075,-677.2675162315034,50.0
3,5,,LOCKED,30,50,22,20.609665427509295,15.023905780735731,1.563051266894456,0.5,0.7355375464923437,323.32890602830025,1.0222591330799724,330.5259271761861,50.0
3,10,,research,30,100,153,77.57746478873239,-9.19067331320661,0.6492357544130799,0.43137254901960786,-1.4805683128538212,1515.7030169206153,-0.9277365032745457,-1406.1730169206112,50.0
3,10,,LOCKED,30,100,78,73.07063197026022,3.538717782977373,1.1236233755732825,0.48717948717948717,0.36213388522230155,612.074796883952,0.4509579359866501,276.0199870722351,50.0
3,15,,research,30,150,172,87.2112676056338,-7.062471079276388,0.7132734074419604,0.4418604651162791,-1.2339816149295466,1324.2750256355425,-0.9172905945670624,-1214.7450256355387,50.0
3,15,,LOCKED,30,150,92,86.18587360594796,5.965370103184572,1.2170206645314934,0.4891304347826087,0.6572408293505052,743.0635845194049,0.7385828897104949,548.8140494929806,50.0
3,20,CARRY,research,30,200,176,89.2394366197183,-7.493889069801466,0.6961547116581264,0.4318181818181818,-1.3382232068913442,1428.4544762850624,-0.9233227226919716,-1318.924476285058,50.0
3,20,CARRY,LOCKED,30,200,92,86.18587360594796,5.965370103184572,1.2170206645314934,0.4891304347826087,0.6572408293505052,743.0635845194049,0.7385828897104949,548.8140494929806,50.0
3,30,,research,30,300,176,89.2394366197183,-7.493889069801466,0.6961547116581264,0.4318181818181818,-1.3382232068913442,1428.4544762850624,-0.9233227226919716,-1318.924476285058,50.0
3,30,,LOCKED,30,300,92,86.18587360594796,5.965370103184572,1.2170206645314934,0.4891304347826087,0.6572408293505052,743.0635845194049,0.7385828897104949,548.8140494929806,50.0
3,40,,research,30,400,176,89.2394366197183,-7.493889069801466,0.6961547116581264,0.4318181818181818,-1.3382232068913442,1428.4544762850624,-0.9233227226919716,-1318.924476285058,50.0
3,40,,LOCKED,30,400,92,86.18587360594796,5.965370103184572,1.2170206645314934,0.4891304347826087,0.6572408293505052,743.0635845194049,0.7385828897104949,548.8140494929806,50.0
4,5,,research,40,50,17,8.619718309859154,-19.21198507737781,0.3966449760734075,0.35294117647058826,-1.0751549274851957,326.60374631542277,-1.0,-326.60374631542277,40.0
4,5,,LOCKED,40,50,3,,,,,,,,,
4,10,,research,40,100,93,47.154929577464785,-7.263930008269101,0.7303522867565467,0.43010752688172044,-0.8035110677826011,790.825490769028,-0.8542282698956769,-675.5454907690264,40.0
4,10,,LOCKED,40,100,49,45.90334572490706,-2.368527193632098,0.9167568568186664,0.4489795918367347,-0.21296062286101636,514.516930703741,-0.2255665956982841,-116.0578324879728,40.0
4,15,,research,40,150,116,58.816901408450704,-6.961078233614395,0.7374293061429752,0.43103448275862066,-0.8857793475866608,922.7650750992709,-0.8750711279492245,-807.4850750992698,40.0
4,15,,LOCKED,40,150,62,58.0817843866171,-3.069063689796471,0.8961721109153188,0.4838709677419355,-0.3080097104712958,698.6910625223022,-0.2723406079941196,-190.2819487673812,40.0
4,20,,research,40,200,123,62.36619718309859,-6.198102138381643,0.7547055830223292,0.43902439024390244,-0.8332896346705037,877.6465630209435,-0.8686487193623859,-762.3665630209421,40.0
4,20,,LOCKED,40,200,62,58.0817843866171,-3.069063689796471,0.8961721109153188,0.4838709677419355,-0.3080097104712958,698.6910625223022,-0.2723406079941196,-190.2819487673812,40.0
4,30,,research,40,300,123,62.36619718309859,-6.198102138381643,0.7547055830223292,0.43902439024390244,-0.8332896346705037,877.6465630209435,-0.8686487193623859,-762.3665630209421,40.0
4,30,,LOCKED,40,300,62,58.0817843866171,-3.069063689796471,0.8961721109153188,0.4838709677419355,-0.3080097104712958,698.6910625223022,-0.2723406079941196,-190.2819487673812,40.0
4,40,,research,40,400,123,62.36619718309859,-6.198102138381643,0.7547055830223292,0.43902439024390244,-0.8332896346705037,877.6465630209435,-0.8686487193623859,-762.3665630209421,40.0
4,40,,LOCKED,40,400,62,58.0817843866171,-3.069063689796471,0.8961721109153188,0.4838709677419355,-0.3080097104712958,698.6910625223022,-0.2723406079941196,-190.2819487673812,40.0
5,5,,research,50,50,0,,,,,,,,,
5,5,,LOCKED,50,50,0,,,,,,,,,
5,10,,research,50,100,49,24.84507042253521,-10.263674911152192,0.7047610648504192,0.42857142857142855,-0.723608661993171,573.4500706464573,-0.8770076008178173,-502.92007064645736,30.0
5,10,,LOCKED,50,100,37,34.66171003717472,2.463418389110779,1.1014961281879252,0.4864864864864865,0.21528800154156708,433.83783580957913,0.21009343324565402,91.14648039709883,30.0
5,15,,research,50,150,74,37.52112676056338,-6.617383560397676,0.7819000406824493,0.44594594594594594,-0.5781968986482946,710.3136099894056,-0.689394623139393,-489.68638346942805,30.0
5,15,,LOCKED,50,150,50,46.84014869888476,9.540729607941973,1.4948669642291537,0.58,1.0312078778889124,289.37783580957944,1.6484900409269945,477.03648039709867,30.0
5,20,,research,50,200,79,40.05633802816901,-5.057440864502001,0.8267555332969541,0.46835443037974683,-0.46435049952491764,734.5636099894056,-0.5439118176592229,-399.5378282956581,30.0
