hypothesis,mean_pop,n_pop,p05,p25,median,p75,p95,P_profit
H_locked  ($22.10),22.101487063381363,179,-758.577147215165,189.75510991975057,871.6614685535511,1553.5768791343148,2574.990080065442,0.80805
H_research ($4.44),4.437822633138498,380,-862.9036542777749,-277.71041234875815,144.8146509515423,604.7204002564297,1340.6467993731453,0.59245
H_null   (control),-3.04853536862685,57474,-1254.5858126944772,-612.0053990191064,-157.81620269023497,320.0043662208513,1078.4103523400247,0.41035
