cell,block,n,sr_per_trade,E_max_null,DSR,beats_noise_floor
10m CARRY k3/w20,research,176,-0.1430543429439256,0.21587146960841547,3.5814018551813156e-06,False
10m CARRY k3/w20,LOCKED,92,0.07066810987412427,0.21587146960841547,0.07501173842840002,False
10m MATCHED k2/w10,research,277,-0.050638879803242505,0.21587146960841547,9.49279973501666e-06,False
10m MATCHED k2/w10,LOCKED,136,0.11046367629418084,0.21587146960841547,0.11015397575804192,False
5m reference k3/w20,research,380,0.039315230356644755,0.21587146960841547,0.00018204923578943343,False
5m reference k3/w20,LOCKED,179,0.13721238075566808,0.21587146960841547,0.1409814726662441,False
