cell,block,rule,ctl_med,excess,p
10m CARRY k3/w20,research,-7.493889069801466,-1.3232874873035239,-6.170601582497943,0.9575
10m CARRY k3/w20,LOCKED,5.965370103184572,-1.7611549772980912,7.726525080482663,0.17
10m MATCHED k2/w10,research,-3.279648846871578,-1.264261386960316,-2.015387459911262,0.735
10m MATCHED k2/w10,LOCKED,10.630545409636166,1.3034674264929826,9.327077983143184,0.105
5m reference k3/w20,research,2.3098236060559962,-2.36438756394106,4.674211169997056,0.0425
5m reference k3/w20,LOCKED,11.411132143533422,-0.7529399203821587,12.164072063915581,0.0075
