,10m carry,10m matched,5m carry,5m matched,always-long 10m,always-long 5m
10m carry,1.0,0.391,0.107,0.028,-0.029,-0.04
10m matched,0.391,1.0,0.407,0.148,0.012,-0.007
5m carry,0.107,0.407,1.0,0.467,0.076,0.025
5m matched,0.028,0.148,0.467,1.0,0.07,0.016
always-long 10m,-0.029,0.012,0.076,0.07,1.0,0.84
always-long 5m,-0.04,-0.007,0.025,0.016,0.84,1.0
