cell,block,n,rule,ctl_med,ctl_p5,ctl_p95,excess,p
10m CARRY k3/w20,research,176,-7.493889069801466,-1.4589093251782743,-8.56510777410646,7.5534943015488185,-6.034979744623191,0.9225
10m CARRY k3/w20,LOCKED,92,5.965370103184572,-0.07573132394107526,-16.76049316622865,16.309959919522885,6.041101427125647,0.285
10m MATCHED k2/w10,research,277,-3.279648846871578,-1.2487020519344103,-8.29639775260207,5.9389179960954115,-2.030946794937168,0.6775
10m MATCHED k2/w10,LOCKED,136,10.630545409636166,-0.1916701621157793,-13.464016997472333,15.837697050801275,10.822215571751945,0.1425
5m reference k3/w20,research,380,2.3098236060559962,-1.5818085308204752,-6.415014726596014,3.7813873860136105,3.8916321368764715,0.1025
5m reference k3/w20,LOCKED,179,11.411132143533422,-1.5543121998077412,-12.241533747866697,8.433831596702698,12.965444343341163,0.0175
