cell,block,n,pts,pf,sharpe,boot_lo,boot_hi,P_mean_le0,real_dd,mc_dd_p50,mc_dd_p99,dd_pctile
10m CARRY k3/w20,research,176,-7.493889069801466,0.6961547116581264,-1.3382232068913442,-15.454822848925101,-0.04591941338445347,0.9765,1428.4544762850626,1547.0601064208695,2066.510920472151,0.25
10m CARRY k3/w20,LOCKED,92,5.965370103184572,1.2170206645314934,0.6572408293505052,-10.232955857586935,23.35285544787758,0.239,743.0635845194049,601.6773943543967,1101.3987231347196,0.7745
10m MATCHED k2/w10,research,277,-3.279648846871578,0.8762835293857997,-0.590218971528586,-10.221674659668034,4.612588224463325,0.7955,1740.9486289477966,1562.1315273432476,2491.331623167804,0.7115
10m MATCHED k2/w10,LOCKED,136,10.630545409636166,1.3516718523672702,1.2405731779527582,-5.627608431983007,26.79255321609456,0.103,562.660593330237,744.4556567578079,1426.2718727282333,0.1455
5m reference k3/w20,research,380,2.3098236060559962,1.1181786164881566,0.5505298690104634,-3.5689582787555425,8.280808099207853,0.2555,740.2554691016688,894.8320419628869,1663.491196222944,0.2405
5m reference k3/w20,LOCKED,179,11.411132143533422,1.4673597062364419,1.7513367788713232,-0.6120962001360908,22.81323981573782,0.0325,873.9440798680882,637.9193651298124,1249.4747840977032,0.866
