cell,block,base_total,p5,p50,p95,P_total_le0
10m CARRY k3/w20,research,-1318.924476285058,-1650.7859748436188,-1430.9335844594443,-1207.7161965086584,1.0
10m CARRY k3/w20,LOCKED,548.8140494929806,392.1586025326073,493.5931919273056,607.7752528362352,0.0
10m MATCHED k2/w10,research,-908.4627305834272,-1432.072211908511,-1091.4756014312848,-740.8840020307493,1.0
10m MATCHED k2/w10,LOCKED,1445.7541757105187,1214.5191414956146,1374.5942308524393,1559.3108432112272,0.0
5m reference k3/w20,research,877.7329703012786,196.20947159184874,633.9660598032683,1111.1469998656348,0.004
5m reference k3/w20,LOCKED,2042.5926536924826,1738.4424732934995,1935.2316446727364,2155.611816210339,0.0
