,0
19353,0.0
19354,0.0
19355,0.0
19356,0.0
19360,-25.539396116131172
19361,0.0
19362,0.0
19363,51.02972030058962
19366,-35.25967374832791
19367,-59.47
19368,-70.31400276343942
19369,25.260340437048654
19370,8.72351698396349
19373,15.310345868513904
19374,14.468254774837332
19375,23.59410941339891
19376,-41.36340516909644
19377,0.0
19380,92.28
19381,-25.694524540113633
19382,40.30380492544086
19383,32.09361721585381
19384,45.16249786225788
19387,-59.17199988535569
19388,0.0
19389,-33.679213937838284
19390,0.0
19391,0.0
19394,0.0
19395,-3.9699999999999998
19396,-71.72
19397,25.283744741772608
19398,36.70219159174718
19401,0.0
19402,13.47627343563778
19403,-31.97
19404,52.53
19405,-61.20923430786337
19408,0.0
19409,0.0
19410,0.0
19411,18.357254964324312
19412,-14.239821078013989
19415,0.0
19416,0.0
19417,-12.72
19418,-19.47
19419,0.0
19422,77.53
19423,0.0
19424,-125.4720137035942
19425,0.0
19426,-91.58873076431402
19429,0.0
19430,130.28
19431,-88.2080787230577
19432,0.0
19433,0.0
19436,-56.638623218154606
19437,0.0
19438,3.8003730138946414
19439,-36.74646151383851
19440,12.81998127170962
19443,-14.72
19444,-57.72257010101086
19445,0.0
19446,-53.531450113643075
19447,-37.00569767667133
19450,50.03
19451,0.0
19452,-35.84966656174831
19453,0.0
19454,1.53
19457,-31.836797555689117
19458,0.0
19459,0.0
19460,-45.632334862989154
19461,0.0
19464,20.455412732461408
19465,0.0
19466,-28.7796192938101
19467,-27.819936932718917
19468,6.3001187331185795
19471,0.0
19472,6.9210693190209716
19473,-24.670322847788555
19474,8.269204700717891
19475,-39.18912982147114
19478,7.03
19479,-39.92519741956377
19480,-3.079133431737718
19481,-42.93971149273304
19482,127.28
19485,0.0
19486,0.0
19487,52.95351427327958
19488,0.0
19489,65.03
19492,0.0
19493,9.099056755548956
19494,17.03
19495,0.0
19496,-31.22
19499,0.0
19500,4.4565913403396555
19501,-44.06620662761517
19502,56.88151339211734
19503,0.0
19506,0.0
19507,0.0
19508,55.55711441468637
19509,58.28
19510,57.78
19513,0.0
19514,0.0
19515,0.0
19516,-50.711715661806664
19517,0.0
19520,-26.070338533920875
19521,-61.81436285612537
19522,4.025440173785028
19523,92.24828639902378
19524,0.0
19527,0.0
19528,5.996201418883429
19529,0.0
19530,6.191763309311937
19531,0.0
19534,0.0
19535,-14.97
19536,29.955030913815136
19537,37.37406948401738
19538,0.0
19541,0.0
19542,-12.289676812516264
19543,0.0
19544,0.0
19545,-7.22
19548,0.0
19549,0.0
19550,0.0
19551,-33.49179402046386
19552,0.0
19555,-27.88196880285497
19556,22.643339919520514
19557,-19.785662420102597
19558,0.0
19559,0.0
19562,21.03
19563,-22.261370106206158
19564,32.356379122237996
19565,45.32156094599239
19566,-43.13715531900627
19569,-49.9855800707289
19570,11.34113863554492
19571,-84.12837151104162
19572,0.0
19573,-75.88830685551758
19576,5.075259177302796
19577,-44.89588440061081
19578,-97.43506448994361
19579,0.0
19580,57.78352706134436
19583,140.28
19584,10.905528619697433
19585,-0.47
19586,0.0
19587,31.395902818089382
19590,0.0
19591,47.02538203448901
19592,180.53
19593,0.0
19594,0.0
19597,0.0
19598,0.0
19599,-68.40131129854373
19600,10.383847537266119
19601,-48.22448652313935
19604,0.0
19605,-44.36723035693896
19606,47.27927891924497
19607,21.28
19608,0.0
19611,0.0
19612,0.0
19613,-72.12155209409451
19614,14.57312268720605
19615,0.0
19618,-3.9699999999999998
19619,0.0
19620,-65.74641179984013
19621,0.0
19622,-63.7318859027134
19625,-49.92240553715121
19626,0.0
19627,6.785712754042179
19628,-88.25713886261903
19629,22.53
19632,-41.740404461669385
19633,0.0
19634,-33.89687748048294
19635,0.0
