frac,cut,n_a,pts_a,pf_a,n_b,pts_b,pf_b
0.3,2023-11-14,178,-2.9656652681777396,0.8537345119289212,381,9.050430555720208,1.42110165462257
0.35,2024-01-10,212,0.4820830442869964,1.0255890027296022,347,8.121394866296594,1.3611266353648273
0.39999999999999997,2024-03-04,245,-0.2588465541317653,0.9866096931219417,314,9.502366336802687,1.4225308495844968
0.44999999999999996,2024-04-26,271,-0.41422674348027055,0.9785319191495674,288,10.52979538707262,1.4616700416168713
0.49999999999999994,2024-06-19,295,-1.5200730222678573,0.9235258069503551,264,12.76040593016204,1.5677055923353664
0.5499999999999999,2024-08-13,326,0.987882812775415,1.0498536335495887,233,11.15139839926599,1.4867726969027182
0.5999999999999999,2024-10-04,354,2.9222624683268146,1.1489439623591564,205,9.199242488810093,1.3886553270392508
0.6499999999999999,2024-11-27,380,2.3098236060559962,1.1181786164881566,179,11.411132143533422,1.4673597062364419
0.7,2025-01-23,406,3.375044602760715,1.1766471223940467,153,10.131094871064771,1.3836231478867742
0.7499999999999999,2025-03-18,438,2.8293002076099927,1.1331407322619103,121,13.893323413723833,1.6751455428753166
0.7999999999999998,2025-05-12,460,3.1701904751451218,1.1466311100014643,99,14.76806066087884,1.7892732810654002
0.8499999999999999,2025-07-04,487,2.870418658354936,1.1328033668416666,72,21.144885241318157,2.1972344979273117
