,10m carry,10m matched,5m carry,5m matched,always-long 10m,always-long 5m
10m carry,1.0,0.314,0.034,0.085,-0.055,-0.071
10m matched,0.314,1.0,0.35,0.178,0.023,0.012
5m carry,0.034,0.35,1.0,0.549,0.011,0.028
5m matched,0.085,0.178,0.549,1.0,-0.133,-0.144
always-long 10m,-0.055,0.023,0.011,-0.133,1.0,0.91
always-long 5m,-0.071,0.012,0.028,-0.144,0.91,1.0
