stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,0.0,0.0,0.0,1.0,288,-3.181502368708782,0.8537280613617966,-0.6834877675003855,1573.581135513177,144,12.822587718291162,1.4776271151735099,1.5319796068125646,431.0990516239631
1.5,0.0,0.0,1.0,0.75,303,0.4897431591317117,1.0305207563825534,0.15441535754410504,977.6414362695326,152,11.347507722604227,1.630494534690993,2.019677327297897,414.71713458101726
1.5,0.0,0.0,1.0,1.0,302,-0.17674311816388044,0.9889548034683249,-0.05121693408127252,1155.165902800302,152,9.489953849149698,1.5270567920354337,1.689685328968745,477.9047834829619
1.5,0.0,0.0,1.0,1.5,297,0.2950023042049177,1.0175048084946285,0.07164516805836325,1094.499448383926,151,11.1292694341249,1.560440183242208,1.6723479743388823,515.969781094574
1.5,0.0,0.0,1.5,0.75,300,0.2961509625166464,1.0164453740578117,0.08482650228584446,1002.3884255009034,150,9.021285887283666,1.4059308163994968,1.5557758373662316,433.68220919119403
1.5,0.0,0.0,1.5,1.0,300,-0.580224234262259,0.9677799305841721,-0.15805028332088858,1150.04269123835,150,8.11179192915212,1.3650063152199967,1.376257473037221,474.3779662410684
1.5,0.0,0.0,1.5,1.5,296,0.06115714175211464,1.0034468189303896,0.014558715584639897,1178.495450041015,150,10.190785816491477,1.4580462025789513,1.5440375437493195,482.3333474976548
1.5,0.0,1.0,0.0,1.0,295,0.40895212338580494,1.0258981382139838,0.09985915659212584,1115.4450395500517,149,16.97709508412857,1.9246702837074383,2.065194192218473,485.9765925136503
1.5,0.0,1.0,1.0,0.75,303,0.4897431591317117,1.0305207563825534,0.15441535754410504,977.6414362695326,152,11.347507722604227,1.630494534690993,2.019677327297897,414.71713458101726
1.5,0.0,1.0,1.0,1.0,302,0.13480686640256948,1.0084321299482637,0.03905382227556013,1131.7482649533674,152,10.042567757750227,1.5579889646527922,1.7704825450820378,475.7079688238739
1.5,0.0,1.0,1.0,1.5,299,0.9358785824067042,1.0599266455533871,0.23827139172879058,1069.0796806039002,151,12.080731404831207,1.6668181730633518,1.7458937289853393,574.9964827616218
1.5,0.0,1.0,1.5,0.75,302,0.6800188482385969,1.042534979475699,0.2087482184014575,942.7878556779617,151,9.363820801740829,1.5168532989163561,1.6653611292340869,528.8582910784803
1.5,0.0,1.0,1.5,1.0,302,0.13755816799124884,1.008604223055549,0.03956802609047279,1082.7113631556683,151,9.092411140265485,1.5018723438274653,1.5976593013774423,547.6732944800183
1.5,0.0,1.0,1.5,1.5,299,0.9358785824067042,1.0599266455533871,0.23827139172879058,1069.0796806039002,151,12.080731404831207,1.6668181730633518,1.7458937289853393,574.9964827616218
1.5,0.0,1.5,0.0,1.0,291,-0.6144098522838606,0.9655286202552521,-0.14154578215692418,1234.389117507689,148,14.568130898853964,1.6467819146664446,1.8637095334560294,369.7766929092764
1.5,0.0,1.5,1.0,0.75,303,0.4897431591317117,1.0305207563825534,0.15441535754410504,977.6414362695326,152,11.347507722604227,1.630494534690993,2.019677327297897,414.71713458101726
1.5,0.0,1.5,1.0,1.0,302,-0.17674311816388044,0.9889548034683249,-0.05121693408127252,1155.165902800302,152,9.489953849149698,1.5270567920354337,1.689685328968745,477.9047834829619
1.5,0.0,1.5,1.0,1.5,297,0.5133261579610282,1.0305074476883633,0.12452906875562389,1084.0736793509755,151,11.378806861635262,1.5736482130716751,1.7085163422721306,509.9129625731016
1.5,0.0,1.5,1.5,0.75,300,0.2961509625166464,1.0164453740578117,0.08482650228584446,1002.3884255009034,150,9.021285887283666,1.4059308163994968,1.5557758373662316,433.68220919119403
1.5,0.0,1.5,1.5,1.0,300,-0.580224234262259,0.9677799305841721,-0.15805028332088858,1150.04269123835,150,8.11179192915212,1.3650063152199967,1.376257473037221,474.3779662410684
1.5,0.0,1.5,1.5,1.5,296,0.2952480465741927,1.0166660724646257,0.07019940031540586,1168.0696810080644,150,10.504336724075277,1.4726636574226792,1.5894009508151543,470.8382378214242
1.5,1.5,0.0,0.0,1.0,301,-0.7657245969924867,0.9576029229205305,-0.23963399858994489,1022.7806619360604,150,7.080034006414935,1.3185803022173799,1.4083857509829016,396.67151271045617
1.5,1.5,0.0,1.0,0.75,303,-0.4478437460974824,0.9720904118470487,-0.15510947542538028,992.3152996461985,152,8.73096659503454,1.4851132826085935,1.799326897079958,409.5683701803539
1.5,1.5,0.0,1.0,1.0,303,-0.6847549402009169,0.9573645854402979,-0.23369756500237163,1024.9743782592786,152,7.066955146791282,1.3924873364331318,1.4822839707911712,451.297314845302
