keep,kept_frac,n,base,filtered,uplift,pf_base,pf_kept,boot_p,rand_filter_p,total_base,total_kept
0.8,0.5772727272727273,127,0.012400476923657812,0.021416666621989808,0.009016189698331996,1.3029978436668221,1.445775756105436,0.251,0.39,2.7281049232047185,2.7199166609927055
0.7,0.4,88,0.012400476923657812,0.04166741785223458,0.02926694092857677,1.3029978436668221,1.8660244692629273,0.137,0.14,2.7281049232047185,3.666732770996643
0.6,0.2818181818181818,62,0.012400476923657812,0.06030699098252402,0.04790651405886621,1.3029978436668221,2.0882158387555814,0.1335,0.119,2.7281049232047185,3.739033440916489
0.5,0.21818181818181817,48,0.012400476923657812,0.08070813163481104,0.06830765471115323,1.3029978436668221,2.4297050849640756,0.1095,0.087,2.7281049232047185,3.87399031847093
0.4,0.14545454545454545,32,0.012400476923657812,-0.01547011088512067,-0.027870587808778484,1.3029978436668221,0.763404636907743,1.0,0.679,2.7281049232047185,-0.49504354832386144
