primary,block,n,pct,tot,pf,win,ret_dd,boot_p,p_entry,ctl_med,always
total,research,789,0.045039994216422644,35.53655543675747,1.3174583689932453,45.247148288973385,5.338298855468027,0.0075,0.052,0.027019613315541494,0.06748823727129158
total,LOCKED,387,0.04255720888870493,16.469639839928806,1.2773517155987935,39.276485788113696,4.5996187733006,0.084,0.292,0.03334145358606369,0.122166550176645
pf,research,150,0.11167593678764651,16.751390518146977,1.9609215643306817,42.66666666666667,3.5433191070960737,0.1405,0.0,0.011652167594996644,-0.06646731519293901
pf,LOCKED,91,0.06620257055742187,6.02443392072539,1.5695891789798246,36.26373626373626,1.8170574419002505,0.2265,0.002,-0.01603083280565334,-0.04565048160989659
retdd,research,495,0.024260825431480292,12.009108588582745,1.5413766806785032,9.8989898989899,6.818190884493131,0.038,0.005,-0.004097621598938707,-0.005973415821436574
retdd,LOCKED,220,0.012400476923657812,2.7281049232047185,1.3029978436668221,10.0,0.7723932229766317,0.244,0.51,0.012860309530559994,-7.37504446443695e-05
published,research,1023,-0.01668584840600492,-17.069622919343033,0.8561088018355075,34.31085043988269,-0.897772641956696,1.0,0.205,-0.022993740710437378,0.0022842148259818967
published,LOCKED,538,-0.014549815255877542,-7.827800607662118,0.8712660543050865,30.66914498141264,-0.6974690959842945,1.0,0.24,-0.02069344792765132,-0.00023653064223210288
