market,block,cell,sessions,index_move_in_ranges,n,pts,R,pf,win,sharpe,dd,sumR,stop_share,ctrl_mean,p
US100,research,EA default,1263,120.93103448275998,167,30.183832335329342,0.24487944104117673,1.670964520307872,0.6227544910179641,1.138282504221221,5.934656133332666,40.89486665387651,0.3413173652694611,0.13022922200919407,0.031
US100,research,consensus,1263,120.93103448275998,110,57.3672727272727,0.31336222946771536,1.803574529264077,0.5909090909090909,1.1430852293344034,3.670718567478488,34.46984524144869,0.36363636363636365,0.21731751997342008,0.137
US100,research,plateau,1263,120.93103448275998,101,78.9856435643565,0.319904939261977,2.3080366189892314,0.6732673267326733,1.472108494205388,4.049593182661301,32.310398865459675,0.21782178217821782,0.17925959585257853,0.028
US100,validation,EA default,498,1.5489456159822548,96,63.687500000000135,0.2865614947085531,1.8655052535993912,0.6145833333333334,1.779135893210136,4.254880234014512,27.509903492021095,0.3125,0.07609093225715387,0.001
US100,validation,consensus,498,1.5489456159822548,67,50.562686567164214,0.19549257769564904,1.4401635717635373,0.5223880597014925,0.9019610688878921,7.301664682222187,13.098002705608486,0.417910447761194,0.0828347954409758,0.156
US100,validation,plateau,498,1.5489456159822548,61,90.1459016393444,0.2225640827645964,1.8034373115911277,0.639344262295082,1.3579727807695354,2.7888861167491257,13.57640904864038,0.2459016393442623,0.07323317756208161,0.044
US100,test,EA default,433,34.799059427105384,56,38.980357142856974,0.11476541611353322,1.2696255341259992,0.5892857142857143,0.5528164638918939,5.202545522920487,6.4268633023578605,0.4107142857142857,0.11945127386874946,0.51
US100,test,consensus,433,34.799059427105384,41,17.19999999999993,0.04835383520242146,1.0907687647854838,0.4878048780487805,0.179087405517595,4.982295974931972,1.9825072432992799,0.5121951219512195,0.068751264217249,0.555
US100,test,plateau,433,34.799059427105384,39,32.57564102564076,0.08508393297111819,1.2390125031740018,0.6410256410256411,0.4230235943937575,3.4898283359908344,3.318273385873609,0.3333333333333333,0.058677474915723296,0.413
US30,research,EA default,1266,86.42654028436019,174,37.86206896551724,0.04929991828277304,1.0958555850127996,0.4942528735632184,0.22550077617319927,12.391422642098643,8.578185781202508,0.47126436781609193,0.09493682951714535,0.756
