market,year,selector,entry,exit,hold,mult,n_is,R_is,n_oos,R_oos,pf_oos,wfe
US100,2019,best,20.0,90.0,5.0,0.5,62,0.6155217569253624,29,0.5308745901037527,1.691809035424832,0.862479001157592
US100,2019,plateau,20.0,90.0,5.0,0.5,62,0.6155217569253624,29,0.5308745901037527,1.691809035424832,0.862479001157592
US100,2019,default,20.0,80.0,5.0,1.0,59,0.2505445380971383,30,0.21086308805754692,1.3917947508497621,0.8416191774086629
US100,2020,best,20.0,90.0,5.0,0.5,91,0.5885462861800143,40,0.5088007992462631,1.8977109074846354,0.8645043069571592
US100,2020,plateau,20.0,90.0,5.0,0.5,91,0.5885462861800143,40,0.5088007992462631,1.8977109074846354,0.8645043069571592
US100,2020,default,20.0,80.0,5.0,1.0,89,0.2371687684208715,42,0.3355900055625992,2.2144976228386506,1.414983970263204
US100,2021,best,20.0,90.0,5.0,0.5,131,0.564196519177342,39,0.3718469771364205,1.5417042754437047,0.6590735045274873
US100,2021,plateau,20.0,90.0,5.0,0.5,131,0.564196519177342,39,0.3718469771364205,1.5417042754437047,0.6590735045274873
US100,2021,default,20.0,80.0,5.0,1.0,131,0.26872366887852467,36,0.15811294529971606,1.44736789270812,0.5883848860786071
US100,2022,best,20.0,90.0,5.0,0.5,170,0.520069271297366,57,0.040447145611603647,1.0565612762269319,0.0777726119266845
US100,2022,plateau,20.0,90.0,5.0,0.5,170,0.520069271297366,57,0.040447145611603647,1.0565612762269319,0.0777726119266845
US100,2022,default,20.0,80.0,5.0,1.0,167,0.24487944104117673,54,0.1333194344363077,1.3258955842558795,0.544428858010542
US100,2023,best,20.0,90.0,5.0,0.5,227,0.3996355216758309,47,0.06365950356599441,1.0938265505522327,0.15929390685553868
US100,2023,plateau,20.0,90.0,5.0,0.5,227,0.3996355216758309,47,0.06365950356599441,1.0938265505522327,0.15929390685553868
US100,2023,default,20.0,80.0,5.0,1.0,221,0.21762043490243044,42,0.4835870007728686,3.095150163199918,2.22215804774806
US100,2024,best,20.0,90.0,5.0,0.5,274,0.3420045988613699,39,-0.1787945072634913,0.757514138339184,-0.5227839270546326
US100,2024,plateau,20.0,90.0,5.0,1.0,238,0.3174396462334811,34,0.07847201541107285,1.1777044916470047,0.24720294500755471
US100,2024,default,20.0,80.0,5.0,1.0,263,0.2600941830642495,35,0.2292093031996303,1.6591676238266277,0.8812550150074295
US100,2025,best,20.0,90.0,5.0,1.0,272,0.28756869238068,20,-0.11658350086402111,0.8159635448307816,-0.40541096424255135
US100,2025,plateau,10.0,90.0,5.0,1.0,159,0.2818822106507207,12,-0.03606741278125921,0.941521084412091,-0.12795207153370247
US100,2025,default,20.0,80.0,5.0,1.0,298,0.2564667642882036,21,-0.07597439569662859,0.8632367296167233,-0.2962348587642048
