market,year,selector,entry,exit,hold,mult,n_is,R_is,n_oos,R_oos,pf_oos,wfe
US30,2019,best,10.0,90.0,4.0,1.5,34,0.31039877646361813,15,0.06033850501271817,1.1298084438814864,0.19439027982054707
US30,2019,plateau,10.0,90.0,4.0,1.5,34,0.31039877646361813,15,0.06033850501271817,1.1298084438814864,0.19439027982054707
US30,2019,default,20.0,80.0,5.0,1.0,64,-0.11213940730784436,26,0.12016471385542432,1.188079575917103,-1.071565444657193
US30,2020,best,40.0,90.0,10.0,0.75,136,0.2841142168346269,53,0.13519590017362956,1.2088182911958656,0.47585052828356855
US30,2020,plateau,40.0,90.0,10.0,0.75,136,0.2841142168346269,53,0.13519590017362956,1.2088182911958656,0.47585052828356855
US30,2020,default,20.0,80.0,5.0,1.0,86,-0.058858376566371946,44,0.2817042105839148,1.7903134697813752,-4.786136265009784
US30,2021,best,15.0,90.0,10.0,1.0,79,0.3032617200113608,29,0.2196932988227615,1.4362417195022437,0.7244346527300951
US30,2021,plateau,10.0,90.0,10.0,1.5,53,0.24907436078239312,23,-0.1352802146610823,0.7649747386037365,-0.5431318351521196
US30,2021,default,20.0,80.0,5.0,1.0,109,0.0626429820883311,40,0.00589600057428159,1.0107026149915903,0.0941206880280349
US30,2022,best,15.0,90.0,10.0,1.0,81,0.4254649746917668,33,0.09890685177601737,1.1950927077536844,0.23246767104077515
US30,2022,plateau,15.0,90.0,7.0,0.5,89,0.3741423018839633,38,0.1677027341769933,1.2390893757455195,0.44823248622927625
US30,2022,default,20.0,80.0,5.0,1.0,110,0.14322825317185958,39,0.2722454623660313,1.6294919146067055,1.9007804419660412
US30,2023,best,15.0,90.0,10.0,1.0,91,0.3666867961837278,28,0.18603404282029173,1.5054642977422312,0.5073377191555043
US30,2023,plateau,15.0,90.0,10.0,1.0,91,0.3666867961837278,28,0.18603404282029173,1.5054642977422312,0.5073377191555043
US30,2023,default,20.0,80.0,5.0,1.0,123,0.18901136846291652,39,0.08629036396003767,1.2157795282629769,0.4565353114035973
US30,2024,best,10.0,90.0,7.0,0.5,77,0.23704310072865026,21,0.08265564611423172,1.1195817348785553,0.3486945870187967
US30,2024,plateau,10.0,85.0,7.0,0.5,78,0.19186047093068373,21,0.09167773558850814,1.1326344077724615,0.4778354558591171
US30,2024,default,20.0,80.0,5.0,1.0,118,0.12049777330244028,28,0.04807377383872186,1.1117196381677399,0.39895985229586217
US30,2025,best,10.0,85.0,2.0,1.0,70,0.29307804585545666,10,0.0410000193803,1.0809324015924564,0.13989454331397044
US30,2025,plateau,10.0,80.0,5.0,0.75,69,0.2692570879590839,10,-0.04460337687810143,0.9303276212828717,-0.1656534920442998
US30,2025,default,20.0,80.0,5.0,1.0,106,0.14461285749246133,18,0.03337920908704246,1.0741784811653228,0.23081771334739384
