market,year,selector,entry,exit,hold,mult,n_is,R_is,n_oos,R_oos,pf_oos,wfe
US100,2019,best,20.0,90.0,5.0,0.5,62,0.6155217569253624,29,0.5308745901037527,1.691809035424832,0.862479001157592
US100,2019,plateau,20.0,90.0,5.0,0.5,62,0.6155217569253624,29,0.5308745901037527,1.691809035424832,0.862479001157592
US100,2019,default,20.0,80.0,5.0,1.0,59,0.2505445380971383,30,0.21086308805754692,1.3917947508497621,0.8416191774086629
US100,2020,best,20.0,90.0,5.0,0.5,86,0.5606961873279259,40,0.5088007992462631,1.8977109074846354,0.9074447280817489
US100,2020,plateau,20.0,90.0,5.0,0.5,86,0.5606961873279259,40,0.5088007992462631,1.8977109074846354,0.9074447280817489
US100,2020,default,20.0,80.0,5.0,1.0,84,0.2314178621829493,42,0.3355900055625992,2.2144976228386506,1.4501473758205223
US100,2021,best,30.0,90.0,5.0,0.5,153,0.35272567455270004,57,0.015280190727857424,1.0205778609765375,0.04332032463254795
US100,2021,plateau,35.0,90.0,5.0,0.5,172,0.34932859546999145,64,0.08488454294981193,1.11452424624613,0.24299339948281964
US100,2021,default,20.0,80.0,5.0,1.0,108,0.15559453304066598,36,0.15811294529971606,1.44736789270812,1.0161857374409926
US100,2022,best,20.0,90.0,5.0,0.5,108,0.46527247399240507,57,0.040447145611603647,1.0565612762269319,0.08693216958341682
US100,2022,plateau,40.0,90.0,7.0,0.5,178,0.4106389237290345,83,-0.019050003759743424,0.9750812597501517,-0.046391130160651356
US100,2022,default,20.0,80.0,5.0,1.0,108,0.24178461950134586,54,0.1333194344363077,1.3258955842558795,0.551397498779138
US100,2023,best,20.0,90.0,4.0,0.5,138,0.296462145133318,48,0.02521319493340307,1.0374609880450743,0.08504692874722601
US100,2023,plateau,40.0,90.0,4.0,0.5,215,0.24324430130004804,68,0.09558400217476457,1.1330381949208126,0.39295474411488585
US100,2023,default,20.0,80.0,5.0,1.0,132,0.2044401191210573,42,0.4835870007728686,3.095150163199918,2.3654212434033903
US100,2024,best,10.0,90.0,4.0,1.0,76,0.28264916479153174,18,0.3870271939813221,2.411449990867264,1.3692847607272236
US100,2024,plateau,10.0,80.0,5.0,1.0,81,0.274959966718763,18,0.509486877389282,4.003593666148644,1.8529492982896667
US100,2024,default,20.0,80.0,5.0,1.0,132,0.25153007214250667,35,0.2292093031996303,1.6591676238266277,0.9112600384011724
US100,2025,best,10.0,80.0,5.0,1.0,77,0.3795664413097018,12,-0.09896163888509256,0.8395457594394047,-0.2607228356216724
US100,2025,plateau,10.0,75.0,5.0,1.0,77,0.37892761809148257,12,-0.2076715275556885,0.6632859195198085,-0.5480506504161737
US100,2025,default,20.0,80.0,5.0,1.0,131,0.2712383901069325,21,-0.07597439569662859,0.8632367296167233,-0.28010192682044965
