trial,fast_type,fast_len,slow_type,slow_len,gate,exit,nR,mR,pfR,tR,nH,mH,pfH,tH
845,hull,5,linreg,207,state,state,61.0,0.02533255085980175,1.992399437797087,1.843466324291996,53.0,-0.0104080189855228,0.8167221691816815,-0.5980352830219641
846,sma,2,tema,224,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.006362059279247236,0.8756633664545957,-0.37979732938682864
847,linreg,33,linreg,197,11.5,cross,24.0,0.013263100054084613,1.3800302756014273,0.5266067271787427,24.0,-0.015524921683605331,0.7503577498757084,-0.5362116985873995
848,sma,5,ema,209,state,state,49.0,-0.02383003276229817,0.6240172672908423,-1.243199596119356,51.0,-0.035240936663671917,0.5087674615983658,-1.905791520117614
849,tema,40,tema,192,state,off,47.0,0.001970653229540892,1.035441407903027,0.09122003180110018,47.0,-0.0041928608040267545,0.919031653348198,-0.21066921344195313
850,hull,4,sma,200,state,state,58.0,-0.00989097754868864,0.8142771164262887,-0.5926890937643591,53.0,-0.03090691809764508,0.5064877944554999,-1.884455806642543
851,sma,5,tema,220,state,state,51.0,0.008627143777751025,1.1932336553947047,0.4610706257288923,53.0,-0.007911089951815983,0.854818305385525,-0.4438255562021879
852,hull,52,tema,188,17.5,off,30.0,0.0020939930312707236,1.0419767385120087,0.08089231271747337,30.0,-0.0032544637673990523,0.938560378274676,-0.12723284973776713
853,sma,5,linreg,19,8.5,state,55.0,0.01633821116948956,1.750941098772464,1.3764196789137226,57.0,-0.011398647327882603,0.6630353791401092,-0.9994526387321518
854,linreg,36,wma,186,3.5,state,12.0,-2.7200749484702176e-05,0.9994458672171126,-0.0006731061830519835,11.0,-0.03873434030923938,0.566063245322514,-0.8012437378481284
855,sma,3,tema,203,state,state,58.0,0.04090147749173231,2.8029787735593312,2.692709312360979,54.0,-0.006306587033505029,0.8862156197140033,-0.35340715894962227
856,sma,3,tema,232,state,state,58.0,0.0360357311055277,2.462559312012834,2.361902591727445,55.0,-0.0046979194167097995,0.9101200352106211,-0.2701696428345927
857,sma,2,hull,210,state,state,59.0,0.023315728883556538,1.7208059911577802,1.5013632427468186,53.0,0.008790726039762463,1.1920507284238961,0.5012157932870424
858,sma,2,tema,194,state,state,61.0,0.047700726337074256,3.5480825236682474,3.3225605351146164,54.0,-0.004955730445966007,0.9019643294163627,-0.2965264700985946
859,ema,3,hull,215,state,state,60.0,0.025633466592122907,1.8724484385759612,1.6922483334993772,53.0,0.004476118390266499,1.090013397436204,0.25009913145310897
860,sma,8,ema,199,state,state,43.0,-0.030362552674440373,0.5717515418533399,-1.4033797489747073,49.0,-0.034402679511082467,0.5247709097763358,-1.769220400643569
861,sma,2,dema,222,state,state,59.0,0.02443348972005705,1.7059884732951283,1.497688092854741,57.0,-0.011255355847089409,0.7778127270882077,-0.7236052334125673
862,dema,8,wma,196,19.0,state,40.0,0.027769052898774488,1.9150891627134357,1.4656496790121036,36.0,-0.027451516900314242,0.607239643173589,-1.2571201889891654
863,sma,2,tema,208,1.5,state,25.0,0.057497637507143484,5.79417934513987,2.6199708757837796,24.0,-0.006458535427037647,0.8791953569255437,-0.2534422262938034
864,sma,50,wma,189,14.5,state,8.0,0.013304857213530582,1.373872542551254,0.28530020137078554,9.0,0.006866087356438848,1.1258030664016376,0.1352008340730389
865,tema,59,ema,183,state,cross,43.0,-0.031511862117765334,0.5630246648275589,-1.4297228106563906,44.0,-0.06394255600476838,0.2495663752509586,-3.4660211202302578
866,wma,49,tema,195,state,state,39.0,0.02731229650466393,1.647126605442677,1.1933614686131655,44.0,-0.01125425454744506,0.7907952112764393,-0.5618988230015427
867,sma,2,tema,212,state,state,58.0,0.0403578601031187,2.7449159935648573,2.6442312207492895,54.0,-0.004810457661418065,0.9044968878711619,-0.28813873070467316
868,sma,4,tema,197,state,state,54.0,0.01941698036779056,1.5629640848073196,1.1587636688363587,52.0,-0.0005801195351301721,0.9880612684810332,-0.03304346181846189
869,wma,39,hull,182,state,cross,46.0,0.01561283337334377,1.3612930255924067,0.7786996825440492,49.0,0.0008480897377786707,1.0166771388325062,0.044752249430966354
870,hull,7,tema,200,9.0,state,39.0,0.03374432451839201,3.075233525862843,2.1089984242189117,38.0,-0.008199223407463712,0.829363906947609,-0.4353905583712032
871,linreg,2,tema,239,state,state,61.0,0.0251841251691153,1.874171579034216,1.7317590780613639,53.0,-0.00997794122673222,0.8085830136045514,-0.6137114996515891
872,linreg,7,dema,179,13.5,state,51.0,0.0284261822146276,1.995267852401807,1.711759564993105,45.0,-0.006045672465915239,0.8832109216963775,-0.32488450648730877
873,linreg,45,linreg,189,state,cross,47.0,0.011426868289511604,1.2476382689068384,0.566450473696023,50.0,-0.0010813345521758853,0.9771662571337789,-0.06009955643948462
874,wma,2,tema,216,state,state,59.0,0.03610030957523217,2.560212034790039,2.442394981185906,54.0,-0.006078818387311093,0.882280143478793,-0.3618729878841684
875,dema,2,tema,228,2.0,state,29.0,0.039766046755632764,2.9592607622659206,1.907283690147927,28.0,-0.002050185944544986,0.951072485715839,-0.09860423800598486
876,sma,8,tema,176,12.5,state,34.0,0.019375492128538646,1.7125931518728972,0.9925887678959856,27.0,0.000886835918058615,1.0216783142465573,0.03804690533552752
877,sma,5,wma,204,state,state,50.0,-0.019995200501693507,0.6798862749238676,-1.0455410334155588,54.0,-0.03618552650820336,0.48782571040786954,-2.0844494279899908
878,wma,20,ema,187,17.0,off,17.0,0.012946151903067938,1.294999262381627,0.37958669196042094,15.0,-0.040173963043322075,0.5516831693414549,-0.9578388090006337
879,tema,17,hull,506,0.5,cross,14.0,0.052504328031472244,4.110343268859549,1.6375332966928247,10.0,0.09417183507892109,6.410686241394774,2.325101265311953
880,tema,4,tema,364,state,state,58.0,0.02112735162672433,1.5921103235407625,1.2884084113252339,57.0,-0.011483771608738516,0.7741155781632386,-0.7501711068937771
881,wma,30,dema,178,state,off,45.0,-0.004485045982723429,0.9308653428157845,-0.19163025168676323,47.0,-0.0126620674624055,0.7752056153500225,-0.6376530360830567
882,linreg,6,tema,197,state,state,59.0,0.04060625352063282,3.1991826528802405,2.875303443502309,53.0,-0.00741643862614894,0.8622668663659051,-0.4298969815199013
883,sma,3,tema,166,state,cross,59.0,0.04536433573708449,3.267348962527858,3.0335186424562672,53.0,0.0050354760766681056,1.1094911070265887,0.2907002072898718
884,sma,4,tema,207,state,state,54.0,0.023298073499182892,1.7611379796322038,1.446479550596798,53.0,-0.012459619495997953,0.7719683427372768,-0.7221074391936747
885,hull,26,hull,189,state,off,48.0,-0.0146569515942692,0.767661203359042,-0.692219952151662,48.0,0.0006291335723929222,1.0117165689922372,0.030470900784553678
886,wma,6,wma,157,state,state,54.0,-0.010747898948193214,0.7998294262209508,-0.6175220138119412,57.0,-0.018863386477080277,0.6926872650567631,-1.0837445530095438
887,sma,2,tema,174,state,state,59.0,0.04675002148715972,3.5137782146620373,3.186132884179043,53.0,0.0009464014742911337,1.0206213505341497,0.05710210341885701
888,hull,7,dema,194,7.0,state,40.0,0.037099929436251025,2.7632573835150405,2.1122966409745834,37.0,-0.008655838157200984,0.8536288583607472,-0.39517953163469355
889,wma,9,tema,168,10.5,state,32.0,0.029778845987081064,2.165473675283342,1.4335715720123663,31.0,-0.02769325220787114,0.48050304550004386,-1.4001327009673155
890,sma,3,tema,116,state,state,59.0,0.028782650418933426,2.0248292467702806,1.9196792909872586,54.0,-0.0036337823580699985,0.9177036515213248,-0.2388859172900693
891,sma,16,ema,181,state,state,44.0,-0.028994706648365343,0.5779902180374302,-1.3525793415608538,45.0,-0.051941275022930826,0.3569295655761351,-2.655629920409028
892,tema,29,hull,183,18.0,cross,46.0,0.009583989514801933,1.2138876198189288,0.4944633390175591,39.0,-0.01267336536100093,0.7955899677515945,-0.5704328561644835
893,wma,42,linreg,191,state,off,40.0,0.019291885219529792,1.399486108013758,0.8169176410962101,45.0,0.013148451822706565,1.295452256281641,0.6385592439456409
894,sma,4,tema,214,state,state,53.0,0.018440302311876038,1.560899087830036,1.1311879235200182,53.0,-0.01054856898116069,0.800590311899623,-0.61475405706271
895,sma,2,tema,151,state,state,61.0,0.04033287020339373,3.053787538033251,2.883374056772963,54.0,0.009076472898562261,1.2201890619473956,0.5621981117508912
896,hull,4,tema,165,state,state,63.0,0.04206615815591805,3.1837307444879968,3.1024944438139648,55.0,-0.003087549805352895,0.9364696174739118,-0.19118715346523205
897,sma,6,tema,203,state,state,53.0,0.013955097149857926,1.3408430600049703,0.7770226908917761,52.0,-0.0063051514831934385,0.8743895537704204,-0.3621022838016472
898,sma,35,hull,177,4.0,state,14.0,0.015494864213746056,1.3903397028124842,0.4285116004810576,8.0,-0.02298721702132156,0.5877619593219419,-0.5237114727155237
899,dema,45,tema,193,6.0,off,15.0,0.03754343182547036,2.407402456284001,1.109557691496784,16.0,-0.00472667128955239,0.9077487448151027,-0.13728541450091108
900,tema,28,dema,173,state,cross,52.0,0.0058812216374679515,1.1270445538137224,0.3164861423756597,55.0,-0.004715255981362306,0.9035445627168827,-0.2779184285839129
901,hull,18,ema,159,12.0,state,24.0,-0.009106027461561202,0.790511608475197,-0.38534484288581816,27.0,-0.02006610597712526,0.6801440470191571,-0.7879633973272677
902,sma,7,tema,134,9.5,off,31.0,-0.004391680031634554,0.9082818836867922,-0.1827970163873711,24.0,-0.021460176410079277,0.6844624394368896,-0.719946613232166
903,tema,5,tema,450,state,cross,54.0,0.015540124315110397,1.3719776515354007,0.8731980791642948,56.0,-0.008369940351032903,0.8381637262186198,-0.512841717706534
904,ema,49,dema,185,state,off,44.0,0.026338184508994666,1.5458240464213573,1.1441045807129868,44.0,-0.008016796631679209,0.853279961472211,-0.38546434057484585
905,sma,4,tema,207,state,state,54.0,0.023298073499182892,1.7611379796322038,1.446479550596798,53.0,-0.012459619495997953,0.7719683427372768,-0.7221074391936747
906,sma,2,tema,580,state,state,56.0,-0.0014414234253024118,0.9710927539062743,-0.08236929043585955,54.0,-0.0019297957849670555,0.9616140651740174,-0.11095746923485408
907,tema,34,sma,181,state,off,45.0,-0.03099729599377423,0.5809904917053644,-1.3992797519011695,46.0,-0.04893186498075634,0.39873393001384383,-2.394739992540688
908,sma,3,tema,152,state,state,60.0,0.044675390078503525,3.2811592681203186,3.08437137504324,53.0,0.007698742410496215,1.17738127307176,0.45467208793397756
909,sma,5,tema,254,state,state,52.0,0.014168119148850326,1.338307049909022,0.7657629844547664,52.0,-0.012077505145912527,0.7809009792061354,-0.6819088371806372
910,dema,46,hull,194,state,cross,47.0,-0.0073677498662856914,0.8703393513546664,-0.36420065601516216,50.0,-0.003991479522969615,0.9198036195754268,-0.22144220960697947
911,ema,15,tema,168,state,state,52.0,0.040411091652432576,2.529133802606502,2.350146142711094,49.0,-0.001139372281410489,0.976617295250803,-0.06222525971922135
912,sma,2,tema,222,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.006189312549584678,0.878629680288698,-0.3700661170464971
913,tema,6,sma,204,state,cross,55.0,-0.01614935990072467,0.7233139405607286,-0.9154423314325416,52.0,-0.026536609320847577,0.574329913850564,-1.5432115981615684
914,ema,26,sma,173,state,state,41.0,-0.013884200631629491,0.7733171689717829,-0.6208117428701809,42.0,-0.045374476465910835,0.43712091255085184,-2.132403681183162
915,linreg,32,dema,188,state,cross,49.0,5.904493195351112e-05,1.0011486839971353,0.0030103042650641565,53.0,-0.003459393081394802,0.9297753135739006,-0.19709271665003014
916,sma,4,tema,144,state,state,56.0,0.027763796538798853,2.0047725720146006,1.7789417027799959,52.0,0.008420463856138273,1.1911506105284628,0.4774965667115558
917,linreg,31,sma,179,5.5,state,9.0,-0.0511772669502304,0.29476423335435037,-1.1701720203430406,14.0,0.024178543965494678,1.4375375473856864,0.5760921671811343
918,wma,42,wma,195,14.0,cross,5.0,0.11611864449923182,inf,2.47137289520484,13.0,-0.046137321225837497,0.3827821548490585,-1.2771886950064655
919,sma,3,tema,157,state,state,59.0,0.04566171546493381,3.319344425770357,3.1036026604850804,53.0,0.005712761983872698,1.1250800935709862,0.3302015982676529
920,hull,5,wma,216,state,cross,59.0,-0.001831001289502175,0.9615714072376633,-0.11276145116720161,59.0,-0.019314875928128448,0.6629065518465638,-1.23078597737404
921,ema,6,hull,164,state,state,58.0,0.01619232057089812,1.437256565028985,1.0054633144904657,54.0,-0.002694339479998749,0.9485872102406617,-0.15178108688170847
922,wma,54,ema,186,state,cross,41.0,-0.017428684183609416,0.7476505170962064,-0.7325956929577538,43.0,-0.04249877922090442,0.44791045249588873,-2.0436713463501786
923,ema,2,tema,203,state,state,62.0,0.040190842191302444,3.0926085408613146,2.9008952226076956,54.0,-0.005017365175036461,0.9008659254323269,-0.30222794234414524
924,sma,2,tema,138,state,state,61.0,0.028920368432561197,2.176300171260823,2.0644315029861304,55.0,0.004222440559405594,1.0949139988606522,0.261266485640078
925,sma,2,tema,227,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,53.0,-0.002957432264514725,0.9391906644324621,-0.1752183620128453
926,ema,4,tema,166,state,state,56.0,0.04271991410045056,2.8711921313599014,2.7048045119374406,53.0,0.004498149424945274,1.0979489234481856,0.26335759557124416
927,sma,11,tema,174,state,state,47.0,0.02159566049992077,1.5432295103538312,1.0908079824659338,50.0,-0.004811463176326334,0.9068636089032176,-0.2605966621510473
928,sma,43,hull,194,11.0,state,23.0,-0.013891066401745268,0.7512875157542389,-0.47783878656883827,9.0,-0.018462385737762564,0.53296615562093,-0.5493131243850293
929,tema,7,wma,156,state,state,57.0,0.004407474152935922,1.1019145753615187,0.27001646186276723,61.0,-0.024735346462791644,0.5977909686693439,-1.59222860537136
930,sma,53,ema,182,state,off,40.0,-0.02988153544638813,0.5912034595685215,-1.2755615655491659,39.0,-0.028755535557694226,0.5969291038100206,-1.2479667645197612
931,sma,5,tema,208,state,state,53.0,0.012962802430949735,1.3379793671729587,0.7521616464945426,52.0,-0.007893518623564558,0.8572760338559768,-0.4346579361928416
932,linreg,19,hull,170,state,state,53.0,0.008584573423834582,1.1864375936481353,0.46557931360976335,54.0,0.000748644607349988,1.0152822350080888,0.042310114665129704
933,linreg,18,sma,197,state,cross,44.0,-0.025417791581882985,0.6332181718707555,-1.198421274046302,50.0,-0.02778133186305416,0.5722293656476017,-1.5197852943472285
934,wma,5,sma,150,state,state,53.0,-0.015525511341514978,0.7211117295929769,-0.879146561524284,54.0,-0.04304959336959019,0.41923964709311645,-2.529028745865894
935,sma,3,tema,214,state,state,58.0,0.04062690426947209,2.7694587207526484,2.663315080503776,55.0,-0.006417335541088785,0.8810033347804622,-0.36662941114215514
936,ema,15,linreg,183,10.0,state,22.0,0.02556588421533912,1.975013055097252,1.0480021698931286,21.0,-0.016318408653398443,0.6238266783410402,-0.6822996768733667
937,tema,3,tema,161,state,state,63.0,0.025513513768651484,1.966150857517801,1.8432746249955387,54.0,-0.0050977100121851705,0.8947691848641798,-0.32195990546692116
938,tema,3,wma,123,16.0,state,56.0,0.013210527030953502,1.3433291894291408,0.8109490821740931,47.0,-0.003781672051878372,0.9276054098644685,-0.20861645632680326
939,sma,2,tema,196,state,state,61.0,0.047700726337074256,3.5480825236682474,3.3225605351146164,54.0,-0.004955730445966007,0.9019643294163627,-0.2965264700985946
940,linreg,4,linreg,221,state,off,52.0,0.00902447971663541,1.1788099539124146,0.44657651364481943,50.0,0.0064119889663496465,1.1211063939545711,0.31323686184910576
941,hull,43,wma,199,state,off,44.0,-0.03167455641420562,0.5810179455741482,-1.3991514579199213,44.0,-0.04667451021085067,0.3893376396083761,-2.3105909868448724
942,sma,4,tema,206,state,state,54.0,0.023298073499182892,1.7611379796322038,1.446479550596798,53.0,-0.011403943276290343,0.7912889646864539,-0.6590730088801667
943,wma,4,linreg,213,state,state,58.0,0.027038878034515938,1.9090703138146137,1.7204801846271238,52.0,-0.012448582978564207,0.7784582817366696,-0.6972373611218463
944,hull,9,tema,191,6.5,off,33.0,-0.0032187509739054713,0.9278784183418669,-0.1425472708346746,31.0,-0.016165485568924595,0.7485341214016223,-0.6186343528554431
945,dema,52,tema,190,state,state,46.0,0.0080051948329049,1.157084362485691,0.3800000923488753,46.0,-0.006196393548939641,0.8867920580847934,-0.30860741506962275
946,sma,2,tema,204,state,state,61.0,0.04428039051730505,3.3139540283859534,3.1031087680864125,54.0,-0.005023805877922986,0.9006819138394461,-0.30066433944517124
947,ema,6,tema,240,7.5,state,29.0,0.034082323566700705,2.0451426496576994,1.4045677052453795,27.0,-0.03244039087173939,0.5298081672419505,-1.3273737493781652
948,ema,11,wma,195,3.0,state,15.0,-0.013760523645311096,0.7374884047434546,-0.40466898407439506,13.0,-0.03507793481515291,0.5499233077406549,-0.8738039024226285
949,linreg,20,linreg,182,state,cross,49.0,0.023406387287168807,1.6577779673307538,1.285940978529915,51.0,-0.0005212266201319864,0.9894527928517527,-0.02871497900445802
950,linreg,9,tema,202,5.0,state,31.0,0.011370641293631176,1.347634867114503,0.5452364357245993,28.0,-0.0015218326691591353,0.9688299329411908,-0.06468237861584401
951,linreg,2,ema,228,state,state,59.0,-0.009223402281162555,0.8220129222145401,-0.5695474539715022,57.0,-0.008882338639358467,0.8271641246512905,-0.5439150988593205
952,sma,3,tema,209,state,state,58.0,0.04062690426947209,2.7694587207526484,2.663315080503776,54.0,-0.005968180508649112,0.890208830975715,-0.3353378821830495
953,dema,34,tema,181,15.5,off,27.0,0.023687294967578525,1.7060960405021173,0.9395377620662222,27.0,-0.017342150357991377,0.7053445019991117,-0.6542888879552748
954,sma,6,tema,218,state,state,52.0,0.007493391341369766,1.1673273037811125,0.402356913303057,50.0,-0.015897969790269865,0.7207687507151496,-0.8843110305898959
955,hull,2,hull,195,8.5,state,48.0,0.000947586001918623,1.0270124439711492,0.06339859555247303,41.0,0.006730164050656069,1.1922193996136108,0.40189426500330927
956,wma,5,tema,173,state,state,56.0,0.041184522733140945,2.6902655970807547,2.5819830137456363,53.0,0.0038189421472510712,1.0825854233382568,0.22145259525926322
957,tema,35,linreg,187,18.5,cross,34.0,0.026535210711069762,1.879207019190359,1.2777986377004646,30.0,-0.01524294716626362,0.741174168262251,-0.6097983332484174
958,sma,4,tema,200,state,cross,54.0,0.022779635079314013,1.7318061045635116,1.4034392611801936,52.0,-0.004118206560113675,0.9209609640005163,-0.23004515003370035
959,sma,4,tema,176,state,state,56.0,0.03885859068891136,2.6611591164702455,2.497941329488319,51.0,-0.0008213851834323555,0.9833092095357631,-0.04589584065224798
960,wma,36,tema,188,state,state,43.0,0.035086113913451504,1.9563350777338884,1.6606163706002302,45.0,0.0009517916139406476,1.019533668664666,0.0474333413962634
961,sma,44,wma,183,state,off,40.0,-0.009585113067729753,0.847405643295797,-0.40273362453424694,42.0,-0.04906389704158921,0.3865726847239536,-2.331799287401577
962,tema,26,ema,196,state,off,45.0,-0.035117990146889384,0.5252885352741924,-1.6252387445049625,50.0,-0.04254631690319303,0.4664408165526405,-2.116165532710051
963,sma,3,tema,209,state,off,52.0,0.009146283522574268,1.1956984135833522,0.46892729274971445,51.0,0.010204555405879157,1.2117427055718835,0.5178095276781558
964,wma,21,dema,173,15.0,state,25.0,0.04478971381643265,2.383759435739068,1.639598773323411,27.0,0.009037800604919901,1.1699727951272674,0.3283617682646861
965,sma,2,tema,234,state,state,59.0,0.0380559128961874,2.556973759792086,2.5053868491457205,54.0,-0.002607738625420805,0.9452224296579795,-0.15770143639231415
966,sma,50,linreg,188,19.5,off,11.0,0.07038264159670535,2.9963801107020394,1.4937026097568085,18.0,-0.023286488806635683,0.6378538722448452,-0.6925949944153568
967,linreg,9,ema,214,17.5,off,30.0,-0.021298914347255702,0.6478386343488768,-0.8431700308346376,26.0,-0.025200215424322034,0.6312952884765933,-0.8897564757777476
968,sma,5,tema,169,state,state,54.0,0.026352101903549925,1.8508044698381623,1.581807384378078,51.0,0.0007314233141607206,1.015346990312343,0.04117485784639405
969,sma,33,wma,179,16.5,off,14.0,0.012903855455956872,1.2988091810210318,0.33488885216861825,14.0,-0.02877764978151864,0.5802873306019336,-0.7427694691747198
970,sma,4,wma,200,state,off,52.0,-0.02299703012504583,0.6406280148581681,-1.1711318485451163,51.0,-0.041530986852835405,0.46875720704452223,-2.1016396658415935
971,hull,51,linreg,193,state,cross,42.0,0.01406898479410444,1.305561621762462,0.6406010466443962,50.0,0.003626018400128989,1.0827961025165898,0.20488475163016356
972,hull,5,linreg,221,3.5,off,32.0,0.01473036389947103,1.3689688220109801,0.6156574407254533,30.0,0.009220569351720168,1.198195297742722,0.36254288128971507
973,sma,3,wma,167,state,state,55.0,-0.010463187682345122,0.801284472638461,-0.6134908865406444,58.0,-0.03107886334398379,0.5331454318742977,-1.877874644180761
974,hull,4,dema,206,13.0,state,48.0,0.03187531028455789,2.2906478816830376,1.9873308013492983,45.0,0.00022476636613349125,1.0049485155941422,0.013005117720475756
975,tema,6,ema,177,state,off,52.0,-0.032488077749932,0.5574169084305685,-1.60745558736688,53.0,-0.03663841375443954,0.5351613378321349,-1.8202235674719265
976,linreg,18,wma,189,14.0,cross,30.0,0.018666848250089678,1.4064562613543912,0.713107348538007,31.0,-0.009703045398996324,0.8474023184848083,-0.3789476412015844
977,tema,40,hull,181,state,state,52.0,0.005348465032321081,1.1243392274624429,0.3083134630890194,50.0,0.0008233857618962096,1.015778730020479,0.043303186048438455
978,tema,3,tema,164,state,cross,63.0,0.025513513768651484,1.966150857517801,1.8432746249955387,54.0,-0.0050977100121851705,0.8947691848641798,-0.32195990546692116
979,ema,38,ema,190,state,cross,43.0,-0.015583335070612585,0.7598317669710165,-0.689125492376722,44.0,-0.0437923330983978,0.43485004565882074,-2.144761646515509
980,hull,3,sma,202,11.5,state,38.0,0.012401653166856237,1.3735849969778045,0.6851966278840327,36.0,0.0049004488816252285,1.1167358178311024,0.2557878265997178
981,sma,12,wma,174,state,cross,44.0,-0.02036424369441584,0.6830810187915315,-0.9694732819725855,49.0,-0.04422957511825411,0.3763877580869297,-2.5279242956760335
982,sma,3,tema,211,state,state,58.0,0.04062690426947209,2.7694587207526484,2.663315080503776,54.0,-0.006317303926081389,0.884527945971844,-0.35429743417962883
983,sma,4,linreg,160,state,state,54.0,0.015269461890298923,1.4372136738102883,0.9334193171500197,52.0,0.006654436852720492,1.156552658094822,0.39548999067388363
984,ema,28,tema,195,1.0,off,9.0,0.0843599280903423,inf,2.571744050848431,4.0,-0.0010065935816058469,0.978824632587323,-0.01319915586877822
985,dema,27,ema,182,20.0,state,21.0,-0.007199780710856032,0.8379345860965944,-0.2760393296135053,26.0,-0.025518661290086255,0.6261420925940742,-0.9604541545948186
986,sma,3,tema,171,state,state,58.0,0.04558537472400884,3.182283604305028,2.988008598940066,53.0,0.004679466914877707,1.1007591073957936,0.269513464958103
987,sma,2,tema,218,state,cross,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.004810457661418065,0.9044968878711619,-0.28813873070467316
988,dema,4,dema,204,state,cross,61.0,0.02535223174971904,1.7966758284997852,1.6232825501073247,57.0,-0.010220174395027457,0.7939906334936877,-0.6660194606233318
989,sma,2,tema,155,state,state,61.0,0.04099058776107004,3.1596078418386093,2.9465148808404646,54.0,0.0076617985052494526,1.1819059761399715,0.4710065234978244
990,sma,4,tema,98,state,state,54.0,0.022314254038811265,1.6825446557306127,1.3625233761438202,52.0,-0.003758885049593613,0.9186960825222017,-0.2331184584469984
991,sma,7,wma,196,state,cross,46.0,-0.02694349691466252,0.6092290101030862,-1.3140262337227437,51.0,-0.03812455924400013,0.4343184685177867,-2.226214234966854
992,tema,2,linreg,171,state,state,64.0,0.029908359537864873,2.231259088931674,2.2158113900333807,55.0,0.0010971454210081724,1.0245081825098385,0.06861001359298805
993,linreg,57,linreg,183,state,cross,45.0,-0.014127647384735494,0.7710728437704456,-0.6653272783594866,47.0,0.004680391025191476,1.1001542553738357,0.23907106308363943
994,linreg,48,tema,186,state,off,45.0,-0.00454901691792097,0.9249495561160966,-0.20152532129013184,48.0,-0.004077368917250349,0.9195866391438859,-0.20926890885608074
995,sma,4,tema,162,2.5,state,27.0,0.03300783556035295,2.908514374517605,1.6362216162592398,14.0,-0.010301716384302162,0.8380766412734443,-0.27002177740081296
996,tema,49,wma,191,1.5,off,9.0,-0.0019406830613891554,0.9572842935884529,-0.04149245370655919,10.0,-0.03958900280964862,0.5839890853853362,-0.7262402439375466
997,wma,3,tema,227,state,state,59.0,0.03913244977248668,2.679414081191815,2.5998228204848735,53.0,-0.003319698419432816,0.9322465955671702,-0.19630897310814646
998,sma,3,sma,144,state,state,53.0,-0.013586288721660896,0.7471380553985144,-0.7833106983773723,56.0,-0.03172853154127311,0.536181564728686,-1.8539154148337733
999,ema,2,wma,210,state,off,55.0,-0.016631583898659603,0.747466929979475,-0.8285858363757158,53.0,-0.03302077123851834,0.5610513613752103,-1.657580751894728
1000,ema,7,tema,175,state,state,54.0,0.0322252626442381,2.1287339941677677,1.9390845210629046,51.0,-0.0011279589311653953,0.9775098680836123,-0.06218120314217758
1001,sma,2,tema,202,state,state,61.0,0.044541460138470504,3.359790568657862,3.1353456023690915,54.0,-0.004955730445966007,0.9019643294163627,-0.2965264700985946
1002,dema,7,tema,166,9.0,state,38.0,0.031561403695796006,3.156497661625826,1.9869754120617096,35.0,0.004500184978346686,1.1172609202603612,0.23489563969785068
1003,ema,20,sma,180,state,state,42.0,-0.03063461967810021,0.5753223226476135,-1.3927610091307263,46.0,-0.048249220670649746,0.4002639970518932,-2.458974133958454
1004,hull,6,sma,199,state,state,55.0,-0.007520199075488231,0.8587728059023377,-0.4249702125792761,52.0,-0.03360649836619774,0.4903165666570027,-1.9695023478625129
1005,dema,10,sma,295,state,off,49.0,-0.026271410876682406,0.6228910566924786,-1.25972788620534,48.0,-0.04038155180853321,0.4890733999278039,-1.953378228387082
1006,sma,3,dema,151,state,state,58.0,0.026720579988595252,1.8801326002190757,1.6872608714856487,57.0,-0.007920199845667015,0.8526372114147718,-0.46662756290243684
1007,sma,5,hull,169,state,off,52.0,-0.006270505055047082,0.8922334844696377,-0.30957728930348805,50.0,0.00042126217419001397,1.0075988581953677,0.020506642664583498
1008,ema,37,sma,188,10.0,cross,5.0,0.09964977316583497,6.5849642186052,1.6843809381089563,5.0,-0.09442540218836135,0.005606917206028331,-2.3245791797551534
1009,tema,5,tema,215,state,state,60.0,0.03532714502904158,2.53953877693274,2.4325178294249854,54.0,-0.0011551773542902556,0.9752714735213843,-0.07149533994898165
1010,hull,6,tema,178,state,state,60.0,0.04010328750785107,3.2624950901190912,2.9185782003085503,53.0,-0.0013930013125947618,0.9711512979465973,-0.0831387286225589
1011,hull,8,tema,37,12.0,state,60.0,0.01955863694771272,1.9646087270236556,1.6297234423337723,63.0,-0.0012157130837545994,0.9606269164699309,-0.10742403200619376
1012,tema,4,hull,198,state,state,61.0,0.02279302988200948,1.7376177137708917,1.5454634119337411,56.0,0.002803499983221111,1.061327445598532,0.1733789766627427
1013,tema,2,dema,146,state,off,54.0,0.0012630909008172527,1.0225700019278008,0.0626080626841407,52.0,-0.0007987607847696461,0.9853677444510035,-0.04042703733155156
1014,wma,26,sma,186,18.0,state,16.0,-0.03235359426486259,0.5299102739500486,-0.9574379874396389,18.0,-0.028789036514662653,0.5880386099873579,-0.891217680844845
1015,wma,55,hull,189,12.5,off,23.0,-0.010892357523962467,0.7948051064697669,-0.3834556841353833,14.0,-0.01907584196113133,0.6751586592949591,-0.5194972861436282
1016,sma,2,tema,228,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,53.0,-0.0026698459872834955,0.9447773351785981,-0.15849381527091058
1017,wma,5,dema,8,state,state,13.0,-0.0223027006906096,0.6703057617178412,-0.5844627802064924,13.0,-0.052555881786832674,0.18257654533313344,-1.8662391797797075
