pick,eng_n,vbt_n,ratio,same_exit_bar,eng_pts,vbt_pts,gap
A incumbent EMA13/EMA48 x3.5 cross-exit,39,39,1.0,1.0,34.4628205128204,34.00128205128287,-0.4615384615375291
B marginal consensus,20,20,1.0,1.0,7.432500000000073,6.882500000000436,-0.5499999999996366
"C top research t, >= 15 research trades",60,60,1.0,1.0,46.28333333333333,46.28333333333394,6.110667527536862e-13
D Optuna best,112,112,1.0,1.0,15.088392857143065,14.079464285714689,-1.0089285714283758
