dropped,ic,up,delta
mom.roc240,-0.015237041719342604,-0.04016303536208764,-0.15031091939645697
ffd.cvd_z,0.13218921196797304,0.06540891004840431,-0.044738973985965026
vol.atr_pct,0.14214601769911506,0.08170984668781381,-0.028438037346555534
regime.chop48,0.15021281078803206,0.08409619071657046,-0.02605169331779889
trend.er20,0.1327517909818795,0.08864711636068738,-0.02150076767368196
struct.excess,0.1722840286557101,0.09265479836465129,-0.017493085669718054
regime.hmm_side,0.16926148335440375,0.093251383910953,-0.016896500123416335
trend.er60,0.18219342604298358,0.09777816691559954,-0.0123697171187698
