feature,ic_h1,ic_h2,half_sign,ic_calm,ic_mid,ic_fast,regime_sign,stable
trend.adx14,0.06503058051730619,0.04051334087430967,True,0.04685633001422475,0.12554765291607395,0.11007112375533427,True,True
trend.di_diff,0.017203676495711893,-0.10774169938119636,False,-0.3306970128022759,0.018036984352773826,0.072375533428165,False,False
trend.d_ema50,0.12665288550244302,-0.006254574489320647,False,-0.08910384068278805,0.03786628733997155,0.18128022759601706,False,False
trend.d_ema200,0.2150715823282195,0.05779659325304412,True,0.0733143669985775,0.048648648648648644,0.30568990042674254,True,True
trend.slope200,0.18140738715959956,0.08722303546476813,True,0.1252062588904694,0.05359886201991464,0.29368421052631577,True,True
trend.er20,0.14528339359079492,0.10206101537028413,True,0.07561877667140823,0.088948633702224,0.1852062588904694,True,True
trend.er60,0.10575904602453275,0.1479223501230954,True,0.1034139402560455,0.06258890469416785,0.15137980085348504,True,True
trend.r2_50,0.16363993576382957,-0.20012143189832993,False,0.02790896159317212,0.0310099573257468,-0.10768136557610242,False,False
trend.align,0.12974957750293936,0.06142737305550801,True,-0.06843623252643738,0.03753497055737048,0.2954478859011165,False,False
trend.up_share20,0.022833534373553517,-0.008479577294048534,False,0.015096343139661551,0.06062124996133601,-0.05800159005718861,False,False
struct.excess,-0.13596371339734173,-0.08169325780328388,True,-0.22415757699259575,-0.002588904694167852,-0.13675675675675675,True,True
struct.ch_width,-0.033168756620084054,-0.060366624525916575,True,-0.1417923186344239,0.04150782361308677,-0.015448079658605974,False,False
struct.pos_in_ch,0.10622885844124784,-0.08725666734666639,False,-0.039772969747548105,0.013001422475106685,0.07721194879089616,False,False
struct.close_pos,0.005223482179132359,-0.1449210270279934,False,-0.15010384369783636,-0.002076813655761024,-0.028079858321181924,True,False
struct.body,-0.009259575631257047,-0.15418524186572627,True,-0.2180654338549075,0.010725462304409673,-0.040369843527738265,False,False
struct.upper_wick,-0.023003920832499775,0.11078719626913835,False,0.1341868488348111,-0.014281650071123754,-0.019943242840069434,False,False
struct.range_atr,-0.18454231728568013,-0.08117639230820416,True,-0.2987197724039829,0.016102418207681365,-0.18187766714082504,False,False
struct.gap_open,-0.04578217519338042,-0.052829949411085986,True,-0.00592995964466299,-0.029860272588572788,-0.03493577691038533,True,True
struct.d_hi55,-0.013889363446885572,-0.08665746223966998,True,-0.21877667140825033,-0.016500711237553343,0.06460881934566144,False,False
mom.roc5,0.051252263641644175,-0.16723501230953491,False,-0.433655761024182,-0.08583214793741109,0.11601706970128021,False,False
mom.roc20,0.0672942221614788,-0.09561514405482735,False,-0.1618207681365576,-0.049217638691322896,0.12955903271692745,False,False
mom.roc60,0.049492602589947726,0.04664315656397632,True,0.004864864864864865,-0.04850640113798008,0.12941678520625888,False,False
mom.roc240,0.32261591553626956,0.0645668374476013,True,0.05123755334281649,0.10088193456614508,0.36201991465149364,True,True
mom.rsi14,0.1125841391328117,-0.08505223235078849,False,-0.24355618776671406,0.08819345661450924,0.11467994310099573,False,False
mom.rsi48,0.13474220111388255,0.044996340408543486,True,0.014594594594594593,0.06139402560455192,0.20913229018492174,True,True
mom.macd_hist,0.07394847439095228,-0.1386236609222171,False,-0.11604551920341394,0.07243243243243244,-0.008620199146514936,False,False
